date,prev,L,S,OI,net,dL,dS,dNet,dOI,dLpct,net_prev
1995-03-28,1995-03-21,61558,55864,550042,5694,-4735,-8705,3970,14290,-0.8838044468336095,1724
1995-04-04,1995-03-28,60252,57566,559588,2686,-1306,1702,-3008,9546,-0.23743641394657136,5694
1995-04-11,1995-04-04,98504,37850,618520,60654,38252,-19716,57968,58932,6.835743439816436,2686
1995-04-18,1995-04-11,110583,38513,618348,72070,12079,663,11416,-172,1.952887537993921,60654
1995-04-25,1995-04-18,104677,27859,588938,76818,-5906,-10654,4748,-29410,-0.9551255927083131,72070
1995-05-02,1995-04-25,143181,23425,605401,119756,38504,-4434,42938,16463,6.53786986066445,76818
1995-05-09,1995-05-02,152750,22341,645815,130409,9569,-1084,10653,40414,1.5806052517257159,119756
1995-05-16,1995-05-09,173600,18778,700427,154822,20850,-3563,24413,54612,3.2284787439127305,130409
1995-05-23,1995-05-16,185384,17255,766888,168129,11784,-1523,13307,66461,1.682402306021898,154822
1995-05-30,1995-05-23,196108,17281,812419,178827,10724,26,10698,45531,1.398378902786326,168129
1995-06-06,1995-05-30,197039,18965,876203,178074,931,1684,-753,63784,0.1145960397282683,178827
1995-06-13,1995-06-06,179908,18457,868156,161451,-17131,-508,-16623,-8047,-1.9551405325021711,178074
1995-06-20,1995-06-13,179372,24968,948452,154404,-536,6511,-7047,80296,-0.061740055934647695,161451
1995-06-27,1995-06-20,203431,15302,898196,188129,24059,-9666,33725,-50256,2.5366597360752046,154404
1995-07-03,1995-06-27,180847,16438,897832,164409,-22584,1136,-23720,-364,-2.5143732548352475,188129
1995-07-11,1995-07-03,192301,21519,946261,170782,11454,5081,6373,48429,1.275739782052767,164409
1995-07-18,1995-07-11,196272,19515,1021377,176757,3971,-2004,5975,75116,0.4196516605883578,170782
1995-07-25,1995-07-18,193832,25140,1080254,168692,-2440,5625,-8065,58877,-0.23889318048086064,176757
1995-08-01,1995-07-25,202991,25208,1084029,177783,9159,68,9091,3775,0.8478561523493547,168692
1995-08-08,1995-08-01,150097,23769,995860,126328,-52894,-1439,-51455,-88169,-4.879389758023079,177783
1995-08-15,1995-08-08,132623,31399,967396,101224,-17474,7630,-25104,-28464,-1.754664310244412,126328
1995-08-22,1995-08-15,130378,28236,896979,102142,-2245,-3163,918,-70417,-0.23206628929621376,101224
1995-08-29,1995-08-22,137239,30603,875271,106636,6861,2367,4494,-21708,0.7649008505215841,102142
1995-09-05,1995-08-29,137593,27504,864047,110089,354,-3099,3453,-11224,0.0404446165816073,106636
1995-09-12,1995-09-05,163825,33987,937869,129838,26232,6483,19749,73822,3.0359459612729403,110089
1995-09-19,1995-09-12,163126,34541,988995,128585,-699,554,-1253,51126,-0.07453066473036213,129838
1995-09-26,1995-09-19,155460,38707,1002256,116753,-7666,4166,-11832,13261,-0.7751303090511075,128585
1995-10-03,1995-09-26,153099,38564,1020292,114535,-2361,-143,-2218,18036,-0.235568557334653,116753
1995-10-10,1995-10-03,134623,39503,1003298,95120,-18476,939,-19415,-16994,-1.8108541476361668,114535
1995-10-17,1995-10-10,142779,37227,1064706,105552,8156,-2276,10432,61408,0.8129189931605565,95120
1995-10-24,1995-10-17,155588,37340,1094096,118248,12809,113,12696,29390,1.2030551156845175,105552
1995-10-31,1995-10-24,155165,38427,1114223,116738,-423,1087,-1510,20127,-0.038662055249265144,118248
1995-11-07,1995-10-31,130303,36253,1065156,94050,-24862,-2174,-22688,-49067,-2.2313307120746924,116738
1995-11-14,1995-11-07,116735,30666,1037784,86069,-13568,-5587,-7981,-27372,-1.273804024950336,94050
1995-11-21,1995-11-14,104651,30874,928093,73777,-12084,208,-12292,-109691,-1.164404153465461,86069
1995-11-28,1995-11-21,116684,25138,900272,91546,12033,-5736,17769,-27821,1.2965295503791108,73777
1995-12-05,1995-11-28,118492,28768,899454,89724,1808,3630,-1822,-818,0.20082819414576927,91546
1995-12-12,1995-12-05,144270,39016,939863,105254,25778,10248,15530,40409,2.8659609051713595,89724
1995-12-19,1995-12-12,148078,45210,972733,102868,3808,6194,-2386,32870,0.40516543368554775,105254
1995-12-26,1995-12-19,132357,38861,946223,93496,-15721,-6349,-9372,-26510,-1.616168054337624,102868
1996-01-02,1995-12-26,157603,45226,992995,112377,25246,6365,18881,46772,2.6680814142120832,93496
1996-01-09,1996-01-02,119033,45662,980062,73371,-38570,436,-39006,-12933,-3.884208883227005,112377
1996-01-16,1996-01-09,104568,82892,1009917,21676,-14465,37230,-51695,29855,-1.4759270331876964,73371
1996-01-23,1996-01-16,93198,66444,1027832,26754,-11370,-16448,5078,17915,-1.125835093378961,21676
1996-01-30,1996-01-23,162504,37725,1072126,124779,69306,-28719,98025,44294,6.742930751329011,26754
1996-02-06,1996-01-30,175984,44843,1094013,131141,13480,7118,6362,21887,1.2573149051510737,124779
1996-02-13,1996-02-06,171254,43326,1091211,127928,-4730,-1517,-3213,-2802,-0.4323531804466675,131141
1996-02-20,1996-02-13,164484,51702,1029825,112782,-6770,8376,-15146,-61386,-0.6204116344135093,127928
1996-02-27,1996-02-20,160114,41517,987236,118597,-4370,-10185,5815,-42589,-0.42434394193188163,112782
1996-03-05,1996-02-27,140999,42977,966554,98022,-19115,1460,-20575,-20682,-1.9362138333691234,118597
1996-03-12,1996-03-05,129215,36668,942010,92547,-11784,-6309,-5475,-24544,-1.2191765798910357,98022
1996-03-19,1996-03-12,93639,50642,891926,42997,-35576,13974,-49550,-50084,-3.7766053438923155,92547
1996-03-26,1996-03-19,126269,38694,936319,87575,32630,-11948,44578,44393,3.6583752463769414,42997
1996-04-02,1996-03-26,145909,40364,999302,105545,19640,1670,17970,62983,2.0975757193862345,87575
1996-04-09,1996-04-02,150163,35319,1067816,114844,4254,-5045,9299,68514,0.4256971366013477,105545
1996-04-16,1996-04-09,134561,28254,1133138,106307,-15602,-7065,-8537,65322,-1.46111315058025,114844
1996-04-23,1996-04-16,139303,30529,1160215,108774,4742,2275,2467,27077,0.4184838916354407,106307
1996-04-30,1996-04-23,120072,24082,1094604,95990,-19231,-6447,-12784,-65611,-1.6575376115633742,108774
1996-05-07,1996-04-30,101036,20975,1063290,80061,-19036,-3107,-15929,-31314,-1.7390764148495712,95990
1996-05-14,1996-05-07,111183,21438,1071301,89745,10147,463,9684,8011,0.9543022129428471,80061
1996-05-21,1996-05-14,107468,26090,1067234,81378,-3715,4652,-8367,-4067,-0.34677462263173464,89745
1996-05-28,1996-05-21,96809,30868,1034152,65941,-10659,4778,-15437,-33082,-0.9987500398225694,81378
1996-06-04,1996-05-28,64715,33324,978476,31391,-32094,2456,-34550,-55676,-3.1034122643479876,65941
1996-06-11,1996-06-04,64750,39684,969886,25066,35,6360,-6325,-8590,0.0035769911576778585,31391
1996-06-18,1996-06-11,65627,31055,924670,34572,877,-8629,9506,-45216,0.09042299816679486,25066
1996-06-25,1996-06-18,54204,25020,760628,29184,-11423,-6035,-5388,-164042,-1.235359641818162,34572
1996-07-02,1996-06-25,45029,19853,743871,25176,-9175,-5167,-4008,-16757,-1.2062401068590691,29184
1996-07-09,1996-07-02,51583,24809,755064,26774,6554,4956,1598,11193,0.8810667440994473,25176
1996-07-16,1996-07-09,50209,26242,761691,23967,-1374,1433,-2807,6627,-0.18197132958265788,26774
1996-07-23,1996-07-16,42213,29260,775323,12953,-7996,3018,-11014,13632,-1.0497695259626278,23967
1996-07-30,1996-07-23,36378,48199,788989,-11821,-5835,18939,-24774,13666,-0.752589565897052,12953
1996-08-06,1996-07-30,39134,51055,808053,-11921,2756,2856,-100,19064,0.3493077850261537,-11821
1996-08-13,1996-08-06,41555,38195,825699,3360,2421,-12860,15281,17646,0.29960906029678747,-11921
1996-08-20,1996-08-13,40734,35022,799927,5712,-821,-3173,2352,-25772,-0.09943090641989394,3360
1996-08-27,1996-08-20,40911,29762,718685,11149,177,-5260,5437,-81242,0.022127019090492007,5712
1996-09-03,1996-08-27,41878,41999,705555,-121,967,12237,-11270,-13130,0.1345512985522169,11149
1996-09-10,1996-09-03,47534,45057,729397,2477,5656,3058,2598,23842,0.8016384264869499,-121
1996-09-17,1996-09-10,53461,53580,733307,-119,5927,8523,-2596,3910,0.8125890290198615,2477
1996-09-24,1996-09-17,59040,53719,765564,5321,5579,139,5440,32257,0.7608000469107754,-119
1996-10-01,1996-09-24,60138,60601,785922,-463,1098,6882,-5784,20358,0.1434236719594965,5321
1996-10-08,1996-10-01,50486,53459,787142,-2973,-9652,-7142,-2510,1220,-1.228111695562664,-463
1996-10-15,1996-10-08,61836,60481,796475,1355,11350,7022,4328,9333,1.4419253451092688,-2973
1996-10-22,1996-10-15,46206,66568,807107,-20362,-15630,6087,-21717,10632,-1.9623968109482408,1355
1996-10-29,1996-10-22,36340,57916,770180,-21576,-9866,-8652,-1214,-36927,-1.2223905876172552,-20362
1996-11-05,1996-10-29,34948,68471,782645,-33523,-1392,10555,-11947,12465,-0.18073697057830637,-21576
1996-11-12,1996-11-05,39744,57368,771606,-17624,4796,-11103,15899,-11039,0.6127937953989356,-33523
1996-11-19,1996-11-12,42188,49742,682851,-7554,2444,-7626,10070,-88755,0.31674196416305733,-17624
1996-11-26,1996-11-19,50044,44707,669270,5337,7856,-5035,12891,-13581,1.1504706004677447,-7554
1996-12-03,1996-11-26,42199,42019,657508,180,-7845,-2688,-5157,-11762,-1.1721726657402842,5337
1996-12-10,1996-12-03,44231,44702,656819,-471,2032,2683,-651,-689,0.3090456694063038,180
1996-12-17,1996-12-10,42841,44343,691689,-1502,-1390,-359,-1031,34870,-0.21162603396064975,-471
1996-12-24,1996-12-17,52975,37811,707791,15164,10134,-6532,16666,16102,1.4651093193617362,-1502
1996-12-31,1996-12-24,52552,36148,700877,16404,-423,-1663,1240,-6914,-0.05976340473388331,15164
1997-01-07,1996-12-31,54942,43832,732794,11110,2390,7684,-5294,31917,0.34100134545719146,16404
1997-01-14,1997-01-07,58979,49407,748086,9572,4037,5575,-1538,15292,0.5509051657082346,11110
1997-01-21,1997-01-14,51750,52425,755684,-675,-7229,3018,-10247,7598,-0.9663327478391522,9572
1997-01-28,1997-01-21,52438,61277,749199,-8839,688,8852,-8164,-6485,0.09104334616056446,-675
1997-02-04,1997-01-28,45097,95710,784267,-50613,-7341,34433,-41774,35068,-0.9798464760364068,-8839
1997-02-11,1997-02-04,48840,86849,788043,-38009,3743,-8861,12604,3776,0.47726093282007276,-50613
1997-02-18,1997-02-11,56744,89943,811110,-33199,7904,3094,4810,23067,1.0029909535393373,-38009
1997-02-25,1997-02-18,74804,79651,758831,-4847,18060,-10292,28352,-52279,2.2265783925731406,-33199
1997-03-04,1997-02-25,91596,71348,779539,20248,16792,-8303,25095,20708,2.212877439113584,-4847
1997-03-11,1997-03-04,98389,77209,818441,21180,6793,5861,932,38902,0.8714124630069823,20248
1997-03-18,1997-03-11,127812,68672,858243,59140,29423,-8537,37960,39802,3.595005626550967,21180
1997-03-25,1997-03-18,143729,66726,922366,77003,15917,-1946,17863,64123,1.8546029504464354,59140
1997-04-01,1997-03-25,166454,70672,995611,95782,22725,3946,18779,73245,2.463772515465661,77003
1997-04-08,1997-04-01,144090,57780,949691,86310,-22364,-12892,-9472,-45920,-2.2462588300048916,95782
1997-04-15,1997-04-08,164849,34674,1055873,130175,20759,-23106,43865,106182,2.185868877350633,86310
1997-04-22,1997-04-15,162779,30164,1037841,132615,-2070,-4510,2440,-18032,-0.19604630481127935,130175
1997-04-29,1997-04-22,179024,33686,1013162,145338,16245,3522,12723,-24679,1.565268668322026,132615
1997-05-06,1997-04-29,146411,29027,991492,117384,-32613,-4659,-27954,-21670,-3.21893241159854,145338
1997-05-13,1997-05-06,130241,33201,992423,97040,-16170,4174,-20344,931,-1.6308754886574979,117384
1997-05-20,1997-05-13,111895,42551,967846,69344,-18346,9350,-27696,-24577,-1.8486068944391656,97040
1997-05-27,1997-05-20,84477,49155,984061,35322,-27418,6604,-34022,16215,-2.832888703368098,69344
1997-06-03,1997-05-27,64502,59568,975117,4934,-19975,10413,-30388,-8944,-2.0298538403615223,35322
1997-06-10,1997-06-03,55937,57750,984880,-1813,-8565,-1818,-6747,9763,-0.8783561357252514,4934
1997-06-17,1997-06-10,50043,66219,987816,-16176,-5894,8469,-14363,2936,-0.5984485419543497,-1813
1997-06-24,1997-06-17,42926,86615,906235,-43689,-7117,20396,-27513,-81581,-0.7204783077010293,-16176
1997-07-01,1997-06-24,36241,110441,933505,-74200,-6685,23826,-30511,27270,-0.7376673820808068,-43689
1997-07-08,1997-07-01,41721,113875,968686,-72154,5480,3434,2046,35181,0.5870348846551438,-74200
1997-07-15,1997-07-08,50980,113123,1026212,-62143,9259,-752,10011,57526,0.9558308884406299,-72154
1997-07-22,1997-07-15,59448,103915,1088274,-44467,8468,-9208,17676,62062,0.8251706275116643,-62143
1997-07-29,1997-07-22,64978,93669,1135903,-28691,5530,-10246,15776,47629,0.5081440887129528,-44467
1997-08-05,1997-07-29,74367,91173,1181947,-16806,9389,-2496,11885,46044,0.8265670572223157,-28691
1997-08-12,1997-08-05,86713,81403,1191585,5310,12346,-9770,22116,9638,1.0445476827641171,-16806
1997-08-19,1997-08-12,86008,85335,1170949,673,-705,3932,-4637,-20636,-0.05916489381789801,5310
1997-08-26,1997-08-19,84813,75910,1039230,8903,-1195,-9425,8230,-131719,-0.10205397502367737,673
1997-09-02,1997-08-26,126640,63678,1098066,62962,41827,-12232,54059,58836,4.024806828132367,8903
1997-09-09,1997-09-02,102044,72548,1068426,29496,-24596,8870,-33466,-29640,-2.239938218649881,62962
1997-09-16,1997-09-09,82349,75969,1087086,6380,-19695,3421,-23116,18660,-1.8433658484537065,29496
1997-09-23,1997-09-16,81374,78690,1117544,2684,-975,2721,-3696,30458,-0.08968931620865322,6380
1997-09-30,1997-09-23,84737,126053,1136597,-41316,3363,47363,-44000,19053,0.30092774870609124,2684
