event_date,off,date,L,S,net,dL,dS,dNet,dOI
1995-05-02,-5,1995-03-28,61558,55864,5694,-4735,-8705,3970,14290
1995-05-02,-4,1995-04-04,60252,57566,2686,-1306,1702,-3008,9546
1995-05-02,-3,1995-04-11,98504,37850,60654,38252,-19716,57968,58932
1995-05-02,-2,1995-04-18,110583,38513,72070,12079,663,11416,-172
1995-05-02,-1,1995-04-25,104677,27859,76818,-5906,-10654,4748,-29410
1995-05-02,0,1995-05-02,143181,23425,119756,38504,-4434,42938,16463
1995-05-02,1,1995-05-09,152750,22341,130409,9569,-1084,10653,40414
1995-05-02,2,1995-05-16,173600,18778,154822,20850,-3563,24413,54612
1995-05-02,3,1995-05-23,185384,17255,168129,11784,-1523,13307,66461
1995-05-02,4,1995-05-30,196108,17281,178827,10724,26,10698,45531
1995-05-02,5,1995-06-06,197039,18965,178074,931,1684,-753,63784
1995-05-02,6,1995-06-13,179908,18457,161451,-17131,-508,-16623,-8047
1995-05-02,7,1995-06-20,179372,24968,154404,-536,6511,-7047,80296
1995-05-02,8,1995-06-27,203431,15302,188129,24059,-9666,33725,-50256
1996-01-30,-8,1995-12-05,118492,28768,89724,1808,3630,-1822,-818
1996-01-30,-7,1995-12-12,144270,39016,105254,25778,10248,15530,40409
1996-01-30,-6,1995-12-19,148078,45210,102868,3808,6194,-2386,32870
1996-01-30,-5,1995-12-26,132357,38861,93496,-15721,-6349,-9372,-26510
1996-01-30,-4,1996-01-02,157603,45226,112377,25246,6365,18881,46772
1996-01-30,-3,1996-01-09,119033,45662,73371,-38570,436,-39006,-12933
1996-01-30,-2,1996-01-16,104568,82892,21676,-14465,37230,-51695,29855
1996-01-30,-1,1996-01-23,93198,66444,26754,-11370,-16448,5078,17915
1996-01-30,0,1996-01-30,162504,37725,124779,69306,-28719,98025,44294
1996-01-30,1,1996-02-06,175984,44843,131141,13480,7118,6362,21887
1996-01-30,2,1996-02-13,171254,43326,127928,-4730,-1517,-3213,-2802
1996-01-30,3,1996-02-20,164484,51702,112782,-6770,8376,-15146,-61386
1996-01-30,4,1996-02-27,160114,41517,118597,-4370,-10185,5815,-42589
1996-01-30,5,1996-03-05,140999,42977,98022,-19115,1460,-20575,-20682
1996-01-30,6,1996-03-12,129215,36668,92547,-11784,-6309,-5475,-24544
1996-01-30,7,1996-03-19,93639,50642,42997,-35576,13974,-49550,-50084
1996-01-30,8,1996-03-26,126269,38694,87575,32630,-11948,44578,44393
1996-03-26,-8,1996-01-30,162504,37725,124779,69306,-28719,98025,44294
1996-03-26,-7,1996-02-06,175984,44843,131141,13480,7118,6362,21887
1996-03-26,-6,1996-02-13,171254,43326,127928,-4730,-1517,-3213,-2802
1996-03-26,-5,1996-02-20,164484,51702,112782,-6770,8376,-15146,-61386
1996-03-26,-4,1996-02-27,160114,41517,118597,-4370,-10185,5815,-42589
1996-03-26,-3,1996-03-05,140999,42977,98022,-19115,1460,-20575,-20682
1996-03-26,-2,1996-03-12,129215,36668,92547,-11784,-6309,-5475,-24544
1996-03-26,-1,1996-03-19,93639,50642,42997,-35576,13974,-49550,-50084
1996-03-26,0,1996-03-26,126269,38694,87575,32630,-11948,44578,44393
1996-03-26,1,1996-04-02,145909,40364,105545,19640,1670,17970,62983
1996-03-26,2,1996-04-09,150163,35319,114844,4254,-5045,9299,68514
1996-03-26,3,1996-04-16,134561,28254,106307,-15602,-7065,-8537,65322
1996-03-26,4,1996-04-23,139303,30529,108774,4742,2275,2467,27077
1996-03-26,5,1996-04-30,120072,24082,95990,-19231,-6447,-12784,-65611
