time,ho1,spread
2015-11-30,1.3624,-0.0231999999999998
2015-12-01,1.36,-0.0267999999999999
2015-12-02,1.3189,-0.0297
2015-12-03,1.3664,-0.0271999999999998
2015-12-04,1.3509,-0.0275
2015-12-07,1.2807,-0.0230000000000001
2015-12-08,1.2554,-0.0272999999999998
2015-12-09,1.245,-0.0268999999999999
2015-12-10,1.2149,-0.0292999999999998
2015-12-11,1.1432,-0.0351999999999999
2015-12-14,1.122,-0.0410999999999999
2015-12-15,1.1774,-0.0348999999999999
2015-12-16,1.154,-0.0346000000000001
2015-12-17,1.141,-0.0315
2015-12-18,1.1352,-0.0283999999999999
2015-12-21,1.1221,-0.0293999999999998
2015-12-22,1.1258,-0.0282
2015-12-23,1.1633,-0.026
2015-12-24,1.1396,-0.0289000000000001
2015-12-28,1.1166,-0.0253999999999998
2015-12-29,1.1462,-0.0237999999999998
2015-12-30,1.1219,-0.0255
2015-12-31,1.1329,-0.0228999999999999
2016-01-04,1.1342,-0.0205999999999999
2016-01-05,1.1315,-0.0192000000000001
2016-01-06,1.0899,-0.0162999999999999
2016-01-07,1.0662,-0.0186999999999999
2016-01-08,1.0443,-0.0222999999999999
2016-01-11,1.0103,-0.0197
2016-01-12,0.9877,-0.0187999999999999
2016-01-13,0.9845,-0.0178999999999999
2016-01-14,1.0013,-0.0153999999999998
2016-01-15,0.954,-0.0157
2016-01-19,0.9206,-0.0131999999999999
2016-01-20,0.8782,-0.0132999999999999
2016-01-21,0.9203,-0.0162999999999999
2016-01-22,1.0102,-0.0130000000000001
2016-01-25,0.9403,-0.0145999999999999
2016-01-26,0.9691,-0.0134
2016-01-27,1.0332,-0.0128000000000001
2016-01-28,1.0638,-0.0136999999999998
2016-01-29,1.0796,-0.0124000000000001
2016-02-01,1.039,-0.0134
2016-02-02,1.0072,-0.0109999999999998
2016-02-03,1.0942,-0.0100999999999999
2016-02-04,1.0792,-0.0117
2016-02-05,1.0645,-0.0115
2016-02-08,1.0496,-0.0096999999999998
2016-02-09,0.9857,-0.0108
2016-02-10,0.9802,-0.0110999999999999
2016-02-11,1.0145,-0.0150000000000001
2016-02-12,1.0639,-0.0173999999999998
2016-02-16,1.0441,-0.0152999999999998
2016-02-17,1.1121,-0.0178999999999998
2016-02-18,1.0914,-0.0169000000000001
2016-02-19,1.0446,-0.0205999999999999
2016-02-22,1.0703,-0.0212999999999998
2016-02-23,1.0314,-0.0217999999999998
2016-02-24,1.0706,-0.0207999999999999
2016-02-25,1.079,-0.0185999999999999
2016-02-26,1.0687,-0.0194
2016-02-29,1.0965,-0.0199
2016-03-01,1.0914,-0.02
2016-03-02,1.112,-0.0175999999999998
2016-03-03,1.121,-0.0144999999999999
2016-03-04,1.165,-0.016
2016-03-07,1.2242,-0.0137
2016-03-08,1.199,-0.0127999999999999
2016-03-09,1.2264,-0.0109000000000001
2016-03-10,1.223,-0.0080999999999999
2016-03-11,1.2154,-0.012
2016-03-14,1.2024,-0.0102999999999999
2016-03-15,1.195,-0.0119
2016-03-16,1.2377,-0.0106999999999999
2016-03-17,1.262,-0.0090999999999998
2016-03-18,1.2572,-0.0093999999999998
2016-03-21,1.2498,-0.0145999999999999
2016-03-22,1.2574,-0.0114999999999998
2016-03-23,1.2164,-0.0162999999999999
2016-03-24,1.2111,-0.0146999999999999
2016-03-28,1.1926,-0.0169999999999999
2016-03-29,1.1773,-0.0163999999999999
2016-03-30,1.1741,-0.0162999999999999
2016-03-31,1.1849,-0.0159
2016-04-01,1.1358,-0.0152000000000001
2016-04-04,1.0845,-0.0196
2016-04-05,1.0855,-0.0171000000000001
2016-04-06,1.1405,-0.0145999999999999
2016-04-07,1.1322,-0.014
2016-04-08,1.1964,-0.0107000000000001
2016-04-11,1.2145,-0.0101999999999999
2016-04-12,1.2714,-0.0076999999999998
2016-04-13,1.2634,-0.0089999999999998
2016-04-14,1.2658,-0.014
2016-04-15,1.2461,-0.0158
2016-04-18,1.2511,-0.0109999999999998
2016-04-19,1.2742,-0.0128999999999999
2016-04-20,1.3367,-0.0104999999999999
2016-04-21,1.3166,-0.0116
2016-04-22,1.3193,-0.0116
2016-04-25,1.3109,-0.0104999999999999
2016-04-26,1.3538,-0.0105000000000001
2016-04-27,1.3861,-0.0100999999999999
2016-04-28,1.4052,-0.0074
2016-04-29,1.3819,-0.0083000000000001
2016-05-02,1.359,-0.0082999999999999
