date,open,high,low,close,volume,adj_close
2012-03-30,25.97,27.18,25.97,26.0,370426.0,26.0
2012-04-02,26.0,26.73,25.77,26.49,272208.0,26.49
2012-04-03,26.2,26.84,25.9,26.02,309261.0,26.02
2012-04-04,25.77,26.01,25.1,25.16,321869.0,25.16
2012-04-05,25.2,26.16,25.16,25.56,355118.0,25.56
2012-04-09,25.48,25.86,25.0,25.63,259942.0,25.63
2012-04-10,25.85,25.97,24.23,24.49,340202.0,24.49
2012-04-11,24.75,24.75,23.85,23.89,188457.0,23.89
2012-04-12,23.95,24.2,23.75,23.98,243932.0,23.98
2012-04-13,23.82,24.09,23.0,23.06,164255.0,23.06
2012-04-16,23.1,23.75,23.0,23.41,194143.0,23.41
2012-04-17,23.5,24.39,23.5,24.34,122573.0,24.34
2012-04-18,24.27,25.67,24.2,25.13,114614.0,25.13
2012-04-19,25.03,25.1,24.32,24.72,140662.0,24.72
2012-04-20,24.51,24.98,24.11,24.49,115632.0,24.49
2012-04-23,24.33,24.49,23.51,24.06,59220.0,24.06
2012-04-24,23.96,24.66,23.93,24.39,148965.0,24.39
2012-04-25,24.73,25.0,24.0,24.92,94124.0,24.92
2012-04-26,24.93,26.11,24.59,26.11,133058.0,26.11
2012-04-27,26.26,27.23,25.79,26.97,98664.0,26.97
2012-04-30,26.57,27.91,26.57,27.01,251984.0,27.01
2012-05-01,27.33,27.84,26.19,26.5,289694.0,26.5
2012-05-02,26.12,27.25,26.01,26.82,124438.0,26.82
2012-05-03,26.67,26.69,25.17,25.67,133822.0,25.67
2012-05-04,25.52,25.94,25.0,25.38,76071.0,25.38
2012-05-07,25.23,25.51,25.21,25.48,73790.0,25.48
2012-05-08,25.37,25.73,23.61,24.94,158390.0,24.94
2012-05-09,24.69,24.95,23.57,23.85,292651.0,23.85
2012-05-10,23.85,25.15,23.71,24.22,216602.0,24.22
2012-05-11,24.95,26.07,24.95,25.49,461471.0,25.49
2012-05-14,25.48,26.2,25.35,25.6,171083.0,25.6
2012-05-15,25.67,26.04,25.29,25.99,109171.0,25.99
2012-05-16,26.0,26.16,23.7,24.37,328924.0,24.37
2012-05-17,24.66,24.68,23.36,23.89,219080.0,23.89
2012-05-18,24.0,24.01,23.13,23.53,159345.0,23.53
2012-05-21,23.52,23.87,22.93,23.15,178016.0,23.15
2012-05-22,23.08,23.57,21.45,21.86,576312.0,21.86
2012-05-23,21.7,21.8,20.77,20.96,689939.0,20.96
2012-05-24,21.07,21.65,20.61,20.8,242330.0,20.8
2012-05-25,20.83,20.86,20.34,20.6,137015.0,20.6
2012-05-29,20.6,20.77,19.99,20.28,343112.0,20.28
2012-05-30,20.18,20.3,19.63,19.63,145286.0,19.63
2012-05-31,19.6,20.08,19.06,19.81,278044.0,19.81
2012-06-01,19.5,19.73,18.53,19.3,316843.0,19.3
2012-06-04,19.28,22.03,18.82,21.55,484073.0,21.55
2012-06-05,21.45,21.78,20.91,21.64,226838.0,21.64
2012-06-06,21.78,22.42,21.23,22.3,240044.0,22.3
2012-06-07,22.53,22.53,21.38,21.76,219889.0,21.76
2012-06-08,21.87,21.87,20.92,21.5,334511.0,21.5
2012-06-11,21.85,22.09,20.64,20.91,438487.0,20.91
2012-06-12,20.85,21.17,20.26,20.83,217812.0,20.83
2012-06-13,20.85,21.43,20.67,20.8,149413.0,20.8
