date,open,high,low,close,volume,adj_close
2001-01-02,11.38,11.69,11.38,11.5,227800.0,11.5
2001-01-03,11.44,11.56,11.12,11.12,263900.0,11.12
2001-01-04,11.12,11.12,10.44,10.75,111500.0,10.75
2001-01-05,10.69,10.75,10.44,10.69,57800.0,10.69
2001-01-08,10.75,10.81,10.56,10.81,69200.0,10.81
2001-01-09,10.75,11.06,10.75,10.94,44600.0,10.94
2001-01-10,11.0,11.0,10.69,10.75,93800.0,10.75
2001-01-11,10.88,10.88,10.5,10.56,174000.0,10.56
2001-01-12,10.56,10.56,10.25,10.38,230200.0,10.38
2001-01-16,10.38,10.5,10.38,10.44,129700.0,10.44
2001-01-17,10.38,10.5,10.31,10.38,118400.0,10.38
2001-01-18,10.38,10.38,9.94,9.94,139800.0,9.94
2001-01-19,9.94,10.31,9.88,10.31,81100.0,10.31
2001-01-22,10.38,10.5,10.31,10.38,35800.0,10.38
2001-01-23,10.38,10.69,10.38,10.69,155000.0,10.69
2001-01-24,10.75,10.75,10.5,10.5,42900.0,10.5
2001-01-25,10.5,10.62,10.5,10.56,46300.0,10.56
2001-01-26,10.56,10.75,10.5,10.69,42300.0,10.69
2001-01-29,10.76,10.78,10.6,10.69,50500.0,10.69
2001-01-30,10.68,11.19,10.55,11.1,123500.0,11.1
2001-01-31,11.18,11.25,10.72,10.72,185600.0,10.72
2001-02-01,10.81,11.15,10.81,11.07,123000.0,11.07
2001-02-02,11.1,11.28,11.04,11.16,65300.0,11.16
2001-02-05,11.19,11.26,11.18,11.18,45100.0,11.18
2001-02-06,11.24,11.31,11.19,11.21,103100.0,11.21
2001-02-07,11.25,11.3,11.16,11.27,44700.0,11.27
2001-02-08,11.23,11.28,11.14,11.19,62800.0,11.19
2001-02-09,11.19,11.23,11.11,11.21,57500.0,11.21
2001-02-12,11.17,11.31,11.03,11.31,82500.0,11.31
2001-02-13,11.25,11.37,11.1,11.23,61100.0,11.23
2001-02-14,11.26,11.38,11.26,11.36,40400.0,11.36
2001-02-15,11.32,11.35,11.07,11.19,74700.0,11.19
2001-02-16,11.1,11.44,11.1,11.27,45800.0,11.27
2001-02-20,11.29,11.53,11.29,11.52,126300.0,11.52
2001-02-21,11.49,11.52,11.19,11.22,92700.0,11.22
2001-02-22,11.25,11.67,11.25,11.66,119200.0,11.66
2001-02-23,11.72,11.72,11.52,11.65,119300.0,11.65
2001-02-26,11.7,11.87,11.65,11.77,78600.0,11.77
2001-02-27,11.75,11.93,11.71,11.8,108300.0,11.8
2001-02-28,11.8,12.18,11.8,12.18,108800.0,12.18
2001-03-01,12.08,12.38,12.0,12.15,144300.0,12.15
2001-03-02,12.09,12.27,11.93,12.11,113500.0,12.11
2001-03-05,12.18,12.24,12.0,12.19,81200.0,12.19
2001-03-06,12.25,12.25,11.96,12.04,48700.0,12.04
2001-03-07,12.0,12.02,11.84,11.98,74400.0,11.98
2001-03-08,11.95,12.03,11.74,11.83,79500.0,11.83
2001-03-09,11.76,12.22,11.73,12.09,155800.0,12.09
2001-03-12,11.99,12.17,11.99,12.08,81200.0,12.08
2001-03-13,12.03,12.16,11.98,12.16,60400.0,12.16
2001-03-14,12.12,12.2,12.02,12.08,107200.0,12.08
2001-03-15,12.09,12.18,12.04,12.18,118800.0,12.18
2001-03-16,12.08,12.48,12.07,12.35,171200.0,12.35
2001-03-19,12.35,12.4,12.21,12.38,95700.0,12.38
2001-03-20,12.44,12.47,12.31,12.31,82300.0,12.31
2001-03-21,12.21,12.21,11.92,12.06,163800.0,12.06
2001-03-22,11.97,12.09,11.8,11.99,203200.0,11.99
2001-03-23,11.95,11.95,11.75,11.95,136400.0,11.95
2001-03-26,11.9,12.01,11.88,11.96,149700.0,11.96
2001-03-27,11.88,12.0,11.81,11.87,62700.0,11.87
2001-03-28,11.78,12.11,11.64,12.1,174200.0,12.1
2001-03-29,12.0,12.21,11.99,12.06,185300.0,12.06
2001-03-30,12.12,12.25,12.12,12.23,57600.0,12.23
2001-04-02,12.23,12.29,12.15,12.26,63700.0,12.26
2001-04-03,12.23,12.23,12.01,12.05,58000.0,12.05
2001-04-04,12.05,12.14,11.95,12.0,56300.0,12.0
2001-04-05,11.9,11.94,11.84,11.89,71900.0,11.89
2001-04-06,11.85,11.98,11.85,11.87,38200.0,11.87
2001-04-09,11.92,11.95,11.8,11.95,40600.0,11.95
2001-04-10,12.0,12.0,11.64,11.78,156200.0,11.78
2001-04-11,11.69,11.75,11.45,11.46,244200.0,11.46
2001-04-12,11.43,11.53,11.38,11.45,61200.0,11.45
2001-04-16,11.41,11.59,11.41,11.59,96100.0,11.59
2001-04-17,11.6,11.8,11.53,11.56,122100.0,11.56
2001-04-18,11.46,11.71,11.42,11.54,89800.0,11.54
2001-04-19,11.62,11.81,11.57,11.75,86800.0,11.75
