date,open,high,low,close,volume,adj_close
2013-09-27,10.44,10.44,10.0,10.1,253329.0,10.1
2013-09-30,10.0,10.18,9.71,10.0,84885.0,10.0
2013-10-01,9.95,10.02,9.92,10.0,74509.0,10.0
2013-10-02,9.99,10.0,9.89,9.97,94046.0,9.97
2013-10-03,10.0,10.01,9.8,10.0,72425.0,10.0
2013-10-04,10.1,10.2,9.82,10.2,109774.0,10.2
2013-10-07,10.4,10.4,10.06,10.18,52731.0,10.18
2013-10-08,10.2,10.2,10.1,10.12,13890.0,10.12
2013-10-09,10.14,10.21,10.14,10.15,14788.0,10.15
2013-10-10,10.5,10.55,10.01,10.2,80330.0,10.2
2013-10-11,10.31,10.41,10.15,10.18,23700.0,10.18
2013-10-14,9.51,10.05,9.07,10.0,64386.0,10.0
2013-10-15,9.78,10.29,9.77,10.18,10182.0,10.18
2013-10-16,10.28,10.28,10.01,10.25,7081.0,10.25
2013-10-17,10.09,10.55,10.0,10.44,63082.0,10.44
2013-10-18,10.48,12.0,10.48,11.01,154212.0,11.01
2013-10-21,12.98,13.0,11.55,12.9,252626.0,12.9
2013-10-22,13.0,13.5,12.67,13.13,321195.0,13.13
2013-10-23,12.99,13.41,12.9,13.11,64997.0,13.11
2013-10-24,13.1,13.49,12.45,12.61,74727.0,12.61
2013-10-25,12.45,12.8,12.26,12.36,130249.0,12.36
2013-10-28,12.25,12.38,11.53,11.87,67819.0,11.87
2013-10-29,11.91,13.18,11.91,13.06,180066.0,13.06
2013-10-30,13.05,13.18,11.6,12.55,132951.0,12.55
2013-10-31,12.65,13.02,12.55,12.68,89273.0,12.68
2013-11-01,12.87,12.95,12.29,12.76,46390.0,12.76
2013-11-04,12.85,13.0,12.85,13.0,67683.0,13.0
2013-11-05,12.84,13.0,12.75,13.0,29211.0,13.0
2013-11-06,12.5,13.31,12.5,13.12,99898.0,13.12
2013-11-07,13.0,13.48,12.75,13.0,70982.0,13.0
2013-11-08,12.9,12.99,12.42,12.8,88234.0,12.8
2013-11-11,12.8,13.06,12.69,12.9,17249.0,12.9
2013-11-12,12.92,13.1,12.86,13.0,12201.0,13.0
2013-11-13,12.88,12.99,12.52,12.62,13520.0,12.62
2013-11-14,12.51,12.58,12.21,12.39,20914.0,12.39
2013-11-15,12.39,12.69,12.25,12.66,16508.0,12.66
2013-11-18,12.52,12.78,12.2,12.21,79888.0,12.21
2013-11-19,12.34,12.49,12.24,12.43,10425.0,12.43
2013-11-20,12.48,12.57,12.31,12.5,21965.0,12.5
2013-11-21,12.5,12.56,12.38,12.56,27220.0,12.56
2013-11-22,12.58,12.58,12.31,12.57,39288.0,12.57
2013-11-25,12.57,12.8,12.57,12.57,59658.0,12.57
2013-11-26,12.64,12.64,12.23,12.63,46586.0,12.63
2013-11-27,12.5,12.99,12.24,12.96,36227.0,12.96
2013-11-29,12.96,13.24,12.25,13.19,54579.0,13.19
2013-12-02,13.07,13.26,12.58,12.58,18598.0,12.58
2013-12-03,12.61,13.0,12.2,12.31,47338.0,12.31
2013-12-04,12.38,12.91,12.3,12.89,74989.0,12.89
2013-12-05,12.75,13.2,12.75,13.12,125953.0,13.12
2013-12-06,13.16,14.74,13.16,14.37,192131.0,14.37
2013-12-09,14.71,15.84,14.5,14.88,195139.0,14.88
2013-12-10,14.73,15.75,14.73,15.59,100568.0,15.59
2013-12-11,15.6,16.61,15.51,15.81,127916.0,15.81
2013-12-12,16.0,16.1,14.69,15.14,97150.0,15.14
2013-12-13,15.26,15.96,14.29,14.78,68817.0,14.78
2013-12-16,14.93,15.87,14.71,15.48,92361.0,15.48
2013-12-17,15.51,15.83,14.89,15.14,77538.0,15.14
2013-12-18,15.15,15.43,14.85,15.2,77207.0,15.2
2013-12-19,15.2,15.65,14.75,15.39,80790.0,15.39
2013-12-20,15.06,15.32,14.5,14.8,448843.0,14.8
2013-12-23,14.72,15.03,14.72,14.93,32381.0,14.93
2013-12-24,14.9,15.19,14.85,15.02,51901.0,15.02
2013-12-26,15.02,15.05,14.88,14.97,22648.0,14.97
2013-12-27,15.0,15.08,14.85,14.89,66763.0,14.89
2013-12-30,14.85,15.0,14.67,14.98,37181.0,14.98
2013-12-31,15.0,15.1,14.71,15.01,83518.0,15.01
2014-01-02,14.88,14.92,14.61,14.63,22410.0,14.63
2014-01-03,14.63,14.75,14.26,14.35,47344.0,14.35
2014-01-06,14.35,14.49,14.1,14.3,63842.0,14.3
2014-01-07,14.89,14.89,14.35,14.74,49191.0,14.74
2014-01-08,14.75,14.81,14.5,14.66,37553.0,14.66
2014-01-09,14.65,14.65,14.01,14.16,42519.0,14.16
2014-01-10,14.16,14.32,13.58,14.0,48218.0,14.0
2014-01-13,13.83,14.06,13.69,13.7,43290.0,13.7
2014-01-14,13.72,14.13,13.58,13.88,116550.0,13.88
2014-01-15,14.0,14.1,13.58,13.97,63592.0,13.97
2014-01-16,13.9,14.56,13.85,14.29,71362.0,14.29
2014-01-17,14.15,14.5,14.15,14.42,44938.0,14.42
2014-01-21,14.35,14.47,14.1,14.15,14755.0,14.15
2014-01-22,14.11,14.33,13.92,14.15,41401.0,14.15
2014-01-23,13.84,14.36,13.6,13.73,37855.0,13.73
2014-01-24,13.46,13.59,13.0,13.39,117258.0,13.39
2014-01-27,13.5,13.81,13.4,13.72,33888.0,13.72
2014-01-28,13.85,14.19,13.76,13.84,40051.0,13.84
2014-01-29,13.63,13.82,13.57,13.61,22819.0,13.61
2014-01-30,13.67,14.4,13.67,14.0,69347.0,14.0
2014-01-31,13.88,13.96,13.4,13.63,36924.0,13.63
2014-02-03,13.7,14.36,13.45,13.61,115790.0,13.61
2014-02-04,13.69,13.86,13.6,13.68,26604.0,13.68
2014-02-05,13.56,13.64,13.12,13.14,39378.0,13.14
2014-02-06,13.23,13.33,13.11,13.16,30168.0,13.16
2014-02-07,12.9,13.07,12.38,13.07,49034.0,13.07
2014-02-10,13.12,13.25,12.75,13.12,31253.0,13.12
2014-02-11,13.19,13.35,12.78,12.79,22149.0,12.79
2014-02-12,12.87,12.99,12.49,12.51,39065.0,12.51
2014-02-13,12.0,12.62,11.19,12.61,63830.0,12.61
2014-02-14,12.5,14.19,12.5,13.99,78521.0,13.99
2014-02-18,14.1,14.11,13.61,13.73,102106.0,13.73
2014-02-19,13.51,15.16,13.5,15.02,100786.0,15.02
2014-02-20,15.5,18.75,15.5,17.98,468679.0,17.98
2014-02-21,17.64,20.75,17.64,20.67,358226.0,20.67
2014-02-24,20.5,21.12,19.1,20.1,297902.0,20.1
2014-02-25,20.2,20.99,19.47,20.0,126129.0,20.0
2014-02-26,20.35,20.57,19.61,19.79,95634.0,19.79
2014-02-27,19.7,20.0,18.94,19.2,185819.0,19.2
2014-02-28,23.55,24.96,21.66,23.66,482186.0,23.66
2014-03-03,22.88,25.49,22.01,25.11,265378.0,25.11
2014-03-04,25.02,25.39,24.05,24.64,215575.0,24.64
2014-03-05,24.74,25.37,24.27,25.15,163284.0,25.15
2014-03-06,25.0,26.45,24.93,26.36,223601.0,26.36
2014-03-07,25.85,25.85,24.4,25.29,165672.0,25.29
2014-03-10,25.31,27.52,25.05,27.42,108501.0,27.42
2014-03-11,27.67,28.01,26.18,26.32,83123.0,26.32
2014-03-12,26.26,26.96,26.15,26.46,124373.0,26.46
2014-03-13,26.95,27.22,26.0,26.2,135867.0,26.2
2014-03-14,26.07,26.3,25.05,25.4,88133.0,25.4
2014-03-17,25.55,26.5,25.12,25.75,113210.0,25.75
2014-03-18,25.68,25.92,24.8,25.51,174783.0,25.51
2014-03-19,25.48,26.45,24.62,26.34,154051.0,26.34
2014-03-20,25.08,27.0,25.0,25.7,1383627.0,25.7
2014-03-21,25.68,26.03,25.05,25.45,232073.0,25.45
2014-03-24,26.01,26.15,24.84,25.81,213134.0,25.81
2014-03-25,26.0,26.75,24.92,25.43,209249.0,25.43
2014-03-26,25.5,25.74,23.98,24.27,468478.0,24.27
2014-03-27,24.29,25.23,23.61,24.95,367246.0,24.95
2014-03-28,25.0,25.34,24.06,24.96,274663.0,24.96
2014-03-31,24.7,24.84,24.5,24.64,511012.0,24.64
2014-04-01,24.55,24.55,23.68,24.35,405482.0,24.35
2014-04-02,24.4,24.58,23.6,24.29,319385.0,24.29
2014-04-03,24.29,24.56,23.4,23.56,221775.0,23.56
2014-04-04,23.64,23.64,22.22,22.31,329396.0,22.31
2014-04-07,22.19,22.51,20.74,20.99,304536.0,20.99
2014-04-08,20.07,22.13,20.0,21.99,395933.0,21.99
2014-04-09,21.94,23.64,21.94,23.3,352124.0,23.3
2014-04-10,23.0,23.13,21.26,21.79,394201.0,21.79
2014-04-11,21.57,22.1,20.42,20.73,227553.0,20.73
2014-04-14,20.84,21.75,20.65,21.53,158091.0,21.53
2014-04-15,21.51,21.7,20.84,21.51,206817.0,21.51
2014-04-16,21.5,22.97,21.25,22.7,121123.0,22.7
2014-04-17,22.7,23.9,22.36,23.61,216654.0,23.61
2014-04-21,23.65,24.0,23.16,23.39,107008.0,23.39
2014-04-22,23.34,23.95,23.04,23.85,250539.0,23.85
2014-04-23,23.81,24.24,23.43,23.63,227522.0,23.63
2014-04-24,23.79,23.79,23.09,23.51,216513.0,23.51
2014-04-25,23.34,23.8,23.0,23.55,204985.0,23.55
2014-04-28,23.53,24.25,22.18,22.68,192408.0,22.68
2014-04-29,22.6,23.09,22.13,22.84,92683.0,22.84
2014-04-30,22.76,22.76,22.07,22.5,185722.0,22.5
2014-05-01,22.56,22.57,21.55,21.97,233296.0,21.97
2014-05-02,21.92,22.13,21.35,21.81,129755.0,21.81
2014-05-05,21.7,21.77,20.88,21.45,115549.0,21.45
2014-05-06,21.4,21.46,20.89,20.9,133110.0,20.9
2014-05-07,21.05,21.05,19.51,20.0,307134.0,20.0
2014-05-08,19.5,20.01,18.01,19.0,221783.0,19.0
2014-05-09,18.03,18.88,15.52,17.57,1153355.0,17.57
2014-05-12,17.57,17.64,17.08,17.44,276381.0,17.44
2014-05-13,17.4,17.95,17.21,17.26,168655.0,17.26
2014-05-14,17.17,17.5,16.93,17.22,179715.0,17.22
2014-05-15,17.43,18.48,17.34,18.15,303023.0,18.15
2014-05-16,18.04,18.29,17.67,18.15,134900.0,18.15
2014-05-19,17.99,19.6,17.99,19.28,235663.0,19.28
2014-05-20,19.24,19.24,18.02,18.15,140273.0,18.15
2014-05-21,18.11,19.65,17.81,18.35,117622.0,18.35
2014-05-22,18.35,19.04,18.01,18.66,106296.0,18.66
2014-05-23,18.7,18.88,18.32,18.76,59696.0,18.76
2014-05-27,18.78,19.38,18.56,19.1,81685.0,19.1
2014-05-28,19.38,20.58,19.38,20.39,208645.0,20.39
2014-05-29,20.49,22.05,20.48,21.63,346745.0,21.63
2014-05-30,21.52,21.8,20.8,21.41,244263.0,21.41
2014-06-02,21.36,21.5,20.02,20.5,177753.0,20.5
2014-06-03,20.34,20.8,19.99,20.13,147308.0,20.13
