date,open,high,low,close,volume,adj_close
1995-01-03,23.5,23.5625,23.0625,23.375,1299200,14.11199951171875
1995-01-04,23.375,23.5625,23.25,23.3125,1227600,14.074273109436035
1995-01-05,23.3125,23.5,23.1875,23.375,1744000,14.11199951171875
1995-01-06,23.375,24.125,23.3125,23.8125,2084200,14.376129150390625
1995-01-09,23.8125,24,23.6875,23.8125,1178600,14.376129150390625
1995-01-10,23.8125,24.125,23.6875,23.6875,1416000,14.3006591796875
1995-01-11,23.6875,23.9375,23.5625,23.625,1507400,14.262931823730469
1995-01-12,23.625,24.625,23.625,24.5625,2536600,14.828920364379883
1995-01-13,24.5625,24.875,24.3125,24.6875,2677200,14.904386520385742
1995-01-16,24.6875,24.6875,24.1875,24.375,2499400,14.715719223022461
1995-01-17,24.375,24.875,24.3125,24.8125,2814600,14.979850769042969
1995-01-18,24.8125,24.875,24.5625,24.625,1789600,14.866656303405762
1995-01-19,24.5,24.5,24.0625,24.125,1499200,14.564793586730957
1995-01-20,24,24,23.375,23.8125,2776200,14.376129150390625
1995-01-23,23.8125,23.8125,23.375,23.6875,1464800,14.3006591796875
1995-01-24,23.6875,24.0625,23.6875,23.875,1474200,14.413864135742188
1995-01-25,23.8125,23.8125,23.25,23.3125,2125000,14.074273109436035
1995-01-26,23.125,23.125,22.625,22.9375,3379200,13.847871780395508
1995-01-27,22.9375,23,22.5625,22.875,2348800,13.810141563415527
1995-01-30,22.8125,22.8125,22.3125,22.4375,2337600,13.546006202697754
1995-01-31,22.4375,22.4375,22.1875,22.25,2882000,13.432812690734863
1995-02-01,22.25,23.25,22.1875,22.9375,3605400,13.847871780395508
1995-02-02,23.125,23.5,23.125,23.125,3031600,13.961075782775879
1995-02-03,23.3125,24.125,23.3125,23.3125,4942600,14.074273109436035
1995-02-06,23.5625,23.9375,23.5625,23.5625,3344400,14.301883697509766
1995-02-07,23.5625,23.9375,23.5625,23.875,2337000,14.491567611694336
1995-02-08,23.875,24.0625,23.8125,23.9375,2182800,14.529505729675293
1995-02-09,23.9375,24.0625,23.75,23.8125,2903200,14.453625679016113
1995-02-10,23.8125,23.8125,23.3125,23.375,2711600,14.18807315826416
1995-02-13,23.375,23.5625,23.125,23.125,1732000,14.036336898803711
1995-02-14,23.125,23.25,22.875,22.9375,2740800,13.922524452209473
1995-02-15,22.9375,23.375,22.9375,23.25,3231400,14.112204551696777
1995-02-16,23.25,23.375,23,23.125,1176400,14.036336898803711
1995-02-17,23.125,23.1875,22.875,23,2203600,13.960454940795898
1995-02-21,23,23.25,23,23.25,1417600,14.112204551696777
1995-02-22,23.25,23.375,23,23.125,1403200,14.036336898803711
1995-02-23,23.125,23.5,23.0625,23.5,1748400,14.263947486877441
1995-02-24,23.5,23.5,23.0625,23.25,4859400,14.112204551696777
1995-02-27,23.25,23.4375,23.0625,23.125,2391400,14.036336898803711
1995-02-28,23.125,23.1875,23,23.0625,2497400,13.998406410217285
1995-03-01,23.0625,23.1875,22.9375,23.0625,2532600,13.998406410217285
1995-03-02,23.0625,23.1875,23.0625,23.0625,1279800,13.998406410217285
1995-03-03,23.0625,23.1875,23,23.125,1242600,14.036336898803711
1995-03-06,23.0625,23.0625,22.875,22.9375,2315800,13.922524452209473
1995-03-07,22.9375,23.0625,22.75,22.75,1722400,13.808712005615234
1995-03-08,22.75,22.9375,22.75,22.75,1248000,13.808712005615234
1995-03-09,22.75,23.125,22.75,23.0625,1337800,13.998406410217285
1995-03-10,23.1875,23.4375,23.1875,23.4375,1496000,14.2260103225708
1995-03-13,23.4375,23.5625,23.3125,23.375,887200,14.18807315826416
1995-03-14,23.9375,24.875,23.9375,24.4375,5557000,14.832987785339355
1995-03-15,24.375,24.375,24,24,1804600,14.567435264587402
1995-03-16,24,24.6875,24,24.625,2979400,14.946800231933594
1995-03-17,24.625,24.9375,24.5625,24.8125,3218200,15.060606956481934
1995-03-20,24.8125,25.0625,24.625,24.625,2273200,14.946800231933594
1995-03-21,24.625,24.875,24.5625,24.625,1403800,14.946800231933594
1995-03-22,24.625,24.625,24.3125,24.3125,882800,14.75711441040039
1995-03-23,24.3125,24.5625,24.125,24.5625,1353400,14.90886116027832
1995-03-24,24.5625,25.0625,24.5,24.875,2689600,15.098543167114258
1995-03-27,25.375,25.9375,25.375,25.8125,4302000,15.667581558227539
1995-03-28,25.8125,25.875,25.5625,25.8125,2087400,15.667581558227539
1995-03-29,25.8125,26.9375,25.8125,26.25,6144800,15.933130264282227
1995-03-30,26.25,26.625,25.875,26.5625,4178400,16.122814178466797
1995-03-31,26.5625,27,26,26.875,3813200,16.3124942779541
1995-04-03,26.8125,26.8125,26.3125,26.4375,3261000,16.046937942504883
1995-04-04,26.4375,26.75,26.3125,26.75,3501200,16.23661994934082
1995-04-05,26.75,27,26.5,26.625,2164200,16.16074562072754
1995-04-06,26.625,26.8125,26.5625,26.6875,1524800,16.198684692382812
1995-04-07,26.6875,26.875,26.625,26.6875,1698000,16.198684692382812
1995-04-10,26.6875,26.9375,26.625,26.9375,1344600,16.350435256958008
1995-04-11,26.9375,27.1875,26.75,26.9375,2529400,16.350435256958008
1995-04-12,27,28.25,27,27.9375,4944600,16.957399368286133
1995-04-13,27.9375,27.9375,27.3125,27.5625,2348000,16.729799270629883
1995-04-17,27.5625,27.8125,27.5625,27.625,1821000,16.76772689819336
1995-04-18,27.5,27.5,26.5625,26.75,2406200,16.23661994934082
1995-04-19,26.75,27.25,26.75,26.875,2038200,16.3124942779541
1995-04-20,27,27.5,27,27.4375,2169600,16.653911590576172
1995-04-21,27.4375,28,27.375,27.875,2630800,16.91947364807129
1995-04-24,27.875,28.5,27.625,28.4375,2645400,17.26089096069336
1995-04-25,28.3125,28.3125,27.875,28.0625,2572800,17.033283233642578
1995-04-26,28.0625,28.3125,27.875,28.0625,3009400,17.033283233642578
1995-04-27,28.0625,28.1875,27.75,27.9375,1996400,16.957399368286133
1995-04-28,27.875,27.875,27.3125,27.5,2270800,16.69185447692871
1995-05-01,27.5,27.6875,27.4375,27.4375,1840800,16.653911590576172
1995-05-02,27.4375,27.875,27.3125,27.8125,1414600,16.88153076171875
1995-05-03,27.8125,28.125,27.75,28,1807800,16.995342254638672
1995-05-04,28,28.3125,27.6875,27.75,2710400,16.843595504760742
1995-05-05,27.75,27.8125,27.3125,27.4375,1825400,16.653911590576172
1995-05-08,27.375,27.375,26.875,27.3125,1889000,16.653919219970703
1995-05-09,27.375,27.875,27.375,27.875,2035600,16.996912002563477
1995-05-10,27.875,28.125,27.25,27.25,1651000,16.61581039428711
