datetime,open,high,low,close,volume
2026-03-10 00:00,67.91,67.94,67.23,67.81,15
2026-03-10 01:00,67.76,67.96,67.64,67.9,7
2026-03-10 02:00,66.99,66.99,66.99,66.99,1
2026-03-10 03:00,67.52,67.8,67.49,67.49,3
2026-03-10 04:00,67.08,67.14,67.02,67.14,3
2026-03-10 05:00,67.23,68.12,67.23,67.78,6
2026-03-10 06:00,67.91,68.05,67.62,67.92,26
2026-03-10 07:00,67.92,68.96,67.92,68.32,18
2026-03-10 08:00,67.8,68.17,67.79,68.17,5
2026-03-10 09:00,68.17,68.17,68.17,68.17,0
2026-03-10 10:00,68.37,68.42,68,68.4,17
2026-03-10 11:00,68,68,67.26,67.27,10
2026-03-10 12:00,67.48,67.75,67.48,67.75,3
2026-03-10 13:00,68.04,68.04,67.23,67.27,15
2026-03-10 14:00,67.07,67.14,66.34,67.1,22
2026-03-10 15:00,67.05,68.28,67.05,67.67,43
2026-03-10 16:00,68.72,68.72,68.72,68.72,1
2026-03-10 17:00,68.72,68.72,68.72,68.72,0
2026-03-10 19:00,68.63,68.63,68.63,68.63,1
2026-03-10 20:00,68.63,68.63,68.63,68.63,0
2026-03-10 21:00,67.93,67.93,67.93,67.93,1
2026-03-10 22:00,67.94,68.16,67.88,68.16,9
2026-03-10 23:00,68.61,68.61,68.51,68.51,2
2026-03-11 00:00,68.66,68.68,68.46,68.5,7
2026-03-11 01:00,68.17,68.54,68.17,68.35,5
2026-03-11 02:00,68.46,69.06,68.46,68.93,6
2026-03-11 03:00,68.64,68.64,68.64,68.64,1
2026-03-11 04:00,68.5,68.87,68.37,68.87,17
2026-03-11 05:00,68.86,68.86,68.86,68.86,1
2026-03-11 06:00,69.23,69.23,69.23,69.23,1
2026-03-11 07:00,68.92,69.01,68.34,68.34,23
2026-03-11 08:00,68.35,68.96,68.35,68.94,6
2026-03-11 09:00,68.81,68.93,68.81,68.93,5
2026-03-11 10:00,68.46,68.71,68.46,68.54,3
2026-03-11 11:00,68.06,68.6,67.78,68.6,18
2026-03-11 12:00,68.89,69.05,68.87,68.94,9
2026-03-11 13:00,68.89,68.93,68.76,68.76,5
2026-03-11 14:00,68.65,69.28,68.65,69.28,7
2026-03-11 15:00,70.23,70.48,70.06,70.25,76
2026-03-11 16:00,70.46,70.47,70.46,70.47,2
2026-03-11 17:00,70.66,70.66,70.25,70.25,4
2026-03-11 19:00,72.38,72.38,70.25,70.25,0
2026-03-11 20:00,72.38,72.38,72.21,72.21,2
2026-03-11 21:00,71.32,71.32,71.07,71.07,3
2026-03-11 22:00,70.77,70.77,70.77,70.77,1
2026-03-11 23:00,71.7,71.7,71.34,71.34,2
2026-03-12 00:00,71.34,71.34,71.34,71.34,0
2026-03-12 01:00,71.34,71.34,71.34,71.34,0
2026-03-12 02:00,71.34,71.34,71.34,71.34,0
2026-03-12 03:00,70.85,70.85,70.35,70.35,5
2026-03-12 04:00,70.42,70.42,70.23,70.33,4
2026-03-12 05:00,71.06,71.18,70.8,70.8,3
2026-03-12 06:00,70.8,70.8,70.8,70.8,0
2026-03-12 07:00,70.75,71.09,70.51,70.51,9
2026-03-12 08:00,70.76,71.42,70.76,71.42,6
2026-03-12 09:00,71.42,71.75,71.22,71.29,21
2026-03-12 10:00,71.62,71.62,71.1,71.13,21
2026-03-12 11:00,71.75,71.75,70.94,71.19,11
2026-03-12 12:00,71.54,71.54,70.99,71.05,12
2026-03-12 13:00,71.71,71.87,71.47,71.47,17
2026-03-12 14:00,71.59,72.07,71.59,71.92,11
2026-03-12 15:00,71.86,72.68,71.77,72.68,29
2026-03-12 16:00,73.18,73.24,73.12,73.12,6
2026-03-12 17:00,72.94,72.94,72.82,72.82,3
2026-03-12 19:00,73.19,73.19,72.5,72.5,0
2026-03-12 20:00,73.19,73.19,73.19,73.19,1
2026-03-12 21:00,73.19,73.19,73.19,73.19,0
2026-03-12 22:00,72.57,72.98,72.57,72.98,9
2026-03-12 23:00,73,73.23,73,73.23,2
2026-03-13 00:00,73,73,72.94,72.94,2
2026-03-13 01:00,72.94,72.94,72.94,72.94,0
2026-03-13 02:00,72.94,72.94,72.94,72.94,0
2026-03-13 03:00,72.46,72.58,72.46,72.58,2
2026-03-13 04:00,73.03,73.61,73.03,73.58,13
2026-03-13 05:00,73.56,73.56,73.15,73.15,7
2026-03-13 06:00,72.77,72.95,72.74,72.95,4
2026-03-13 07:00,72.72,72.82,72.69,72.75,4
2026-03-13 08:00,72.95,72.99,72.95,72.99,3
2026-03-13 09:00,72.7,72.7,72.03,72.56,14
2026-03-13 10:00,72.55,72.84,72.24,72.45,40
2026-03-13 11:00,72.79,72.79,72.42,72.75,104
2026-03-13 12:00,72.92,73.07,72.8,72.88,40
2026-03-13 13:00,73.15,73.22,72.78,72.78,29
2026-03-13 14:00,72.61,73.2,72.61,73.09,14
2026-03-13 15:00,73.06,73.72,73.05,73.09,91
2026-03-13 16:00,73.02,73.31,73.02,73.25,19
2026-03-13 17:00,73.29,73.46,73.29,73.44,8
2026-03-15 19:00,74.18,74.18,74.08,74.08,2
2026-03-15 20:00,74.08,74.08,74.08,74.08,4
2026-03-15 21:00,74.08,74.08,74.08,74.08,0
2026-03-15 22:00,74.08,74.08,74.08,74.08,0
2026-03-15 23:00,74.08,74.08,74.08,74.08,0
2026-03-16 00:00,74.08,74.08,74.08,74.08,0
2026-03-16 01:00,74.08,74.08,74.08,74.08,0
2026-03-16 02:00,74.08,74.08,74.08,74.08,0
2026-03-16 03:00,74.08,74.08,74.08,74.08,0
2026-03-16 04:00,73.39,73.9,73.39,73.9,10
2026-03-16 05:00,73.81,73.81,73.81,73.81,1
2026-03-16 06:00,73.65,73.65,73.6,73.62,16
2026-03-16 07:00,73.62,73.62,72.93,72.93,2
