datetime,open,high,low,close,volume
2026-03-10 00:00,88.61,91.48,88.15,89.84,17101
2026-03-10 01:00,89.91,91.08,89.61,90.5,8291
2026-03-10 02:00,90.5,90.51,87.43,89.05,11661
2026-03-10 03:00,89.08,90.05,87.87,89.8,10627
2026-03-10 04:00,89.78,90.05,85.54,85.82,20791
2026-03-10 05:00,85.79,88.65,85.26,88.55,21409
2026-03-10 06:00,88.57,88.75,85.92,86.94,16580
2026-03-10 07:00,86.94,90.17,86.75,88.79,19262
2026-03-10 08:00,88.77,89.87,86.4,89.2,20664
2026-03-10 09:00,89.18,91.1,88.75,89.54,29034
2026-03-10 10:00,89.53,89.53,87.19,87.59,37451
2026-03-10 11:00,87.58,88.49,83.01,84.22,53204
2026-03-10 12:00,84.22,84.91,82.81,84.34,45581
2026-03-10 13:00,84.31,85.8,82.07,82.34,36128
2026-03-10 14:00,82.31,82.71,76.73,80.2,95583
2026-03-10 15:00,80.18,86.68,79.62,84.11,67273
2026-03-10 16:00,84.11,87.8,83.92,86.65,30920
2026-03-10 17:00,86.66,87.24,85.76,86.39,9305
2026-03-10 19:00,86.89,88.59,86.71,88.31,6111
2026-03-10 20:00,88.29,88.32,85.24,85.66,9660
2026-03-10 21:00,85.69,85.79,81.79,82.97,20915
2026-03-10 22:00,82.97,84.51,82.46,83.12,11559
2026-03-10 23:00,83.11,85.09,82.97,84.14,8642
2026-03-11 00:00,84.16,84.34,82.63,82.87,7114
2026-03-11 01:00,82.88,83.57,82.37,83.08,5369
2026-03-11 02:00,83.07,84.29,82.94,84.01,5938
2026-03-11 03:00,84.01,84.56,83.12,83.57,7149
2026-03-11 04:00,83.57,85.79,83.34,85.49,16320
2026-03-11 05:00,85.45,86.83,84.91,86.53,19142
2026-03-11 06:00,86.53,88.99,86.31,88.76,22653
2026-03-11 07:00,88.75,88.75,84.68,84.94,23442
2026-03-11 08:00,84.97,87.3,84.67,86.68,20828
2026-03-11 09:00,86.65,88.08,86.19,87.21,19022
2026-03-11 10:00,87.21,87.31,83.52,84.06,36971
2026-03-11 11:00,84.09,87.02,82,86.19,47587
2026-03-11 12:00,86.21,87.67,85.75,87.6,23713
2026-03-11 13:00,87.63,88.63,86.89,87.13,24498
2026-03-11 14:00,87.12,88.38,86.18,87.86,25625
2026-03-11 15:00,87.85,88.45,86.69,87.25,34807
2026-03-11 16:00,87.26,88.08,86.95,87.99,7496
2026-03-11 17:00,87.99,88.62,87.8,88.41,6626
2026-03-11 19:00,89.32,93.01,88.61,90.82,17650
2026-03-11 20:00,90.87,94.38,90.72,92.49,16407
2026-03-11 21:00,92.46,94.2,91.85,93.13,15538
2026-03-11 22:00,93.12,93.69,91.7,93.23,11695
2026-03-11 23:00,93.25,95.97,93.2,94.52,13442
2026-03-12 00:00,94.57,95.54,93.87,94.48,11372
2026-03-12 01:00,94.44,95.23,94.04,94.83,5163
2026-03-12 02:00,94.8,94.8,92.35,93.07,15602
2026-03-12 03:00,93.07,93.73,91.32,92.56,11817
2026-03-12 04:00,92.53,92.53,89.88,90.45,16148
2026-03-12 05:00,90.44,92.5,90.24,92.11,15505
2026-03-12 06:00,92.08,92.88,91.05,91.24,12201
2026-03-12 07:00,91.22,91.85,90.67,91.07,12506
2026-03-12 08:00,91.08,92.85,91,92.67,12070
2026-03-12 09:00,92.65,93.59,92.38,92.9,14752
2026-03-12 10:00,92.88,95.2,92.57,94.78,36919
2026-03-12 11:00,94.8,96.21,94.21,95.68,39085
2026-03-12 12:00,95.67,97.19,94.3,94.56,46320
2026-03-12 13:00,94.54,95.8,93.03,94.83,30967
2026-03-12 14:00,94.82,95.53,94.22,94.37,16566
2026-03-12 15:00,94.37,96.72,93.92,96.54,25248
2026-03-12 16:00,96.56,96.96,95.42,96.32,13837
2026-03-12 17:00,96.33,96.66,95.71,96.39,6824
2026-03-12 19:00,96.74,98.09,95.69,96.22,8952
2026-03-12 20:00,96.26,97.5,96.24,96.61,4483
2026-03-12 21:00,96.57,96.73,94.83,95.57,9085
2026-03-12 22:00,95.57,96.22,94.66,95.71,8719
2026-03-12 23:00,95.7,96.48,95.31,96.25,5174
2026-03-13 00:00,96.25,96.61,95.19,95.57,5102
2026-03-13 01:00,95.54,95.87,95.23,95.27,3025
2026-03-13 02:00,95.27,95.63,94.89,95.12,4466
2026-03-13 03:00,95.13,96.33,94.52,96.2,7453
2026-03-13 04:00,96.22,97.6,96.04,97.18,11688
2026-03-13 05:00,97.14,97.84,95.48,95.66,15804
2026-03-13 06:00,95.65,96.28,94.98,95.78,11513
2026-03-13 07:00,95.76,95.94,93.36,93.68,15802
2026-03-13 08:00,93.67,95.04,93.12,93.43,17618
2026-03-13 09:00,93.45,94.39,92.04,93.57,22236
2026-03-13 10:00,93.59,94.58,92.9,94.43,30161
2026-03-13 11:00,94.42,95.76,94.02,95.64,21388
2026-03-13 12:00,95.63,96.83,95.4,96.39,25224
2026-03-13 13:00,96.4,97.55,96.22,96.88,20983
2026-03-13 14:00,96.87,98.22,96.39,97.98,20314
2026-03-13 15:00,97.96,99.32,97,97.45,34313
2026-03-13 16:00,97.48,98.35,97.24,98.19,9061
2026-03-13 17:00,98.21,99.32,98.2,99.31,8202
2026-03-15 19:00,100.93,102.44,99.34,99.6,18008
2026-03-15 20:00,99.59,100.44,98.4,98.77,10998
2026-03-15 21:00,98.78,98.87,97.34,97.48,10450
2026-03-15 22:00,97.47,98.79,96.74,98.49,9259
2026-03-15 23:00,98.51,99.38,98.11,98.92,7803
2026-03-16 00:00,98.94,99.34,98.55,99.25,4903
2026-03-16 01:00,99.27,99.79,99.22,99.53,2587
2026-03-16 02:00,99.55,99.74,98.32,98.45,4296
2026-03-16 03:00,98.45,99.69,98.12,98.91,5352
2026-03-16 04:00,98.92,101.03,98.59,100.49,11327
2026-03-16 05:00,100.51,100.9,99.54,99.77,12011
2026-03-16 06:00,99.76,100.28,98.61,99.15,8783
2026-03-16 07:00,99.11,99.3,96.67,96.84,13908
2026-03-16 08:00,96.83,97.82,96.66,96.99,12970
2026-03-16 09:00,97.02,97.4,94.56,95.26,24573
2026-03-16 10:00,95.28,95.69,92.97,93.35,34690
2026-03-16 11:00,93.34,95.42,93,95.16,28787
2026-03-16 12:00,95.15,95.74,94.53,95.46,18827
2026-03-16 13:00,95.48,96.58,94.9,95.57,17927
2026-03-16 14:00,95.57,95.6,93.72,94.3,27295
2026-03-16 15:00,94.3,94.57,92.97,93.48,24886
2026-03-16 16:00,93.49,94.76,92.93,93.37,12517
2026-03-16 17:00,93.38,94.41,93.09,94.22,7643
2026-03-16 19:00,94.41,95.32,93.88,94.96,4075
2026-03-16 20:00,94.97,95.32,94.47,94.93,3253
2026-03-16 21:00,94.91,96.36,94.84,95.9,4934
2026-03-16 22:00,95.95,96.19,95.18,95.83,5930
2026-03-16 23:00,95.82,96.16,95.57,95.99,3134
2026-03-17 00:00,95.97,96.3,95.74,96.04,3006
2026-03-17 01:00,96.03,96.29,95.42,95.84,2055
2026-03-17 02:00,95.85,97.99,95.28,97.81,5399
2026-03-17 03:00,97.83,98.42,97.02,97.55,8066
2026-03-17 04:00,97.52,97.75,96.49,96.92,6723
2026-03-17 05:00,96.89,97.92,96.72,97.45,8087
2026-03-17 06:00,97.46,97.47,95.63,95.89,7612
2026-03-17 07:00,95.9,96.93,95.88,96.2,4424
2026-03-17 08:00,96.2,97.02,96.16,96.91,5200
2026-03-17 09:00,96.91,97.02,95.11,95.12,9294
2026-03-17 10:00,95.15,95.36,93.83,95.12,16821
2026-03-17 11:00,95.12,95.56,93.87,94.19,16041
2026-03-17 12:00,94.21,95.98,93.92,95.68,17817
2026-03-17 13:00,95.68,95.84,94.35,95.05,17023
2026-03-17 14:00,95.07,96.04,94.97,95.76,16237
2026-03-17 15:00,95.75,96.37,95.38,95.97,15992
2026-03-17 16:00,95.96,96.33,95.66,96.15,4276
2026-03-17 17:00,96.16,96.32,95.83,96.02,2681
2026-03-17 19:00,96,96.41,95,95.85,2010
2026-03-17 20:00,95.8,96.35,95.66,96,1026
2026-03-17 21:00,96,96.02,94.65,94.82,1421
2026-03-17 22:00,94.78,95.19,94.48,95.01,922
2026-03-17 23:00,94.98,95.19,93.99,94.54,966
2026-03-18 00:00,94.54,94.64,93.05,93.18,2145
2026-03-18 01:00,93.19,93.32,92.84,93.16,1806
2026-03-18 02:00,93.16,93.56,92.48,92.66,1882
2026-03-18 03:00,92.69,93.37,91.96,93.26,2107
2026-03-18 04:00,93.19,93.76,93.05,93.7,1668
2026-03-18 05:00,93.71,94.63,93.62,94.28,3996
2026-03-18 06:00,94.27,94.95,94.12,94.75,1641
2026-03-18 07:00,94.76,94.97,94.45,94.72,1574
2026-03-18 08:00,94.72,95.99,94.31,95.08,3757
2026-03-18 09:00,95.08,98.07,95.01,97.95,7922
2026-03-18 10:00,97.8,99.1,97.55,98.91,7533
2026-03-18 11:00,98.94,99.41,98.25,98.86,5559
2026-03-18 12:00,98.87,99.37,97.88,98.23,7041
2026-03-18 13:00,98.15,98.44,97.46,98.05,5292
2026-03-18 14:00,98.05,98.63,96.02,96.17,5827
2026-03-18 15:00,96.21,97.37,95.3,97.2,7671
2026-03-18 16:00,97.22,98.77,96.82,98.46,2800
2026-03-18 17:00,98.48,100.55,98.36,99.82,2526
2026-03-18 19:00,99.13,99.53,98.43,99.05,922
2026-03-18 20:00,99.02,99.48,98.25,99.13,616
2026-03-18 21:00,99.16,100.02,98.98,99.2,633
2026-03-18 22:00,99.22,99.43,98.24,98.95,355
2026-03-18 23:00,98.88,99.03,96.56,96.95,858
2026-03-19 00:00,96.98,97.34,96.67,97.25,578
2026-03-19 01:00,97.28,97.58,97.09,97.32,192
2026-03-19 02:00,97.29,98.03,96.8,97.28,519
2026-03-19 03:00,97.25,97.58,96.86,97.21,398
2026-03-19 04:00,97.11,97.77,96.08,97.54,1761
2026-03-19 05:00,97.5,98.06,96.59,97.6,1126
2026-03-19 06:00,97.52,99.78,95.27,95.99,2237
2026-03-19 07:00,96,97.28,95.74,97.06,2005
2026-03-19 08:00,97.08,98.54,96.81,97.46,1044
2026-03-19 09:00,97.66,97.81,96.14,97.16,1085
2026-03-19 10:00,97.23,98.11,96.26,97.02,2383
2026-03-19 11:00,97.01,98.16,96.7,97.42,1174
2026-03-19 12:00,97.35,101.48,96.67,99.06,2825
2026-03-19 13:00,99.13,99.61,97.56,97.99,1323
2026-03-19 14:00,98.11,98.16,96.12,96.62,649
2026-03-19 15:00,96.62,96.78,94.94,95.71,1180
2026-03-19 16:00,95.64,95.64,92.8,94.89,565
2026-03-19 17:00,94.89,95.4,94.85,95.2,95
2026-03-19 19:00,95,95.48,94.58,94.58,95
2026-03-19 20:00,94.26,94.64,94.26,94.64,35
2026-03-19 21:00,94.9,94.9,94.9,94.9,1
2026-03-19 22:00,94,94,93.42,93.42,6
2026-03-19 23:00,94.22,94.22,94.22,94.22,1
2026-03-20 00:00,94.16,94.16,94.16,94.16,4
2026-03-20 01:00,94.16,94.16,94.16,94.16,0
2026-03-20 02:00,94.32,94.32,94.06,94.06,5
2026-03-20 03:00,94.78,95,94.71,95,13
2026-03-20 04:00,95.26,95.27,94.7,94.7,8
2026-03-20 05:00,94.41,96.13,94.16,96.1,26
2026-03-20 06:00,96.2,96.2,96.2,96.2,2
2026-03-20 07:00,96.63,97,96.47,96.47,26
2026-03-20 08:00,95.15,95.15,94.75,94.75,5
2026-03-20 09:00,94.74,95.6,94.67,95.6,504
2026-03-20 10:00,95.47,96.9,95.38,96.5,211
2026-03-20 11:00,96.48,98.17,96.3,98,251
2026-03-20 12:00,97.7,98.05,97.02,97.5,180
2026-03-20 13:00,97.43,99.67,97.43,98.9,67
2026-03-20 14:00,99.03,99.56,98.83,99.41,161
