datetime,open,high,low,close,volume
2026-03-10 02:00,82.48,88.49,82.29,86.5,13802
2026-03-10 06:00,86.49,87.58,83.16,84.44,23435
2026-03-10 10:00,84.5,88.08,84,85.03,45881
2026-03-10 14:00,85.01,86,75.64,78.82,117394
2026-03-10 17:00,78.8,85.84,78.26,84.82,55903
2026-03-10 22:00,85.11,87,80.6,82.15,16834
2026-03-11 02:00,82.1,83.73,81.3,82.75,7711
2026-03-11 06:00,82.77,87.32,81.88,87.09,26823
2026-03-11 10:00,87.06,87.07,82.4,82.9,43766
2026-03-11 14:00,82.95,87.04,81.05,86.39,74747
2026-03-11 17:00,86.39,87.29,85.62,87.07,23943
2026-03-11 22:00,87.46,93.39,87.18,91.82,28746
2026-03-12 02:00,91.85,94.6,91.13,91.79,19921
2026-03-12 06:00,91.8,92.37,88.71,89.95,26354
2026-03-12 10:00,89.93,93.72,89.5,93.19,44450
2026-03-12 14:00,93.2,95.19,91.52,93.14,85558
2026-03-12 17:00,93.12,95.68,92.69,95.08,24796
2026-03-12 22:00,95.52,96.77,93.53,94.44,13413
2026-03-13 02:00,94.42,95.39,93.74,93.94,9293
2026-03-13 06:00,93.93,96.68,93.36,94.77,29140
2026-03-13 10:00,94.72,94.85,91.09,93.18,42948
2026-03-13 14:00,93.16,96.3,92.75,96.08,45743
2026-03-13 17:00,96.07,97.31,95.25,97.2,22931
2026-03-15 22:00,98.76,99.95,95.08,96.99,28917
2026-03-16 02:00,97,98.07,96.56,96.86,12241
2026-03-16 06:00,96.86,99.29,96.54,97.74,20094
2026-03-16 10:00,97.72,97.88,91.82,92.22,68354
2026-03-16 14:00,92.18,95.49,91.88,93.19,61163
2026-03-16 17:00,93.19,93.69,91.94,93.23,29945
2026-03-16 22:00,93.42,95.38,92.88,95.01,22912
2026-03-18 10:00,94.31,98.22,93.9,98.04,134355
2026-03-18 14:00,98.03,98.67,95.01,95.17,129890
2026-03-18 17:00,95.22,99.78,94.21,99.05,74952
2026-03-18 22:00,98.06,99.17,97.33,98.05,35799
2026-03-19 02:00,98.05,98.25,95.75,96.48,36377
2026-03-19 06:00,96.45,98.96,94.41,95.16,88141
2026-03-19 10:00,95.16,97.74,94.86,96.07,100251
2026-03-19 14:00,96.08,100.48,95.12,95.8,158849
2026-03-19 17:00,95.8,96.2,92.1,94.59,85638
2026-03-19 22:00,94.46,94.8,92.47,92.97,21278
2026-03-20 02:00,92.96,94.23,92.86,93.44,17894
2026-03-20 06:00,93.44,96.16,93.29,95.88,47194
2026-03-20 10:00,95.88,96.45,93.9,96.03,62704
2026-03-20 14:00,96.01,98.51,95.28,98.02,93645
2026-03-20 17:00,98.02,98.75,96.94,98.09,65781
2026-03-22 22:00,96.91,97,93.25,94.89,5024
2026-03-23 02:00,94.91,95.58,94.31,94.86,2855
2026-03-23 06:00,94.89,98.17,94.8,96.02,20499
2026-03-23 10:00,95.99,96.46,81.64,86.39,34476
2026-03-23 14:00,86.44,88.98,82.88,85.91,38423
2026-03-23 17:00,85.92,86.71,83.95,86.07,13208
2026-03-23 22:00,86.2,89,85.84,88.61,4291
2026-03-24 02:00,88.65,89.38,88.12,88.79,3444
2026-03-24 06:00,88.71,88.75,86.61,87.65,11469
2026-03-24 10:00,87.66,90.02,86.68,89.44,15100
2026-03-24 14:00,89.48,90.53,87.92,89.05,19220
2026-03-24 17:00,89.08,89.91,84.16,85.97,14329
2026-03-24 22:00,85.92,86.73,84.23,85.04,6437
2026-03-25 02:00,85.1,86.8,84.82,86.66,3145
2026-03-25 06:00,86.64,87,84.44,85.51,9380
2026-03-25 10:00,85.48,87.14,84.33,86.34,16464
2026-03-25 14:00,86.39,88.19,85.88,87.54,19391
2026-03-25 17:00,87.61,88.88,87.25,88.48,7830
2026-03-25 22:00,88.47,88.81,87.93,88.48,2141
2026-03-26 02:00,88.51,89.53,88.27,89.48,2092
2026-03-26 06:00,89.46,91.14,89.24,90.54,7238
2026-03-26 10:00,90.56,91.86,89.68,89.76,13572
