date,open,high,low,close,volume,open_interest,settle
2026-03-10,70,71.58,67.38,70.86,48220,57980,70.32
2026-03-11,71.53,74.26,69.78,73.76,27748,58095,73.58
2026-03-12,74.35,77.74,73.91,77.25,33190,60001,76.88
2026-03-13,78.09,78.17,75.88,77.77,21106,57224,78.03
2026-03-16,78.89,79.12,75.79,76.5,22447,58623,76.08
2026-03-17,76.81,78.76,76.81,78.22,18904,60394,77.76
2026-03-18,77.64,80.58,76.29,80.58,30796,64039,79.24
2026-03-19,80.24,80.63,77.39,78.92,47080,66253,79.68
2026-03-20,78.17,80.12,77.17,79.1,22710,64123,79.82
2026-03-23,81.22,82.29,72.57,75.26,53984,64878,74.52
2026-03-24,75.26,78.31,74.76,75.5,25698,65629,77.89
2026-03-25,75.63,77.65,74.55,77.09,21450,66238,77.11
2026-03-26,76.9,79.18,75.55,78.48,21966,65823,78.97
2026-03-27,78.78,79.94,77.77,78.83,23931,68261,78.69
2026-03-30,79.81,80.01,78.04,78.59,18431,69097,78.19
2026-03-31,79.09,79.24,73.35,73.75,29846,70155,73.61
2026-04-01,74.46,75.2,71.75,72.14,27933,71360,72.38
2026-04-02,72.03,75.55,71.53,73.24,43277,73211,73.16
2026-04-06,73.5,74.97,72.3,74.63,14903,72521,74.87
2026-04-07,74.92,76.53,74.68,74.7,33619,70873,76.22
2026-04-08,75.03,76.03,71.26,75.73,44713,72511,75.07
2026-04-09,75.8,76.25,74.01,75.25,26822,71864,75.29
2026-04-10,75.3,76.67,74.85,75.57,22848,72798,76.15
2026-04-13,78.25,78.88,77.06,77.75,23938,73057,78.48
2026-04-14,77.72,78.75,76.41,76.67,18096,73427,76.7
2026-04-15,76.79,77.79,76.09,77.07,18159,74279,77.31
2026-04-16,76.83,77.89,76.75,77.23,18185,76115,77.57
2026-04-17,77.24,77.24,71.64,73.77,33377,76728,73.5
2026-04-20,76.16,76.47,74.53,74.64,15784,76006,75.59
2026-04-21,75.1,77.66,74.67,76.81,31535,75821,76.54
2026-04-22,77,77.93,75.72,77.75,24734,76671,77.7
2026-04-23,77.63,80.4,77.12,79.64,37724,75135,79.21
