date,open,high,low,close,volume,open_interest,settle
2026-03-10,83,88.49,75.64,84.82,517657,253869,82.1
2026-03-11,85.11,87.32,80.6,87.07,377846,251267,86.07
2026-03-12,87.46,95.68,87.18,95.08,427550,259899,94.43
2026-03-13,95.52,97.31,91.09,97.2,288931,266909,96.84
2026-03-16,98.76,99.95,91.82,93.23,363923,276127,92.46
2026-03-17,93.42,97.65,92.88,95.3,372139,284283,95.53
2026-03-18,95.27,99.78,91.45,99.05,591748,302000,95.46
2026-03-19,98.06,100.48,92.1,94.59,694550,307464,95.55
2026-03-20,94.46,98.75,92.47,98.09,420146,325561,98.23
2026-03-23,96.91,98.17,81.64,86.07,315832,231769,85.37
2026-03-24,86.2,90.53,84.16,85.97,200902,226902,89.75
2026-03-25,85.92,88.88,84.23,88.48,184550,229187,87.78
2026-03-26,88.47,91.93,86.44,90.55,167945,226846,91.15
2026-03-27,90.15,95.6,88.91,95.44,184849,225013,94.19
2026-03-30,96.48,98.26,93.7,97.95,175207,220492,96.02
2026-03-31,97.95,99.65,92.3,93.02,232944,226680,93.16
2026-04-01,93.4,94.81,88.7,90.03,194671,228090,90.88
2026-04-02,90.15,98.49,88.7,97.72,256880,241218,98.04
2026-04-06,98.51,100.91,95.57,98.29,124302,239638,98.47
2026-04-07,98.35,101.17,95.69,96.67,218636,245625,99.38
2026-04-08,94.75,95.58,83.8,89.1,299162,259671,87.75
2026-04-09,89.43,92.89,88.16,90.12,230988,272770,89.93
2026-04-10,90.3,91.8,88.76,89.11,178385,282178,89.58
2026-04-13,93.9,96.93,91.07,91.91,215189,290576,92.95
2026-04-14,91.94,92.66,88.01,88.79,215640,310123,88.19
2026-04-15,88.8,90.45,84.7,88.12,219677,311471,88.13
2026-04-16,88.31,91.82,87.32,89.65,221465,321004,91.17
2026-04-17,89.72,90.34,78.97,84,453070,324334,82.59
2026-04-20,88.15,89.6,85.45,85.89,329842,324579,87.42
2026-04-21,85.82,92.23,85.5,90.22,366528,333459,85.99
2026-04-22,86.03,89,84.28,88.27,110924,151122,88.38
2026-04-23,88.19,92.94,87.59,91.78,134617,151645,90.82
2026-04-24,90.95,92.47,88.05,89.97,128263,157344,89.58
2026-04-27,90.65,92.56,89.69,91.75,86979,162474,91.45
2026-04-28,91.75,95.96,91.38,94.3,109617,167259,94.55
2026-04-29,94.4,101.71,93.3,101.55,150013,169355,100.11
2026-04-30,102,103.78,97.14,99.59,150820,170089,99.14
2026-05-01,99.14,100.81,94.28,97.22,119823,174252,96.54
