ts,CL2610,CL2611,CL2612,CL2701,CL2702,CL2703,CL2704,CL2705,CL2706,CL2707,CL2708,CL2709,CL2710,abs1_OCT26_NOV26,abs1_NOV26_DEC26,abs1_DEC26_JAN27,abs1_JAN27_FEB27,abs1_FEB27_MAR27,abs1_MAR27_APR27,abs1_APR27_MAY27,abs1_MAY27_JUN27,abs1_JUN27_JUL27,abs1_JUL27_AUG27,abs1_AUG27_SEP27,abs1_SEP27_OCT27,abs2_OCT26_DEC26,abs2_NOV26_JAN27,abs2_DEC26_FEB27,abs2_JAN27_MAR27,abs2_FEB27_APR27,abs2_MAR27_MAY27,abs2_APR27_JUN27,abs2_MAY27_JUL27,abs2_JUN27_AUG27,abs2_JUL27_SEP27,abs2_AUG27_OCT27,abs3_OCT26_JAN27,abs3_NOV26_FEB27,abs3_DEC26_MAR27,abs3_JAN27_APR27,abs3_FEB27_MAY27,abs3_MAR27_JUN27,abs3_APR27_JUL27,abs3_MAY27_AUG27,abs3_JUN27_SEP27,abs3_JUL27_OCT27,pm1_OCT26_NOV26,pm1_NOV26_DEC26,pm1_DEC26_JAN27,pm1_JAN27_FEB27,pm1_FEB27_MAR27,pm1_MAR27_APR27,pm1_APR27_MAY27,pm1_MAY27_JUN27,pm1_JUN27_JUL27,pm1_JUL27_AUG27,pm1_AUG27_SEP27,pm1_SEP27_OCT27,pm2_OCT26_DEC26,pm2_NOV26_JAN27,pm2_DEC26_FEB27,pm2_JAN27_MAR27,pm2_FEB27_APR27,pm2_MAR27_MAY27,pm2_APR27_JUN27,pm2_MAY27_JUL27,pm2_JUN27_AUG27,pm2_JUL27_SEP27,pm2_AUG27_OCT27,pm3_OCT26_JAN27,pm3_NOV26_FEB27,pm3_DEC26_MAR27,pm3_JAN27_APR27,pm3_FEB27_MAY27,pm3_MAR27_JUN27,pm3_APR27_JUL27,pm3_MAY27_AUG27,pm3_JUN27_SEP27,pm3_JUL27_OCT27,vol_M1,vol_M6,vol_M13
2026-03-10,72.09,70.86,69.81,68.85,68.72,67.64,67.0,66.55,66.7,66.3,65.96,66.01,65.8,1.23,1.05,0.96,0.13,1.08,0.64,0.45,-0.15,0.4,0.34,-0.05,0.21,2.28,2.01,1.09,1.21,1.72,1.09,0.3,0.25,0.74,0.29,0.16,3.24,2.14,2.17,1.85,2.17,0.94,0.7,0.59,0.69,0.5,1.23,1.05,0.96,0.13,1.08,0.64,0.45,-0.15,0.4,0.34,-0.05,0.21,1.14,1.005,0.545,0.605,0.86,0.545,0.15,0.125,0.37,0.145,0.08,1.08,0.7133,0.7233,0.6167,0.7233,0.3133,0.2333,0.1967,0.23,0.1667,58631.0,21489.0,373.0
2026-03-11,75.3,73.76,72.55,71.23,70.25,69.43,68.72,68.48,68.0,67.64,67.41,67.23,65.81,1.54,1.21,1.32,0.98,0.82,0.71,0.24,0.48,0.36,0.23,0.18,1.42,2.75,2.53,2.3,1.8,1.53,0.95,0.72,0.84,0.59,0.41,1.6,4.07,3.51,3.12,2.51,1.77,1.43,1.08,1.07,0.77,1.83,1.54,1.21,1.32,0.98,0.82,0.71,0.24,0.48,0.36,0.23,0.18,1.42,1.375,1.265,1.15,0.9,0.765,0.475,0.36,0.42,0.295,0.205,0.8,1.3567,1.17,1.04,0.8367,0.59,0.4767,0.36,0.3567,0.2567,0.61,41596.0,18275.0,397.0
2026-03-12,79.68,77.25,75.88,74.04,72.82,71.58,70.98,70.18,70.12,69.38,69.59,69.29,68.34,2.43,1.37,1.84,1.22,1.24,0.6,0.8,0.06,0.74,-0.21,0.3,0.95,3.8,3.21,3.06,2.46,1.84,1.4,0.86,0.8,0.53,0.09,1.25,5.64,4.43,4.3,3.06,2.64,1.46,1.6,0.59,0.83,1.04,2.43,1.37,1.84,1.22,1.24,0.6,0.8,0.06,0.74,-0.21,0.3,0.95,1.9,1.605,1.53,1.23,0.92,0.7,0.43,0.4,0.265,0.045,0.625,1.88,1.4767,1.4333,1.02,0.88,0.4867,0.5333,0.1967,0.2767,0.3467,47115.0,22751.0,1097.0
2026-03-13,79.89,77.77,76.37,74.45,73.44,72.59,71.47,71.24,70.62,70.21,69.76,69.04,69.03,2.12,1.4,1.92,1.01,0.85,1.12,0.23,0.62,0.41,0.45,0.72,0.01,3.52,3.32,2.93,1.86,1.97,1.35,0.85,1.03,0.86,1.17,0.73,5.44,4.33,3.78,2.98,2.2,1.97,1.26,1.48,1.58,1.18,2.12,1.4,1.92,1.01,0.85,1.12,0.23,0.62,0.41,0.45,0.72,0.01,1.76,1.66,1.465,0.93,0.985,0.675,0.425,0.515,0.43,0.585,0.365,1.8133,1.4433,1.26,0.9933,0.7333,0.6567,0.42,0.4933,0.5267,0.3933,31628.0,17564.0,695.0
2026-03-16,78.14,76.5,75.17,73.83,72.58,72.16,71.27,70.41,70.52,70.1,69.7,69.47,69.12,1.64,1.33,1.34,1.25,0.42,0.89,0.86,-0.11,0.42,0.4,0.23,0.35,2.97,2.67,2.59,1.67,1.31,1.75,0.75,0.31,0.82,0.63,0.58,4.31,3.92,3.01,2.56,2.17,1.64,1.17,0.71,1.05,0.98,1.64,1.33,1.34,1.25,0.42,0.89,0.86,-0.11,0.42,0.4,0.23,0.35,1.485,1.335,1.295,0.835,0.655,0.875,0.375,0.155,0.41,0.315,0.29,1.4367,1.3067,1.0033,0.8533,0.7233,0.5467,0.39,0.2367,0.35,0.3267,27356.0,11097.0,289.0
2026-03-17,79.86,78.22,76.81,75.45,74.5,73.57,72.57,71.8,71.87,70.94,70.52,70.17,69.95,1.64,1.41,1.36,0.95,0.93,1.0,0.77,-0.07,0.93,0.42,0.35,0.22,3.05,2.77,2.31,1.88,1.93,1.77,0.7,0.86,1.35,0.77,0.57,4.41,3.72,3.24,2.88,2.7,1.7,1.63,1.28,1.7,0.99,1.64,1.41,1.36,0.95,0.93,1.0,0.77,-0.07,0.93,0.42,0.35,0.22,1.525,1.385,1.155,0.94,0.965,0.885,0.35,0.43,0.675,0.385,0.285,1.47,1.24,1.08,0.96,0.9,0.5667,0.5433,0.4267,0.5667,0.33,25039.0,11415.0,656.0
2026-03-18,82.53,80.58,78.99,77.66,76.63,75.75,74.14,74.11,73.86,73.18,72.69,72.3,71.91,1.95,1.59,1.33,1.03,0.88,1.61,0.03,0.25,0.68,0.49,0.39,0.39,3.54,2.92,2.36,1.91,2.49,1.64,0.28,0.93,1.17,0.88,0.78,4.87,3.95,3.24,3.52,2.52,1.89,0.96,1.42,1.56,1.27,1.95,1.59,1.33,1.03,0.88,1.61,0.03,0.25,0.68,0.49,0.39,0.39,1.77,1.46,1.18,0.955,1.245,0.82,0.14,0.465,0.585,0.44,0.39,1.6233,1.3167,1.08,1.1733,0.84,0.63,0.32,0.4733,0.52,0.4233,38870.0,20576.0,2227.0
2026-03-19,80.25,78.92,77.69,76.6,75.7,75.14,75.48,73.46,73.65,73.0,73.01,72.55,73.12,1.33,1.23,1.09,0.9,0.56,-0.34,2.02,-0.19,0.65,-0.01,0.46,-0.57,2.56,2.32,1.99,1.46,0.22,1.68,1.83,0.46,0.64,0.45,-0.11,3.65,3.22,2.55,1.12,2.24,1.49,2.48,0.45,1.1,-0.12,1.33,1.23,1.09,0.9,0.56,-0.34,2.02,-0.19,0.65,-0.01,0.46,-0.57,1.28,1.16,0.995,0.73,0.11,0.84,0.915,0.23,0.32,0.225,-0.055,1.2167,1.0733,0.85,0.3733,0.7467,0.4967,0.8267,0.15,0.3667,-0.04,62279.0,42909.0,1430.0
2026-03-20,80.66,79.1,77.89,76.88,76.1,75.41,75.64,74.51,74.09,73.4,72.98,72.72,72.36,1.56,1.21,1.01,0.78,0.69,-0.23,1.13,0.42,0.69,0.42,0.26,0.36,2.77,2.22,1.79,1.47,0.46,0.9,1.55,1.11,1.11,0.68,0.62,3.78,3.0,2.48,1.24,1.59,1.32,2.24,1.53,1.37,1.04,1.56,1.21,1.01,0.78,0.69,-0.23,1.13,0.42,0.69,0.42,0.26,0.36,1.385,1.11,0.895,0.735,0.23,0.45,0.775,0.555,0.555,0.34,0.31,1.26,1.0,0.8267,0.4133,0.53,0.44,0.7467,0.51,0.4567,0.3467,31924.0,13174.0,981.0
2026-03-23,76.85,75.26,74.31,73.63,72.2,72.35,71.27,71.64,71.62,70.16,70.52,74.39,70.07,1.59,0.95,0.68,1.43,-0.15,1.08,-0.37,0.02,1.46,-0.36,-3.87,4.32,2.54,1.63,2.11,1.28,0.93,0.71,-0.35,1.48,1.1,-4.23,0.45,3.22,3.06,1.96,2.36,0.56,0.73,1.11,1.12,-2.77,0.09,1.59,0.95,0.68,1.43,-0.15,1.08,-0.37,0.02,1.46,-0.36,-3.87,4.32,1.27,0.815,1.055,0.64,0.465,0.355,-0.175,0.74,0.55,-2.115,0.225,1.0733,1.02,0.6533,0.7867,0.1867,0.2433,0.37,0.3733,-0.9233,0.03,69215.0,23936.0,2452.0
