date,open,high,low,close,volume,adj_close
2023-02-23,42.84,44.83,42.84,44.62,2638200.0,44.62
2023-02-24,43.24,43.92,41.85,42.69,1661966.0,42.69
2023-02-27,43.22,43.45,42.34,42.48,1152563.0,42.48
2023-02-28,42.67,43.81,42.13,43.13,1146437.0,43.13
2023-03-01,43.19,43.72,42.92,43.11,799252.0,43.11
2023-03-02,41.93,43.09,40.05,42.89,1822580.0,42.89
2023-03-03,43.37,44.25,42.7,44.03,926474.0,44.03
2023-03-06,44.21,44.8,42.75,42.77,1070887.0,42.77
2023-03-07,42.64,42.84,41.15,41.34,705138.0,41.34
2023-03-08,41.24,41.48,40.5,41.47,1601038.0,41.47
2023-03-09,41.3,41.9,39.92,39.99,1438189.0,39.99
2023-03-10,39.72,40.0,37.85,38.54,1843636.0,38.54
2023-03-13,38.11,38.66,36.6,37.02,1563812.0,37.02
2023-03-14,38.01,38.2,36.19,36.65,2064793.0,36.65
2023-03-15,35.41,36.02,34.63,35.58,1793960.0,35.58
2023-03-16,35.02,36.07,34.62,35.95,1509410.0,35.95
2023-03-17,35.8,36.02,34.03,34.47,1869965.0,34.47
2023-03-20,34.58,35.17,34.28,34.95,912038.0,34.95
2023-03-21,35.7,35.7,34.7,35.12,1758771.0,35.12
2023-03-22,35.22,35.55,33.98,34.0,1220654.0,34.0
2023-03-23,34.46,36.12,34.22,34.67,1389328.0,34.67
2023-03-24,34.19,34.72,33.8,34.71,1120545.0,34.71
2023-03-27,35.18,35.38,34.72,35.04,1045090.0,35.04
2023-03-28,34.91,35.22,34.31,35.15,1560969.0,35.15
2023-03-29,35.87,36.63,35.69,36.62,763057.0,36.62
2023-03-30,37.51,37.76,36.92,37.32,830697.0,37.32
2023-03-31,37.51,38.5,37.22,38.08,996051.0,38.08
2023-04-03,37.8,38.44,37.41,38.11,1378485.0,38.11
2023-04-04,38.34,38.34,36.94,37.45,969553.0,37.45
2023-04-05,37.44,37.56,36.6,36.69,1123440.0,36.69
2023-04-06,33.01,33.67,31.61,32.98,4256259.0,32.98
2023-04-10,33.0,34.68,32.82,34.68,1274160.0,34.68
2023-04-11,34.72,35.18,34.29,34.34,931958.0,34.34
2023-04-12,34.74,34.98,33.98,34.13,1000101.0,34.13
2023-04-13,34.48,34.61,33.4,34.07,1391690.0,34.07
2023-04-14,34.08,34.7,33.53,33.9,587407.0,33.9
2023-04-17,33.61,34.29,33.09,34.28,903629.0,34.28
2023-04-18,34.59,35.21,33.35,33.5,1192370.0,33.5
2023-04-19,33.0,33.7,32.82,33.7,1067655.0,33.7
2023-04-20,33.09,34.2,33.06,33.5,754573.0,33.5
2023-04-21,33.55,33.93,33.09,33.59,1069192.0,33.59
2023-04-24,33.44,33.91,33.14,33.87,1088074.0,33.87
2023-04-25,33.2,33.53,32.6,32.61,1104423.0,32.61
2023-04-26,32.85,33.39,32.55,32.79,1283611.0,32.79
2023-04-27,32.84,33.52,32.18,33.48,1348629.0,33.48
2023-04-28,33.64,34.31,33.36,34.14,1281149.0,34.14
2023-05-01,34.07,34.62,33.8,34.08,793553.0,34.08
2023-05-02,33.72,34.04,32.96,33.05,925796.0,33.05
2023-05-03,33.62,34.68,33.27,33.73,1342038.0,33.73
2023-05-04,33.52,33.72,30.98,31.41,2713383.0,31.41
2023-05-05,32.15,32.32,31.51,31.83,1502413.0,31.83
2023-05-08,31.56,32.52,31.41,32.15,1650223.0,32.15
2023-05-09,30.9,32.09,30.71,31.9,2497365.0,31.9
2023-05-10,26.98,30.41,26.29,30.31,9550897.0,30.31
2023-05-11,30.11,30.59,29.15,29.16,2512629.0,29.16
2023-05-12,29.12,29.21,27.29,27.81,2835127.0,27.81
2023-05-15,27.84,28.88,27.77,28.77,2167593.0,28.77
2023-05-16,28.21,28.56,27.58,27.66,1511367.0,27.66
2023-05-17,27.56,29.54,27.56,29.52,2301233.0,29.52
2023-05-18,29.82,30.65,29.55,30.54,1641288.0,30.54
2023-05-19,30.86,31.14,30.44,30.69,1843233.0,30.69
2023-05-22,30.63,32.26,30.31,32.01,1575262.0,32.01
2023-05-23,32.1,32.62,31.73,31.91,1461140.0,31.91
2023-05-24,31.45,31.66,30.73,30.76,1191292.0,30.76
2023-05-25,31.28,32.61,31.28,32.39,2076151.0,32.39
2023-05-26,33.26,37.34,33.18,36.93,6868990.0,36.93
2023-05-30,40.5,42.14,37.1,38.49,6764527.0,38.49
2023-05-31,37.44,38.61,36.69,36.96,2815302.0,36.96
2023-06-01,36.91,38.32,36.51,37.34,2498320.0,37.34
2023-06-02,38.19,39.1,37.62,38.98,2345180.0,38.98
2023-06-05,38.41,38.6,36.91,37.83,2479668.0,37.83
2023-06-06,37.31,39.35,36.92,38.09,2028302.0,38.09
2023-06-07,38.09,39.56,37.83,39.08,2624453.0,39.08
2023-06-08,39.26,39.54,38.52,39.04,1752403.0,39.04
2023-06-09,39.48,40.17,38.5,38.91,2239153.0,38.91
2023-06-12,39.25,41.15,39.15,41.04,2082319.0,41.04
2023-06-13,42.0,44.34,41.97,42.82,5085106.0,42.82
2023-06-14,46.31,52.36,46.16,48.91,15620714.0,48.91
2023-06-15,48.58,52.97,48.26,51.27,8447070.0,51.27
2023-06-16,56.2,57.39,53.51,54.87,9762827.0,54.87
2023-06-20,57.95,60.46,54.31,55.31,9304208.0,55.31
2023-06-21,50.41,51.97,46.78,46.87,8531492.0,46.87
2023-06-22,46.71,49.54,46.03,48.76,4557218.0,48.76
2023-06-23,47.08,47.22,45.39,46.71,4782289.0,46.71
2023-06-26,46.87,47.64,45.39,46.19,3546627.0,46.19
2023-06-27,46.17,48.55,44.86,48.13,3478310.0,48.13
2023-06-28,46.96,48.39,46.36,47.51,2913096.0,47.51
2023-06-29,48.15,48.82,46.54,48.41,3296418.0,48.41
2023-06-30,50.0,51.38,49.21,50.98,4321434.0,50.98
2023-07-03,50.31,51.78,50.24,50.84,1733334.0,50.84
2023-07-05,50.3,51.7,49.56,50.61,2442695.0,50.61
2023-07-06,49.05,49.71,47.94,49.03,2488956.0,49.03
2023-07-07,49.2,53.26,49.2,51.46,3127186.0,51.46
2023-07-10,51.0,52.73,50.89,51.8,1826476.0,51.8
2023-07-11,52.25,52.84,50.17,50.86,2560430.0,50.86
2023-07-12,51.51,51.69,48.81,49.96,3760175.0,49.96
2023-07-13,51.76,52.99,51.15,52.33,2226866.0,52.33
2023-07-14,51.65,52.3,50.15,50.46,2569498.0,50.46
2023-07-17,50.59,51.77,49.9,51.14,1609285.0,51.14
2023-07-18,49.88,49.88,48.05,48.37,3574745.0,48.37
2023-07-19,48.71,49.7,48.08,49.62,2314560.0,49.62
2023-07-20,48.41,48.69,46.02,46.7,2279040.0,46.7
2023-07-21,46.56,47.23,45.35,46.01,2564013.0,46.01
2023-07-24,46.0,46.76,45.57,46.03,1828326.0,46.03
2023-07-25,46.62,47.51,46.18,47.28,1687114.0,47.28
2023-07-26,47.22,47.48,45.97,47.12,1609825.0,47.12
2023-07-27,47.89,48.32,46.68,47.14,2123431.0,47.14
2023-07-28,48.33,48.33,46.29,46.57,1856414.0,46.57
2023-07-31,46.55,47.79,46.55,47.36,1420085.0,47.36
2023-08-01,46.94,47.81,46.33,46.94,2147822.0,46.94
2023-08-02,45.64,46.63,45.16,46.1,2403216.0,46.1
2023-08-03,45.57,47.56,45.08,47.02,2244176.0,47.02
2023-08-04,46.95,51.26,46.71,50.16,4163885.0,50.16
2023-08-07,50.42,51.61,49.88,50.67,3687602.0,50.67
2023-08-08,49.45,49.95,48.35,49.91,2426543.0,49.91
2023-08-09,49.25,49.52,47.08,47.21,2220093.0,47.21
2023-08-10,46.96,48.62,46.44,46.67,2533085.0,46.67
2023-08-11,45.9,46.04,44.34,45.18,3660760.0,45.18
2023-08-14,44.22,47.68,44.11,47.61,2947757.0,47.61
2023-08-15,47.58,48.88,46.68,47.01,4928656.0,47.01
2023-08-16,35.74,36.48,29.6,32.97,33289454.0,32.97
2023-08-17,33.3,34.55,32.24,33.44,9009831.0,33.44
2023-08-18,32.62,34.8,32.62,34.45,4634363.0,34.45
2023-08-21,34.39,35.79,34.09,35.69,2924552.0,35.69
2023-08-22,36.28,36.86,35.64,36.51,2892095.0,36.51
2023-08-23,35.89,37.69,35.52,37.62,3121634.0,37.62
2023-08-24,38.39,38.9,35.28,35.42,4351116.0,35.42
2023-08-25,35.25,35.82,34.62,35.39,1923414.0,35.39
2023-08-28,35.53,36.55,35.48,35.96,1588832.0,35.96
2023-08-29,35.99,37.13,35.79,36.86,2177015.0,36.86
2023-08-30,36.3,37.23,36.01,36.45,1570691.0,36.45
2023-08-31,36.79,37.99,36.78,37.63,1922078.0,37.63
2023-09-01,38.12,38.31,37.3,37.54,1218230.0,37.54
2023-09-05,36.02,36.6,35.38,35.66,3377928.0,35.66
2023-09-06,35.23,35.48,34.49,34.88,2236927.0,34.88
2023-09-07,34.57,34.57,33.11,33.55,2711949.0,33.55
2023-09-08,33.16,33.68,33.15,33.2,1671996.0,33.2
2023-09-11,33.72,33.82,32.25,32.83,2517088.0,32.83
2023-09-12,32.87,33.32,32.21,32.76,1952853.0,32.76
2023-09-13,32.97,33.04,32.47,32.72,1606304.0,32.72
2023-09-14,33.01,33.86,32.41,33.75,2401704.0,33.75
2023-09-15,33.26,33.26,32.1,32.41,4474847.0,32.41
2023-09-18,32.18,32.51,31.73,32.0,2115368.0,32.0
2023-09-19,31.84,31.84,30.52,30.74,3499615.0,30.74
2023-09-20,30.91,31.16,30.11,30.15,2626657.0,30.15
2023-09-21,29.59,29.9,28.47,28.92,3034282.0,28.92
2023-09-22,29.79,32.43,29.53,31.27,9173671.0,31.27
2023-09-25,30.81,32.53,30.81,32.18,3209630.0,32.18
2023-09-26,31.68,32.25,31.57,31.76,1699731.0,31.76
2023-09-27,31.81,32.3,31.23,31.97,1320770.0,31.97
2023-09-28,32.04,32.65,31.62,32.11,2568168.0,32.11
2023-09-29,32.87,33.24,32.57,32.64,1420305.0,32.64
2023-10-02,32.71,32.82,31.96,32.33,1131467.0,32.33
2023-10-03,31.76,32.0,31.12,31.29,2485457.0,31.29
2023-10-04,31.44,31.44,30.33,30.89,1425419.0,30.89
2023-10-05,30.52,30.91,30.12,30.54,1390655.0,30.54
2023-10-06,30.14,31.55,29.83,31.21,1416842.0,31.21
2023-10-09,30.56,31.15,30.16,31.0,1287369.0,31.0
2023-10-10,35.01,35.44,32.92,33.06,7260848.0,33.06
2023-10-11,34.8,36.09,34.05,34.79,4331684.0,34.79
2023-10-12,34.83,34.84,33.38,33.97,1614948.0,33.97
2023-10-13,34.04,34.18,32.56,32.72,1399875.0,32.72
2023-10-16,32.72,34.16,32.56,33.94,1183144.0,33.94
2023-10-17,32.64,34.4,32.63,33.98,1153747.0,33.98
