date,open,high,low,close,volume,adj_close
2021-04-14,381.0,429.54,310.0,328.28,81065746.0,328.28
2021-04-15,348.9,349.2,317.27,322.75,39777858.0,322.75
2021-04-16,327.5,345.99,321.03,342.0,22654542.0,342.0
2021-04-19,337.26,341.01,326.79,333.0,11405556.0,333.0
2021-04-20,333.43,334.83,312.02,320.82,18082257.0,320.82
2021-04-21,312.52,327.47,302.1,311.92,10103896.0,311.92
2021-04-22,305.76,313.5,287.2,293.45,14991941.0,293.45
2021-04-23,282.75,303.0,282.07,291.6,9891146.0,291.6
2021-04-26,304.29,306.1,296.9,304.54,6330230.0,304.54
2021-04-27,306.7,306.7,299.5,302.0,3901957.0,302.0
2021-04-28,301.01,302.9,298.05,298.05,2746079.0,298.05
2021-04-29,298.45,300.0,292.1,294.77,2845798.0,294.77
2021-04-30,293.0,302.74,291.0,297.64,3997384.0,297.64
2021-05-03,304.0,305.03,293.94,294.21,3333846.0,294.21
2021-05-04,292.06,292.19,275.61,280.66,5707704.0,280.66
2021-05-05,284.95,289.15,269.0,273.0,5074631.0,273.0
2021-05-06,271.15,272.14,250.51,256.76,8342002.0,256.76
2021-05-07,261.15,267.07,258.38,263.7,4243741.0,263.7
2021-05-10,266.4,297.5,259.37,293.45,10268641.0,293.45
2021-05-11,281.05,303.32,276.51,303.0,7456019.0,303.0
2021-05-12,299.54,306.98,280.79,283.61,7214195.0,283.61
2021-05-13,276.46,285.0,252.26,265.1,11226843.0,265.1
2021-05-14,280.37,280.64,256.35,258.37,11751752.0,258.37
2021-05-17,250.0,250.25,238.25,248.24,8828143.0,248.24
2021-05-18,238.83,252.17,238.5,239.0,7852101.0,239.0
2021-05-19,212.93,229.0,208.0,224.8,16765954.0,224.8
2021-05-20,236.1,238.8,226.26,233.4,10386891.0,233.4
2021-05-21,235.97,238.97,223.9,224.35,7554937.0,224.35
2021-05-24,227.28,231.0,224.04,225.3,10185621.0,225.3
2021-05-25,230.0,243.99,228.0,242.41,11827823.0,242.41
2021-05-26,247.5,249.39,239.37,241.52,6602815.0,241.52
2021-05-27,245.21,247.24,240.32,247.09,5083274.0,247.09
2021-05-28,243.57,244.63,236.54,236.54,5091479.0,236.54
2021-06-01,238.51,244.71,238.1,238.93,3962697.0,238.93
2021-06-02,242.8,243.9,238.71,240.48,3383753.0,240.48
2021-06-03,241.39,241.5,233.5,233.66,3091112.0,233.66
2021-06-04,229.99,233.36,227.5,228.79,3775123.0,228.79
2021-06-07,229.92,232.56,226.5,231.45,2658314.0,231.45
2021-06-08,227.16,229.33,217.4,220.66,6015772.0,220.66
2021-06-09,222.8,229.79,217.4,224.32,6865914.0,224.32
2021-06-10,226.22,229.79,221.47,221.85,3955294.0,221.85
2021-06-11,223.5,225.74,221.96,223.92,2383458.0,223.92
2021-06-14,231.27,239.76,229.76,239.1,6151688.0,239.1
2021-06-15,236.23,237.67,230.96,232.21,3007899.0,232.21
2021-06-16,231.4,234.68,226.28,228.05,2874844.0,228.05
2021-06-17,226.88,233.23,226.35,230.66,2589611.0,230.66
2021-06-18,226.92,232.69,226.5,229.29,3265165.0,229.29
2021-06-21,223.14,224.99,218.77,222.6,4687569.0,222.6
2021-06-22,216.25,223.15,210.77,222.47,6206112.0,222.47
2021-06-23,225.54,230.52,224.5,226.01,3394664.0,226.01
2021-06-24,228.46,230.04,226.67,229.93,2857722.0,229.93
2021-06-25,226.97,227.82,223.22,224.54,2506957.0,224.54
2021-06-28,227.64,248.06,226.13,246.69,7449035.0,246.69
2021-06-29,250.2,261.15,250.01,254.9,7867552.0,254.9
2021-06-30,248.3,254.67,247.0,253.3,4143487.0,253.3
2021-07-01,251.09,255.15,240.53,241.44,3627357.0,241.44
2021-07-02,242.0,246.8,238.88,240.72,2328028.0,240.72
2021-07-06,243.0,243.0,234.02,235.41,2212615.0,235.41
2021-07-07,238.96,252.99,232.34,251.97,4804431.0,251.97
2021-07-08,239.0,246.6,233.61,244.29,4349961.0,244.29
2021-07-09,245.0,256.99,244.21,253.88,4457367.0,253.88
2021-07-12,254.0,254.89,246.83,247.67,2222085.0,247.67
2021-07-13,245.51,249.15,242.93,243.31,3307965.0,243.31
2021-07-14,244.9,247.45,229.16,229.94,4808426.0,229.94
2021-07-15,229.94,234.47,220.37,224.63,3635910.0,224.63
2021-07-16,227.2,231.3,220.66,225.01,3373060.0,225.01
2021-07-19,216.92,221.89,213.22,220.61,3149313.0,220.61
2021-07-20,216.71,226.89,213.23,224.96,3104775.0,224.96
2021-07-21,231.7,237.15,229.19,230.87,3677370.0,230.87
2021-07-22,232.0,232.32,224.5,226.08,2551694.0,226.08
2021-07-23,226.22,227.35,222.73,224.92,1574726.0,224.92
2021-07-26,240.08,249.8,237.88,245.45,7615718.0,245.45
2021-07-27,243.0,243.21,229.12,235.08,5636360.0,235.08
2021-07-28,240.3,242.87,238.03,241.75,2065223.0,241.75
2021-07-29,241.77,245.16,235.33,235.78,2453058.0,235.78
2021-07-30,233.28,238.07,231.9,236.58,2041063.0,236.58
2021-08-02,237.28,240.38,233.8,235.4,2151346.0,235.4
2021-08-03,233.87,235.69,226.91,230.18,2850545.0,230.18
2021-08-04,231.06,245.47,229.85,244.36,3684694.0,244.36
2021-08-05,239.76,258.31,237.59,255.5,6017849.0,255.5
2021-08-06,255.5,263.9,250.23,258.26,5579943.0,258.26
2021-08-09,267.85,282.43,267.5,280.47,8892383.0,280.47
2021-08-10,280.67,281.5,264.25,269.67,7723436.0,269.67
2021-08-11,282.34,294.0,274.35,278.4,13998306.0,278.4
2021-08-12,266.39,267.75,255.2,256.5,8266747.0,256.5
2021-08-13,262.82,266.5,259.97,261.25,4472802.0,261.25
2021-08-16,265.26,265.43,253.6,256.83,3241136.0,256.83
2021-08-17,253.14,260.74,246.23,250.8,3101977.0,250.8
2021-08-18,249.0,254.4,243.76,244.39,2564969.0,244.39
2021-08-19,240.6,249.77,239.19,248.24,3247230.0,248.24
2021-08-20,252.0,260.62,251.42,257.32,4031097.0,257.32
2021-08-23,263.67,266.5,255.0,256.0,5705279.0,256.0
2021-08-24,256.99,260.25,253.2,259.28,3982757.0,259.28
2021-08-25,257.0,262.11,256.0,256.77,2675110.0,256.77
2021-08-26,253.21,255.2,248.5,248.54,3038888.0,248.54
2021-08-27,249.39,259.67,248.09,259.12,3201369.0,259.12
2021-08-30,256.35,263.34,256.25,262.66,2687570.0,262.66
2021-08-31,260.02,263.4,257.18,259.0,2493804.0,259.0
2021-09-01,260.31,272.1,258.63,265.9,4789631.0,265.9
2021-09-02,272.54,275.66,266.0,268.18,3736924.0,268.18
2021-09-03,272.0,280.61,270.03,278.44,4438250.0,278.44
2021-09-07,277.0,278.87,262.6,266.81,5173032.0,266.81
2021-09-08,257.0,262.95,253.88,258.2,4507574.0,258.2
2021-09-09,260.3,263.81,255.7,256.42,3074527.0,256.42
2021-09-10,257.31,258.87,247.4,248.32,3191273.0,248.32
2021-09-13,246.51,251.88,239.6,242.84,4021434.0,242.84
2021-09-14,247.25,248.79,241.27,243.0,2748872.0,243.0
2021-09-15,244.0,249.47,242.05,247.07,2148260.0,247.07
2021-09-16,247.38,247.46,239.61,243.21,2596793.0,243.21
2021-09-17,243.13,245.63,238.75,245.19,2947971.0,245.19
2021-09-20,234.45,237.36,231.15,236.53,4192592.0,236.53
2021-09-21,237.01,240.26,234.26,238.46,2174748.0,238.46
2021-09-22,239.91,243.2,237.76,241.85,1660175.0,241.85
2021-09-23,244.57,245.8,237.07,237.5,3151330.0,237.5
2021-09-24,231.0,235.31,229.17,231.82,3699987.0,231.82
2021-09-27,231.88,233.4,227.35,232.24,3234810.0,232.24
2021-09-28,229.68,232.51,227.52,229.84,3231210.0,229.84
2021-09-29,231.0,233.77,225.04,225.28,2547285.0,225.28
2021-09-30,227.0,229.99,225.28,227.48,2522537.0,227.48
2021-10-01,232.89,235.76,226.93,231.15,3457269.0,231.15
2021-10-04,231.49,233.1,224.51,229.31,2591132.0,229.31
2021-10-05,231.35,240.09,230.79,240.09,2994406.0,240.09
2021-10-06,242.4,252.14,242.2,250.38,5747679.0,250.38
2021-10-07,248.0,253.0,245.65,251.59,3213151.0,251.59
2021-10-08,253.53,256.18,246.9,248.14,2873719.0,248.14
2021-10-11,249.57,263.19,248.49,256.5,4945286.0,256.5
2021-10-12,254.26,256.37,246.08,249.33,3971908.0,249.33
2021-10-13,246.5,249.73,244.56,246.78,2886897.0,246.78
2021-10-14,250.9,262.95,249.1,260.0,6307081.0,260.0
2021-10-15,266.6,281.72,266.53,280.61,9517534.0,280.61
2021-10-18,275.74,296.98,271.5,293.34,11801121.0,293.34
2021-10-19,300.0,307.85,294.11,305.63,14785678.0,305.63
2021-10-20,306.66,317.37,303.96,314.71,10315292.0,314.71
2021-10-21,311.96,317.18,298.0,300.01,8289150.0,300.01
2021-10-22,302.0,306.0,293.62,300.84,5437345.0,300.84
2021-10-25,306.76,327.0,305.11,325.54,8444881.0,325.54
2021-10-26,328.15,328.48,315.51,319.49,7635766.0,319.49
2021-10-27,309.33,320.28,306.5,311.67,5253293.0,311.67
2021-10-28,319.81,327.72,311.0,319.13,5952310.0,319.13
2021-10-29,319.32,326.5,316.14,319.42,3766383.0,319.42
2021-11-01,324.77,338.43,323.9,330.99,6255938.0,330.99
2021-11-02,336.33,345.25,332.14,336.34,6104746.0,336.34
2021-11-03,335.26,344.47,328.31,344.38,4809761.0,344.38
2021-11-04,340.74,345.85,333.88,344.45,5893705.0,344.45
2021-11-05,345.23,345.23,333.44,337.05,3527615.0,337.05
2021-11-08,349.5,363.17,345.56,353.92,8531091.0,353.92
2021-11-09,367.39,368.9,345.06,357.39,10153706.0,357.39
2021-11-10,327.22,348.98,320.0,328.6,15168856.0,328.6
2021-11-11,327.43,342.49,327.0,336.39,4905822.0,336.39
