date,open,high,low,close,volume,adj_close
1990-01-02,11.625,11.625,11.375,11.625,839200,7.732290744781494
1990-01-03,11.6875,11.9375,11.6875,11.8125,658000,7.857002258300781
1990-01-04,11.8125,12.0625,11.8125,11.9375,1148400,7.940145969390869
1990-01-05,11.9375,12.0625,11.875,12,414400,7.981715679168701
1990-01-08,11.875,12,11.6875,11.78125,770800,7.836209774017334
1990-01-09,11.75,11.875,11.6875,11.6875,602000,7.773857593536377
1990-01-10,11.6875,11.8125,11.4375,11.4375,738800,7.607568740844727
1990-01-11,11.5625,11.625,11,11,4134800,7.316574573516846
1990-01-12,10.8125,10.875,10.21875,10.375,4424800,6.900856971740723
1990-01-15,10.4375,10.4375,10.1875,10.25,1728800,6.817717552185059
1990-01-16,10.125,10.625,10.0625,10.53125,2256800,7.004787445068359
1990-01-17,10.625,10.6875,10.1875,10.21875,672800,6.79693078994751
1990-01-18,10.0625,10.1875,10,10.0625,1188000,6.693000316619873
1990-01-19,10.1875,10.25,10.0625,10.09375,736000,6.713785171508789
1990-01-22,10.125,10.125,9.5625,9.625,1088000,6.4019975662231445
1990-01-23,9.6875,9.875,9.5625,9.8125,1053200,6.5267157554626465
1990-01-24,9.5625,10,9.4375,9.875,1460000,6.568286418914795
1990-01-25,10.0625,10.0625,9.875,9.9375,1076400,6.60985803604126
1990-01-26,9.9375,10,9.875,10,1361200,6.651429653167725
1990-01-29,9.9375,10.0625,9.8125,9.8125,1201200,6.5267157554626465
1990-01-30,9.8125,9.875,9.625,9.75,1848000,6.485143661499023
1990-01-31,9.8125,9.875,9.75,9.84375,738400,6.547501087188721
1990-02-01,9.875,9.9375,9.6875,9.75,3755600,6.485143661499023
1990-02-02,9.6875,10,9.6875,9.9375,2730400,6.60985803604126
1990-02-05,9.9375,9.9375,9.75,9.75,1164000,6.485143661499023
1990-02-06,9.875,10,9.8125,9.84375,2242000,6.547501087188721
1990-02-07,9.8125,9.875,9.5625,9.625,2304000,6.4019975662231445
1990-02-08,9.625,9.75,9.5625,9.5625,1482400,6.360429763793945
1990-02-09,9.6875,9.6875,9.5,9.625,941600,6.4019975662231445
1990-02-12,9.5,9.625,9.4375,9.5625,1024400,6.360429763793945
1990-02-13,9.5,9.5625,9.1875,9.25,1512400,6.152573108673096
1990-02-14,9.25,9.4375,9.25,9.375,3671200,6.235715866088867
1990-02-15,9.375,9.5625,9.3125,9.5625,877200,6.360429763793945
1990-02-16,9.5625,9.6875,9.5,9.5625,661200,6.360429763793945
1990-02-20,9.5625,9.625,9.375,9.5,715200,6.318859577178955
1990-02-21,9.375,9.8125,9.25,9.6875,988800,6.44357442855835
