Market_Year,Production,Domestic Use,Total Distribution,Ending Stocks,Total Supply,Imports,Exports,Beginning Stocks,StockToUse,StockToUse_total,ProdMinusUse
1960,44297.0,39213.0,72395.0,16635.0,72395.0,10695.0,16895.0,17403.0,42.4,29.6,5084.0
1961,43532.0,37867.0,69881.0,16982.0,69881.0,9714.0,15237.0,16635.0,44.8,32.0,5665.0
1962,45932.0,37215.0,73394.0,20980.0,73394.0,10480.0,15518.0,16982.0,56.4,39.8,8717.0
1963,49826.0,40917.0,82148.0,23880.0,82148.0,11342.0,17551.0,20980.0,58.4,40.8,8909.0
1964,52950.0,44512.0,88186.0,27047.0,88186.0,11356.0,16630.0,23880.0,60.8,44.2,8438.0
1965,56122.0,46831.0,93843.0,30681.0,93843.0,10674.0,16609.0,27047.0,65.5,48.4,9291.0
1966,51304.0,49085.0,93429.0,26475.0,93429.0,11444.0,17860.0,30681.0,53.9,39.5,2219.0
1967,50711.0,49583.0,88275.0,21628.0,88275.0,11087.0,17079.0,26477.0,43.6,32.4,1128.0
1968,56107.0,49688.0,88340.0,21941.0,88340.0,10605.0,16682.0,21628.0,44.2,33.1,6419.0
1969,53443.0,49262.0,86924.0,20457.0,86924.0,11540.0,17323.0,21941.0,41.5,30.7,4181.0
1970,54719.0,50597.0,93749.0,20051.0,93749.0,18573.0,23144.0,20457.0,39.6,27.2,4122.0
1971,58314.0,51742.0,96769.0,20612.0,96769.0,18404.0,24426.0,20051.0,39.8,27.1,6572.0
1972,60843.0,52803.0,102166.0,22134.0,102166.0,20711.0,27398.0,20612.0,41.9,27.6,8040.0
1973,61673.0,53515.0,104544.0,25128.0,104544.0,20737.0,25850.0,22134.0,47.0,31.7,8158.0
1974,62841.0,50301.0,105352.0,30977.0,105352.0,17503.0,24003.0,25008.0,61.6,41.7,12540.0
1975,53050.0,54640.0,103725.0,23459.0,103725.0,19698.0,25561.0,30977.0,42.9,29.3,-1590.0
1976,55724.0,53201.0,97813.0,20237.0,97813.0,18630.0,24285.0,23459.0,38.0,26.1,2523.0
1977,62883.0,54358.0,103875.0,23165.0,103875.0,20755.0,26116.0,20237.0,42.6,28.8,8525.0
1978,58555.0,56277.0,102588.0,19455.0,102588.0,20868.0,26939.0,23165.0,34.6,23.4,2278.0
1979,64668.0,58706.0,107924.0,18841.0,107924.0,23801.0,30368.0,19455.0,32.1,21.2,5962.0
1980,62488.0,57906.0,102364.0,18460.0,102364.0,21035.0,26033.0,18841.0,31.9,22.0,4582.0
1981,67876.0,56301.0,105567.0,23648.0,105567.0,19231.0,25381.0,18460.0,42.0,29.0,11575.0
1982,65497.0,59458.0,108326.0,23437.0,108326.0,19181.0,25215.0,23648.0,39.4,27.7,6039.0
1983,65370.0,61209.0,109064.0,22482.0,109064.0,20257.0,24898.0,23437.0,36.7,26.1,4161.0
1984,87655.0,62985.0,130659.0,40422.0,130659.0,20522.0,26795.0,22482.0,64.2,45.0,24670.0
1985,78902.0,67592.0,141335.0,45850.0,141335.0,22011.0,27717.0,40422.0,67.8,48.1,11310.0
1986,68843.0,73782.0,139857.0,33346.0,139857.0,25164.0,32626.0,45850.0,45.2,31.3,-4939.0
1987,,,,,,,,,,,
1988,,,,,,,,,,,
1989,78146.0,78300.0,131707.0,22651.0,131707.0,24876.0,30623.0,28685.0,28.9,20.8,-154.0
1990,85742.0,78212.0,132704.0,25515.0,132704.0,24311.0,28827.0,22651.0,32.6,23.8,7530.0
1991,93838.0,80378.0,143669.0,35502.0,143669.0,24129.0,27455.0,25702.0,44.2,32.9,13460.0
1992,80713.0,80224.0,137697.0,33140.0,137697.0,21507.0,24314.0,35477.0,41.3,31.7,489.0
1993,75830.0,79333.0,131389.0,26397.0,131389.0,22419.0,25558.0,33140.0,33.3,25.2,-3503.0
1994,83919.0,78496.0,135282.0,30516.0,135282.0,24966.0,26672.0,26397.0,38.9,29.0,5423.0
1995,91385.0,80158.0,143722.0,38579.0,143722.0,21821.0,25684.0,30516.0,48.1,36.4,11227.0
1996,87843.0,82143.0,149889.0,43193.0,149889.0,23467.0,25134.0,38579.0,52.6,40.3,5700.0
1997,89770.0,81336.0,153956.0,47689.0,153956.0,20993.0,25483.0,43193.0,58.6,44.6,8434.0
1998,83485.0,79128.0,151413.0,51138.0,151413.0,20239.0,22244.0,47689.0,64.6,50.4,4357.0
1999,85045.0,85376.0,160036.0,49488.0,160036.0,23853.0,25720.0,51138.0,58.0,44.5,-331.0
2000,85904.0,86783.0,157686.0,47707.0,157686.0,22294.0,24516.0,49488.0,55.0,42.9,-879.0
2001,96624.0,89500.0,169885.0,53214.0,169885.0,25554.0,27863.0,47707.0,59.5,45.3,7124.0
2002,88403.0,93915.0,168441.0,46165.0,168441.0,26824.0,29076.0,53214.0,49.2,37.5,-5512.0
2003,92370.0,94439.0,169943.0,44846.0,169943.0,31408.0,31478.0,46165.0,47.5,35.6,-2069.0
2004,119160.0,105810.0,195385.0,57288.0,195385.0,31379.0,33442.0,44846.0,54.1,41.1,13350.0
2005,114865.0,113954.0,214871.0,59597.0,214871.0,42718.0,43046.0,57288.0,52.3,38.0,911.0
2006,118594.0,121671.0,214807.0,58843.0,214807.0,36616.0,35936.0,59597.0,48.4,37.3,-3077.0
2007,117880.0,122217.0,214921.0,57396.0,214921.0,38198.0,37350.0,58843.0,47.0,36.0,-4337.0
2008,108583.0,109594.0,195769.0,58513.0,195769.0,29790.0,29101.0,57396.0,53.4,42.2,-1011.0
2009,102063.0,118678.0,196783.0,43311.0,196783.0,36207.0,34824.0,58513.0,36.5,28.2,-16615.0
2010,112466.0,114652.0,191467.0,42819.0,191467.0,35690.0,33964.0,43311.0,37.3,28.8,-2186.0
2011,125968.0,103189.0,213640.0,66233.0,213640.0,44853.0,44595.0,42819.0,64.2,44.8,22779.0
2012,124822.0,107017.0,237903.0,86430.0,237903.0,46848.0,44958.0,66233.0,80.8,56.9,17805.0
2013,116981.0,108603.0,244277.0,95989.0,244277.0,40866.0,39748.0,86430.0,88.4,64.7,8378.0
2014,118360.0,112149.0,250285.0,103254.0,250285.0,35936.0,34699.0,95989.0,92.1,70.3,6211.0
2015,95700.0,112902.0,234033.0,87391.0,234033.0,35079.0,33651.0,103254.0,77.4,59.6,-17202.0
2016,103785.0,115947.0,228426.0,75746.0,228426.0,37250.0,36797.0,87391.0,65.3,49.6,-12162.0
2017,120044.0,122307.0,236560.0,74219.0,236560.0,40770.0,40229.0,75746.0,60.7,45.7,-2263.0
2018,111975.0,118310.0,228044.0,70221.0,228044.0,41850.0,39643.0,74219.0,59.4,44.5,-6335.0
2019,116173.0,104673.0,226654.0,83026.0,226654.0,40260.0,39009.0,70221.0,79.3,57.8,11500.0
2020,111560.0,123957.0,242700.0,72364.0,242700.0,48114.0,46519.0,83026.0,58.4,42.4,-12397.0
2021,112655.0,115171.0,227397.0,70906.0,227397.0,42378.0,40916.0,72364.0,61.6,45.4,-2516.0
2022,114272.0,112251.0,222491.0,75457.0,222491.0,37313.0,35048.0,70906.0,67.2,51.2,2021.0
2023,111255.0,114421.0,230362.0,73234.0,230362.0,43650.0,42914.0,75457.0,64.0,46.5,-3166.0
2024,118226.0,118692.0,234140.0,74539.0,234140.0,42680.0,41136.0,73234.0,62.8,46.6,-466.0
2025,120707.0,120707.0,239921.0,75088.0,239921.0,44675.0,44319.0,74539.0,62.2,45.5,0.0
2026,116057.0,122503.0,235015.0,69596.0,235015.0,43870.0,43060.0,75088.0,56.8,42.0,-6446.0
