"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"675","September 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2025/26","Est.","Annual","1123.00","1000 Metric Tons, Actual Weight","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2025/26","Est.","Annual","4278.00","1000 Metric Tons, Actual Weight","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2025/26","Est.","Annual","1370.00","1000 Metric Tons, Actual Weight","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2025/26","Est.","Annual","843.00","1000 Metric Tons, Actual Weight","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2025/26","Est.","Annual","42.00","1000 Metric Tons, Actual Weight","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2025/26","Est.","Annual","5325.00","1000 Metric Tons, Actual Weight","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2026/27","Proj.","Annual","1370.00","1000 Metric Tons, Actual Weight","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2026/27","Proj.","Annual","4245.00","1000 Metric Tons, Actual Weight","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2026/27","Proj.","Annual","1143.00","1000 Metric Tons, Actual Weight","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2026/27","Proj.","Annual","1387.00","1000 Metric Tons, Actual Weight","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2026/27","Proj.","Annual","28.00","1000 Metric Tons, Actual Weight","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2026/27","Proj.","Annual","5377.00","1000 Metric Tons, Actual Weight","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","16.00","Years","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","11.90","Million Metric Tons","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","29.00","Years","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","3.00","Percent","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Domestic Use","largest","Coarse Grain","Foreign","","","Annual","40.80","Million Metric Tons","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Domestic Use","root_mean_square_error","Coarse Grain","Foreign","","","Annual","1.80","Percent","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Domestic Use","smallest","Coarse Grain","Foreign","","","Annual",".40","Million Metric Tons","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Ending Stocks","above_final","Coarse Grain","Foreign","","","Annual","9.00","Years","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Ending Stocks","average","Coarse Grain","Foreign","","","Annual","14.90","Million Metric Tons","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Ending Stocks","below_final","Coarse Grain","Foreign","","","Annual","36.00","Years","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Ending Stocks","confidence_interval","Coarse Grain","Foreign","","","Annual","25.90","Percent","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Ending Stocks","largest","Coarse Grain","Foreign","","","Annual","155.30","Million Metric Tons","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Ending Stocks","root_mean_square_error","Coarse Grain","Foreign","","","Annual","15.40","Percent","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Ending Stocks","smallest","Coarse Grain","Foreign","","","Annual",".70","Million Metric Tons","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Exports","above_final","Coarse Grain","Foreign","","","Annual","15.00","Years","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Exports","average","Coarse Grain","Foreign","","","Annual","7.90","Million Metric Tons","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Exports","below_final","Coarse Grain","Foreign","","","Annual","30.00","Years","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Exports","confidence_interval","Coarse Grain","Foreign","","","Annual","21.60","Percent","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Exports","largest","Coarse Grain","Foreign","","","Annual","20.90","Million Metric Tons","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Exports","root_mean_square_error","Coarse Grain","Foreign","","","Annual","12.80","Percent","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Exports","smallest","Coarse Grain","Foreign","","","Annual",".70","Million Metric Tons","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Production","above_final","Coarse Grain","Foreign","","","Annual","13.00","Years","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Production","average","Coarse Grain","Foreign","","","Annual","15.90","Million Metric Tons","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Production","below_final","Coarse Grain","Foreign","","","Annual","32.00","Years","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Production","confidence_interval","Coarse Grain","Foreign","","","Annual","4.20","Percent","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Production","largest","Coarse Grain","Foreign","","","Annual","59.90","Million Metric Tons","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Production","root_mean_square_error","Coarse Grain","Foreign","","","Annual","2.50","Percent","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Production","smallest","Coarse Grain","Foreign","","","Annual","1.00","Million Metric Tons","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Domestic Use","above_final","Cotton","Foreign","","","Annual","25.00","Years","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Domestic Use","average","Cotton","Foreign","","","Annual","3.50","Million 480-Pounds Bales","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Domestic Use","below_final","Cotton","Foreign","","","Annual","19.00","Years","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Domestic Use","confidence_interval","Cotton","Foreign","","","Annual","8.30","Percent","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Domestic Use","largest","Cotton","Foreign","","","Annual","18.50","Million 480-Pounds Bales","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Domestic Use","root_mean_square_error","Cotton","Foreign","","","Annual","4.90","Percent","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Domestic Use","smallest","Cotton","Foreign","","","Annual",".00","Million 480-Pounds Bales","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Ending Stocks","above_final","Cotton","Foreign","","","Annual","16.00","Years","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Ending Stocks","average","Cotton","Foreign","","","Annual","5.30","Million 480-Pounds Bales","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Ending Stocks","below_final","Cotton","Foreign","","","Annual","29.00","Years","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Ending Stocks","confidence_interval","Cotton","Foreign","","","Annual","23.90","Percent","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Ending Stocks","largest","Cotton","Foreign","","","Annual","16.80","Million 480-Pounds Bales","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Ending Stocks","root_mean_square_error","Cotton","Foreign","","","Annual","14.20","Percent","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Ending Stocks","smallest","Cotton","Foreign","","","Annual",".20","Million 480-Pounds Bales","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Exports","above_final","Cotton","Foreign","","","Annual","21.00","Years","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Exports","average","Cotton","Foreign","","","Annual","2.00","Million 480-Pounds Bales","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Exports","below_final","Cotton","Foreign","","","Annual","24.00","Years","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Exports","confidence_interval","Cotton","Foreign","","","Annual","20.90","Percent","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Exports","largest","Cotton","Foreign","","","Annual","8.80","Million 480-Pounds Bales","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Exports","root_mean_square_error","Cotton","Foreign","","","Annual","12.40","Percent","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Exports","smallest","Cotton","Foreign","","","Annual",".10","Million 480-Pounds Bales","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Production","above_final","Cotton","Foreign","","","Annual","17.00","Years","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Production","average","Cotton","Foreign","","","Annual","2.80","Million 480-Pounds Bales","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Production","below_final","Cotton","Foreign","","","Annual","28.00","Years","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Production","confidence_interval","Cotton","Foreign","","","Annual","8.40","Percent","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Production","largest","Cotton","Foreign","","","Annual","11.30","Million 480-Pounds Bales","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Production","root_mean_square_error","Cotton","Foreign","","","Annual","5.00","Percent","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Production","smallest","Cotton","Foreign","","","Annual",".00","Million 480-Pounds Bales","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Domestic Use","above_final","Oilseed, Soybean","Foreign","","","Annual","18.00","Years","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Domestic Use","average","Oilseed, Soybean","Foreign","","","Annual","4.90","Million Metric Tons","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Domestic Use","below_final","Oilseed, Soybean","Foreign","","","Annual","27.00","Years","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Domestic Use","confidence_interval","Oilseed, Soybean","Foreign","","","Annual","6.60","Percent","2026-09-11","12:00:00.0000000","2026","9"
"675","September 2026","Reliability of September Projections","Domestic Use","largest","Oilseed, Soybean","Foreign","","","Annual","16.00","Million Metric Tons","2026-09-11","12:00:00.0000000","2026","9"
