date,open,high,low,close,volume,adj_close
1980-03-17,24.75,25.00,24.38,24.75,36900,24.75
1980-03-18,25.13,25.25,24.75,25.13,18400,25.13
1980-03-19,25.50,25.88,25.13,25.50,13700,25.50
1980-03-20,25.13,25.75,25.00,25.13,19800,25.13
1980-03-21,25.13,25.38,25.13,25.13,9900,25.13
1980-03-24,25.38,25.63,25.00,25.38,13800,25.38
1980-03-25,25.00,25.38,24.88,25.00,11500,25.00
1980-03-26,25.50,25.50,25.00,25.50,10800,25.50
1980-03-27,25.63,25.75,25.25,25.63,22300,25.63
1980-03-28,26.63,26.63,25.88,26.63,15400,26.63
1980-03-31,26.25,27.00,25.25,26.25,32200,26.25
1980-04-01,27.00,27.00,25.88,27.00,49800,27.00
1980-04-02,26.63,26.75,26.38,26.63,26200,26.63
1980-04-03,26.50,26.75,26.38,26.50,9700,26.50
1980-04-07,26.63,26.75,26.25,26.63,20400,26.63
1980-04-08,27.25,27.25,26.50,27.25,9400,27.25
1980-04-09,27.75,28.00,27.50,27.75,7300,27.75
1980-04-10,27.25,27.75,27.25,27.25,22300,27.25
1980-04-11,27.50,27.88,27.50,27.50,38700,27.50
1980-04-14,27.13,27.25,27.13,27.13,11300,27.13
1980-04-15,27.13,27.13,26.63,27.13,30900,27.13
1980-04-16,27.63,28.50,27.25,27.63,33700,27.63
1980-04-17,27.50,27.50,27.13,27.50,17800,27.50
1980-04-18,26.38,27.25,26.38,26.38,11200,26.38
1980-04-21,26.63,26.75,26.38,26.63,2500,26.63
1980-04-22,28.00,28.00,26.38,28.00,12500,28.00
1980-04-23,27.63,28.00,27.38,27.63,23900,27.63
1980-04-24,27.63,27.75,27.63,27.63,127400,27.63
1980-04-25,27.63,27.75,27.38,27.63,25500,27.63
1980-04-28,27.50,27.63,27.50,27.50,10000,27.50
1980-04-29,27.50,28.00,27.50,27.50,4600,27.50
1980-04-30,27.63,27.75,27.50,27.63,10000,27.63
1980-05-01,27.88,27.88,27.50,27.88,56900,27.88
1980-05-02,27.50,27.63,27.50,27.50,2100,27.50
1980-05-05,28.00,28.00,28.00,28.00,4500,28.00
1980-05-06,29.25,29.38,28.13,29.25,24100,29.25
1980-05-07,29.25,29.38,28.88,29.25,58200,29.25
1980-05-08,29.25,29.50,28.88,29.25,34100,29.25
1980-05-09,28.75,29.63,28.75,28.75,19500,28.75
1980-05-12,28.63,28.88,28.63,28.63,9500,28.63
1980-05-13,29.25,29.25,28.63,29.25,23900,29.25
1980-05-14,30.00,30.00,29.13,30.00,106400,30.00
1980-05-15,30.88,30.88,30.13,30.88,30700,30.88
1980-05-16,30.25,30.63,30.25,30.25,17400,30.25
1980-05-19,31.13,31.63,30.00,31.13,13200,31.13
1980-05-20,30.50,30.88,30.50,30.50,23600,30.50
1980-05-21,30.38,30.50,30.38,30.38,27700,30.38
1980-05-22,30.88,31.25,30.50,30.88,22500,30.88
1980-05-23,31.50,31.75,31.00,31.50,109400,31.50
1980-05-27,32.00,32.88,32.00,32.00,49600,32.00
1980-05-28,32.00,32.63,32.00,32.00,37700,32.00
1980-05-29,31.25,32.13,31.25,31.25,13500,31.25
1980-05-30,31.13,31.25,30.75,31.13,48000,31.13
1980-06-02,30.88,30.88,30.25,30.88,5800,30.88
1980-06-03,31.00,31.00,30.50,31.00,42500,31.00
1980-06-04,30.63,30.88,30.63,30.63,17000,30.63
1980-06-05,31.75,32.13,30.75,31.75,81700,31.75
1980-06-06,31.88,32.13,31.38,31.88,5600,31.88
1980-06-09,32.25,32.25,31.63,32.25,57000,32.25
1980-06-10,32.50,32.50,32.13,32.50,32200,32.50
