date,open,high,low,close,volume,adj_close
1995-01-03,22.4375,22.625,22.25,22.25,2240800,6.9801344871521
1995-01-04,22.1875,22.5,22.1875,22.5,2030600,7.058562278747559
1995-01-05,22.375,22.5,22.25,22.5,1377800,7.058562278747559
1995-01-06,22.4375,22.5,21.875,22.125,2206000,6.940920352935791
1995-01-09,22,22.125,21.9375,22.0625,966000,6.9213128089904785
1995-01-10,22.0625,22.25,21.875,22.125,1525600,6.940920352935791
1995-01-11,22.1875,22.375,21.8125,21.875,3203000,6.862490177154541
1995-01-12,21.875,21.9375,21.6875,21.6875,1899400,6.80367374420166
1995-01-13,21.875,22.0625,21.6875,22.0625,1819000,6.9213128089904785
1995-01-16,22,22.125,22,22.0625,684800,6.9213128089904785
1995-01-17,22.0625,22.375,22.0625,22.375,1218400,7.019348621368408
1995-01-18,22.3125,22.8125,22.3125,22.8125,1860800,7.156597137451172
1995-01-19,22.6875,22.875,22.625,22.8125,1408200,7.156597137451172
1995-01-20,22.75,23.125,22.75,23.125,2688600,7.254635810852051
1995-01-23,22.875,23.1875,22.875,23.0625,2295200,7.235024929046631
1995-01-24,23,23.25,22.9375,23.125,2766200,7.254635810852051
1995-01-25,23.1875,23.6875,23,23.4375,2899200,7.352670669555664
1995-01-26,23.375,23.375,23.1875,23.25,1560400,7.293848514556885
1995-01-27,23.1875,23.1875,22.9375,23.125,1448200,7.254635810852051
1995-01-30,23,23.0625,22.25,22.6875,1620600,7.117380142211914
1995-01-31,22.625,22.625,22.1875,22.3125,2220400,6.999743938446045
1995-02-01,22.4375,22.5625,22.0625,22.4375,1915400,7.038957118988037
1995-02-02,22.4375,22.75,22.4375,22.6875,1051400,7.117380142211914
1995-02-03,22.6875,22.9375,22.625,22.875,1409600,7.176206111907959
1995-02-06,22.75,23.375,22.75,23.375,1536200,7.3330607414245605
1995-02-07,23.3125,23.375,23.1875,23.1875,1109400,7.274239540100098
1995-02-08,23.1875,23.5,23.1875,23.4375,1692000,7.352670669555664
1995-02-09,23.5,23.5,23.3125,23.375,1071000,7.3330607414245605
1995-02-10,23.4375,23.4375,22.8125,22.8125,1306400,7.228026866912842
1995-02-13,22.6875,23.375,22.625,23.1875,1489800,7.346847057342529
1995-02-14,23.1875,23.4375,23.1875,23.375,1220000,7.406253814697266
1995-02-15,23.375,23.5625,23.25,23.5,1942400,7.445858478546143
1995-02-16,23.5,23.5625,23.4375,23.5,1980400,7.445858478546143
1995-02-17,23.5,23.625,23.5,23.5,3164000,7.445858478546143
1995-02-21,23.4375,23.6875,23.4375,23.625,2316400,7.4854655265808105
1995-02-22,23.5625,23.6875,23.5625,23.5625,1012000,7.46566104888916
1995-02-23,23.5,23.5,23.25,23.375,2307000,7.406253814697266
1995-02-24,23.3125,23.6875,23.25,23.5,1420800,7.445858478546143
1995-02-27,23.625,23.8125,23.5625,23.625,1606400,7.4854655265808105
1995-02-28,23.6875,23.875,23.5625,23.8125,1838200,7.544877052307129
1995-03-01,23.625,23.75,23.5,23.625,1539800,7.4854655265808105
1995-03-02,23.5625,23.6875,23.5,23.6875,894800,7.505268573760986
1995-03-03,23.5625,23.625,23.3125,23.4375,1533200,7.426058292388916
1995-03-06,23.4375,23.75,23.375,23.75,2383600,7.525068759918213
1995-03-07,23.75,23.75,23.4375,23.5625,1346400,7.46566104888916
1995-03-08,23.625,23.9375,23.5625,23.8125,2209000,7.544877052307129
1995-03-09,23.875,23.875,23.5625,23.75,1222200,7.525068759918213
1995-03-10,23.8125,24.0625,23.625,24,2326800,7.604276180267334
1995-03-13,23.9375,23.9375,23.75,23.8125,1497400,7.544877052307129
1995-03-14,23.8125,23.875,23.25,23.375,1981200,7.406253814697266
1995-03-15,23.375,23.6875,23.3125,23.5,1743200,7.445858478546143
1995-03-16,23.5,23.75,23.5,23.6875,2199200,7.505268573760986
1995-03-17,23.8125,24,23.75,24,4927600,7.604276180267334
1995-03-20,23.9375,24,23.875,23.9375,1333600,7.584475040435791
1995-03-21,23.8125,24,23.6875,23.875,1472600,7.564679145812988
1995-03-22,23.875,24.1875,23.875,24.0625,3156800,7.624087333679199
1995-03-23,24.125,24.1875,23.75,24,1160800,7.604276180267334
1995-03-24,24.125,24.25,24,24.25,2144400,7.683492660522461
1995-03-27,24.25,24.25,23.875,24.0625,2288600,7.624087333679199
1995-03-28,23.8125,23.875,23.5,23.625,2183400,7.4854655265808105
1995-03-29,23.75,23.9375,23.625,23.75,2474200,7.525068759918213
1995-03-30,23.875,23.875,23.3125,23.625,2078200,7.4854655265808105
1995-03-31,23.5,24.25,23.1875,24,4300000,7.604276180267334
1995-04-03,23.875,23.875,23.1875,23.1875,2165200,7.346847057342529
1995-04-04,23.25,23.6875,23.1875,23.5,2781800,7.445858478546143
1995-04-05,23.5,23.6875,23.3125,23.4375,1809600,7.426058292388916
1995-04-06,23.5,23.5,23.125,23.125,1037400,7.327042102813721
1995-04-07,23.125,23.125,22.5,22.75,2250400,7.208224773406982
1995-04-10,22.75,22.875,22.625,22.8125,2354800,7.228026866912842
1995-04-11,22.9375,23,22.4375,22.5625,1805400,7.148813724517822
1995-04-12,22.625,22.6875,22.375,22.5,2029600,7.1290130615234375
1995-04-13,22.5,22.5625,22.3125,22.4375,1800600,7.1092119216918945
1995-04-17,22.6875,22.8125,22.125,22.25,1928400,7.049800872802734
1995-04-18,22.4375,22.75,22.3125,22.75,2274800,7.208224773406982
1995-04-19,22.75,22.8125,22.4375,22.75,1403000,7.208224773406982
1995-04-20,22.9375,23.4375,22.625,23.375,2578400,7.406253814697266
1995-04-21,23.5,23.5,23.125,23.25,2584200,7.366645812988281
1995-04-24,23.25,23.4375,22.875,23.25,1802000,7.366645812988281
1995-04-25,23.25,23.8125,23.1875,23.75,1882600,7.525068759918213
1995-04-26,23.5625,23.75,23.4375,23.5,1646600,7.445858478546143
1995-04-27,23.4375,24.125,23.4375,24,2366600,7.604276180267334
1995-04-28,23.875,23.875,23.375,23.6875,2077200,7.505268573760986
