date,open,high,low,close,volume
2007-01-05,24.93,25.05,24.85,25.02,27800
2007-01-08,35.94,35.94,24.84,24.98,143600
2007-01-09,24.8,24.82,24.6,24.66,136700
2007-01-10,24.7,24.82,24.5,24.73,76600
2007-01-11,24.9,25.13,24.8,25.1,159600
2007-01-12,25.3,27.3,25.3,27.1,333500
2007-01-16,27.5,28.15,25.92,26.0,1685800
2007-01-17,26.1,26.15,25.6,25.87,719800
2007-01-18,26.24,26.27,25.72,26.0,592100
2007-01-19,25.95,26.0,25.75,25.85,349300
2007-01-22,25.81,26.12,25.75,26.1,296700
2007-01-23,26.25,26.58,26.05,26.57,542900
2007-01-24,26.35,26.35,25.9,26.05,363300
2007-01-25,26.01,26.15,25.77,25.93,226100
2007-01-26,25.95,26.05,25.76,26.04,189600
2007-01-29,25.95,25.95,25.58,25.6,157700
2007-01-30,25.51,25.92,25.4,25.92,159800
2007-01-31,25.98,26.08,25.8,25.9,157000
2007-02-01,25.96,26.06,25.77,25.8,110600
2007-02-02,25.75,26.03,25.67,26.03,109400
2007-02-05,26.05,26.14,25.92,26.08,214500
2007-02-06,26.04,26.04,25.59,25.7,281200
2007-02-07,25.6,25.73,25.54,25.66,132200
2007-02-08,25.66,25.92,25.56,25.88,65200
2007-02-09,26.0,26.25,25.75,26.16,174200
2007-02-12,26.19,26.22,25.86,25.94,161900
2007-02-13,25.99,26.28,25.9,26.17,283800
2007-02-14,26.19,26.22,25.86,26.0,406100
2007-02-15,26.1,26.36,26.1,26.32,176600
2007-02-16,26.32,26.78,26.25,26.74,226300
2007-02-20,26.74,26.75,26.5,26.66,299800
2007-02-21,26.56,27.05,26.45,26.96,269700
2007-02-22,27.2,27.66,27.13,27.5,788100
2007-02-23,27.4,27.45,27.1,27.19,698100
2007-02-26,27.5,27.54,27.15,27.16,231900
2007-02-27,27.02,27.04,26.3,26.53,573900
2007-02-28,26.69,27.0,26.48,27.0,196200
2007-03-01,26.74,26.77,26.23,26.64,167400
2007-03-02,26.41,26.78,26.39,26.39,121900
2007-03-05,25.84,26.34,25.7,26.34,253700
2007-03-06,26.5,26.53,26.16,26.2,127400
2007-03-07,26.25,26.57,26.15,26.44,175400
2007-03-08,26.54,26.65,26.32,26.42,109600
2007-03-09,26.44,26.49,26.08,26.31,97000
2007-03-12,26.34,26.34,26.0,26.13,91700
2007-03-13,26.18,26.25,25.87,25.89,111900
2007-03-14,25.7,25.98,25.53,25.98,172900
2007-03-15,25.97,26.05,25.58,25.6,131400
2007-03-16,25.53,26.09,25.5,25.92,83000
2007-03-19,25.88,26.12,25.7,25.99,96500
2007-03-20,25.9,26.2,25.88,26.18,95100
2007-03-21,26.29,26.34,26.16,26.32,148100
2007-03-22,26.21,26.39,26.14,26.35,103400
2007-03-23,26.39,26.43,26.17,26.28,99700
2007-03-26,26.01,26.15,25.64,25.8,194700
2007-03-27,25.89,25.95,25.78,25.92,96200
2007-03-28,26.04,26.11,25.8,26.07,149600
2007-03-29,26.04,26.14,25.76,26.09,214600
2007-03-30,26.03,26.08,24.9,25.19,692200
2007-04-02,24.88,25.22,24.53,25.07,291800
2007-04-03,25.17,25.22,24.72,24.88,506800
2007-04-04,25.05,25.3,24.87,25.18,270800
2007-04-05,25.2,25.54,25.12,25.43,171800
2007-04-09,26.01,26.1,25.35,25.46,373300
2007-04-10,25.51,25.71,25.27,25.55,211000
2007-04-11,25.78,25.79,25.4,25.57,153500
2007-04-12,25.49,25.55,25.1,25.49,226700
2007-04-13,25.55,25.97,25.49,25.82,208000
2007-04-16,25.71,25.85,25.5,25.61,221800
2007-04-17,25.65,25.81,25.24,25.27,169600
2007-04-18,25.34,25.34,25.03,25.12,178100
2007-04-19,25.1,25.43,25.1,25.43,123400
2007-04-20,25.42,25.5,25.2,25.5,107000
2007-04-23,25.25,25.29,24.96,25.0,323000
2007-04-24,24.87,25.03,24.83,24.95,130800
2007-04-25,25.08,25.96,25.0,25.55,203100
2007-04-26,25.85,25.9,25.32,25.44,185600
2007-04-27,25.37,25.37,25.0,25.11,326800
2007-04-30,24.92,25.19,24.82,24.85,281700
2007-05-01,24.94,25.37,24.7,25.26,151600
2007-05-02,25.4,25.42,25.06,25.12,266300
2007-05-03,25.15,25.66,25.15,25.44,2224700
2007-05-04,25.5,25.61,25.3,25.61,402000
2007-05-07,25.66,25.68,25.15,25.32,160700
2007-05-08,24.94,25.04,24.78,24.83,334500
2007-05-09,24.78,24.96,24.78,24.9,310300
2007-05-10,24.8,25.0,24.6,24.72,163100
2007-05-11,24.62,25.4,24.62,25.33,281300
2007-05-14,25.47,25.51,25.26,25.26,170200
2007-05-15,25.0,25.42,24.88,25.34,313300
2007-05-16,25.37,25.56,25.24,25.3,190400
2007-05-17,25.3,25.41,25.11,25.13,255000
2007-05-18,25.16,25.25,24.81,24.88,144200
2007-05-21,25.05,25.4,25.01,25.34,289700
2007-05-22,25.1,25.3,24.9,24.99,164200
2007-05-23,25.25,25.25,25.04,25.1,110400
2007-05-24,25.31,25.56,25.18,25.55,178200
2007-05-25,25.79,26.12,25.7,26.0,208000
2007-05-29,25.83,25.89,25.5,25.58,158800
2007-05-30,25.69,26.24,25.51,26.23,235400
2007-05-31,26.36,26.5,26.0,26.35,278900
2007-06-01,26.26,26.62,26.11,26.39,290800
2007-06-04,26.39,26.49,26.12,26.23,193800
2007-06-05,26.3,26.52,26.14,26.31,154900
