date,open,high,low,close,volume
2004-01-02,10452.74,10554.96,10367.41,10409.85,168890000.0
2004-01-05,10411.85,10575.92,10411.85,10544.07,221290000.0
2004-01-06,10543.85,10584.07,10454.37,10538.66,191460000.0
2004-01-07,10535.46,10587.55,10432.0,10529.03,225490000.0
2004-01-08,10530.07,10651.99,10480.59,10592.44,237770000.0
2004-01-09,10589.25,10603.48,10420.52,10458.89,223250000.0
2004-01-12,10461.55,10543.03,10389.85,10485.18,197960000.0
2004-01-13,10485.18,10539.25,10341.19,10427.18,197310000.0
2004-01-14,10428.67,10573.85,10426.89,10538.37,186280000.0
2004-01-15,10534.52,10639.03,10454.52,10553.85,260090000.0
2004-01-16,10556.37,10666.88,10503.7,10600.51,254170000.0
2004-01-20,10601.4,10676.96,10447.92,10528.66,224300000.0
2004-01-21,10522.77,10665.7,10453.11,10623.62,214920000.0
2004-01-22,10624.22,10717.4,10545.03,10623.18,219720000.0
2004-01-23,10625.25,10691.77,10490.14,10568.29,234260000.0
2004-01-26,10568.0,10725.18,10510.44,10702.51,186170000.0
2004-01-27,10701.1,10748.81,10579.33,10609.92,206560000.0
2004-01-28,10610.07,10703.25,10412.44,10468.37,247660000.0
2004-01-29,10467.41,10611.56,10369.92,10510.29,273970000.0
2004-01-30,10510.22,10551.03,10385.56,10488.07,208990000.0
2004-02-02,10487.78,10614.44,10395.55,10499.18,224800000.0
2004-02-03,10499.48,10571.48,10414.15,10505.18,183810000.0
2004-02-04,10503.11,10567.85,10394.81,10470.74,227760000.0
2004-02-05,10469.33,10566.37,10399.92,10495.55,187810000.0
2004-02-06,10494.89,10634.81,10433.7,10593.03,182880000.0
2004-02-09,10592.0,10634.81,10433.7,10579.03,160720000.0
2004-02-10,10578.74,10667.03,10511.18,10613.85,160590000.0
2004-02-11,10605.48,10779.4,10561.55,10737.7,277850000.0
2004-02-12,10735.18,10775.03,10636.44,10694.07,197560000.0
2004-02-13,10696.22,10755.47,10578.66,10627.85,208340000.0
2004-02-17,10628.88,10762.07,10628.88,10714.88,169730000.0
2004-02-18,10706.68,10764.36,10623.62,10671.99,164370000.0
2004-02-19,10674.59,10794.95,10626.44,10664.73,219890000.0
2004-02-20,10666.29,10722.77,10559.11,10619.03,220560000.0
2004-02-23,10619.55,10711.84,10508.89,10609.62,229950000.0
