date,open,high,low,close,volume,adj_close
2014-04-03,569.85,587.28,564.13,569.74,4959598.0,569.74
2014-04-04,574.65,577.77,543.0,543.14,6348310.0,543.14
2014-04-07,540.74,548.48,527.15,538.15,4361913.0,538.15
2014-04-08,542.6,555.0,541.61,554.9,3138698.0,554.9
2014-04-09,559.62,565.37,552.95,564.14,3314667.0,564.14
2014-04-10,565.0,565.0,539.9,540.95,4018339.0,540.95
2014-04-11,532.55,540.0,526.53,530.6,3910723.0,530.6
2014-04-14,538.25,544.1,529.56,532.52,2555836.0,532.52
2014-04-15,536.82,538.45,518.46,536.44,3835273.0,536.44
2014-04-16,543.0,557.0,540.0,556.54,4250338.0,556.54
2014-04-17,548.81,549.5,531.15,536.1,6770387.0,536.1
2014-04-21,536.1,536.7,525.6,528.62,2553007.0,528.62
2014-04-22,528.64,537.23,527.51,534.81,2351618.0,534.81
2014-04-23,533.79,533.87,526.25,526.94,2012651.0,526.94
2014-04-24,530.07,531.65,522.12,525.16,1871147.0,525.16
2014-04-25,522.51,524.7,515.42,516.18,2088059.0,516.18
2014-04-28,517.18,518.6,502.8,517.15,3317684.0,517.15
2014-04-29,516.9,529.46,516.32,527.7,2685874.0,527.7
2014-04-30,527.6,528.0,522.52,526.66,1729261.0,526.66
2014-05-01,527.11,532.93,523.88,531.35,1896321.0,531.35
2014-05-02,533.76,534.0,525.61,527.93,1680152.0,527.93
2014-05-05,524.82,528.9,521.32,527.81,1020439.0,527.81
2014-05-06,525.23,526.81,515.06,515.14,1612592.0,515.14
2014-05-07,515.79,516.68,503.3,509.96,3207835.0,509.96
2014-05-08,508.46,517.23,506.45,511.0,2009809.0,511.0
2014-05-09,510.75,519.9,504.2,518.73,2426746.0,518.73
2014-05-12,523.51,530.19,519.01,530.17,1902605.0,530.17
2014-05-13,530.89,536.07,529.51,533.09,1644062.0,533.09
2014-05-14,533.0,533.0,525.29,526.65,1185361.0,526.65
2014-05-15,525.7,525.87,517.42,519.98,1693474.0,519.98
2014-05-16,521.39,521.8,515.44,520.63,1476752.0,520.63
2014-05-19,519.7,529.78,517.58,528.86,1271821.0,528.86
