date,open,high,low,close,volume,open_interest,settle
2026-03-10,2.5154,2.5782,2.5046,2.5782,2288,5477,2.5594
2026-03-11,2.612,2.6671,2.5734,2.664,2375,5429,2.6655
2026-03-12,2.6852,2.7491,2.666,2.7294,3261,5254,2.7332
2026-03-13,2.7221,2.7427,2.7139,2.7303,1529,5142,2.7443
2026-03-16,2.7513,2.7674,2.7,2.7091,1073,5031,2.6988
2026-03-17,2.7366,2.801,2.7346,2.7998,1572,5096,2.7896
2026-03-18,2.7734,2.8788,2.7734,2.8546,1584,5088,2.8355
2026-03-19,2.8618,2.8789,2.8281,2.8547,1809,5084,2.8602
2026-03-20,2.8261,2.975,2.8261,2.975,1461,5343,2.9688
2026-03-23,2.978,3.0693,2.7403,2.7859,2530,5222,2.7643
2026-03-24,2.8769,2.9142,2.8239,2.904,1090,5252,2.9034
2026-03-25,2.8087,2.8928,2.7845,2.8732,1544,5316,2.8737
2026-03-26,2.879,2.9825,2.879,2.9506,920,5229,2.9714
2026-03-27,2.9488,3.0026,2.9488,2.9791,945,5388,2.9743
2026-03-30,3.016,3.0277,2.948,2.948,765,5268,2.9497
2026-03-31,2.9244,2.9659,2.8403,2.8403,1514,5209,2.8445
2026-04-01,2.8358,2.875,2.7971,2.826,2354,5366,2.8273
2026-04-02,2.8909,2.9493,2.847,2.8663,2443,5636,2.8611
2026-04-06,2.8898,2.9634,2.8898,2.9363,1056,5710,2.9403
2026-04-07,2.9543,3.0165,2.9397,2.9449,2500,5709,2.9884
2026-04-08,2.8196,2.9248,2.7581,2.9196,4091,5863,2.9173
2026-04-09,2.9133,2.9799,2.9133,2.935,3833,5891,2.9525
2026-04-10,2.9529,2.9806,2.9192,2.942,3042,6305,2.9627
2026-04-13,3.0277,3.0552,2.973,2.978,1922,6344,3.0102
2026-04-14,2.9796,3.01,2.9328,2.9517,2887,6377,2.9504
2026-04-15,2.955,2.9693,2.9373,2.9616,1822,6498,2.9614
2026-04-16,2.9484,3.0032,2.9484,2.983,1373,6470,2.9936
2026-04-17,2.9742,2.9781,2.7633,2.8306,2441,6543,2.8137
2026-04-20,2.9483,2.9483,2.869,2.8816,1367,6660,2.8931
2026-04-21,2.8722,2.9691,2.8722,2.9369,2350,6662,2.9376
2026-04-22,2.9305,3.0144,2.9277,3.0031,1709,6274,3.0046
2026-04-23,2.9931,3.0771,2.9838,3.0565,1216,6376,3.0416
2026-04-24,3.0644,3.0729,3.0014,3.0518,1497,6316,3.0207
2026-04-27,3.076,3.1034,3.0689,3.0847,908,6468,3.0887
2026-04-28,3.0867,3.1203,3.0739,3.0955,1379,6396,3.0882
2026-04-29,3.075,3.1857,3.075,3.1794,2571,6384,3.1777
2026-04-30,3.1911,3.2332,3.1312,3.1959,2080,6880,3.1845
2026-05-01,3.2115,3.2115,3.1157,3.1556,1598,6729,3.1393
2026-05-04,3.1463,3.2683,3.1463,3.248,1981,6666,3.2616
2026-05-05,3.24,3.2608,3.2104,3.259,1485,6805,3.2525
2026-05-06,3.2382,3.2382,3.0222,3.1103,2888,6745,3.1146
2026-05-07,3.112,3.1482,3.032,3.1462,3554,6828,3.1019
2026-05-08,3.1452,3.1614,3.0973,3.1465,1536,6872,3.1608
2026-05-11,3.1705,3.226,3.1705,3.2147,1099,6992,3.2124
2026-05-12,3.2205,3.3525,3.2205,3.3487,2309,7014,3.3481
2026-05-13,3.3119,3.3267,3.252,3.2538,1967,7305,3.2548
2026-05-14,3.2503,3.2577,3.2205,3.241,2535,7742,3.2264
2026-05-15,3.2395,3.2905,3.2395,3.2905,3273,7781,3.2784
2026-05-18,3.3086,3.3756,3.2773,3.3,2638,7835,3.362
2026-05-19,3.3112,3.3756,3.3077,3.363,2863,7636,3.3649
2026-05-20,3.3668,3.3751,3.2287,3.2648,3224,7248,3.2589
2026-05-21,3.2775,3.3334,3.2017,3.2493,2853,7320,3.2183
2026-05-22,3.2519,3.2836,3.2186,3.2481,1423,7196,3.2502
2026-05-26,3.1735,3.2524,3.1438,3.1999,4435,7134,3.2012
2026-05-27,3.1924,3.2046,3.1256,3.1885,4471,7596,3.1779
2026-05-28,3.2091,3.2327,3.1864,3.228,2531,7848,3.2161
2026-05-29,3.1975,3.2387,3.1496,3.1761,4913,7874,3.1606
2026-06-01,3.2166,3.3099,3.2054,3.2691,4476,8986,3.2703
2026-06-02,3.2603,3.3229,3.2153,3.3099,3292,9425,3.3212
2026-06-03,3.3336,3.4267,3.3304,3.4167,3266,9971,3.4231
2026-06-04,3.3958,3.4204,3.3051,3.3223,3133,9883,3.3237
2026-06-05,3.3227,3.3401,3.2688,3.2867,3078,10454,3.2816
2026-06-08,3.349,3.3784,3.2944,3.3158,3551,10645,3.3183
2026-06-09,3.3238,3.3238,3.2249,3.2845,3152,10756,3.2823
2026-06-10,3.3,3.3515,3.2579,3.3414,3216,10795,3.3253
2026-06-11,3.3589,3.3597,3.208,3.2144,3820,11050,3.2514
2026-06-12,3.2135,3.2346,3.1271,3.1397,5250,11043,3.143
2026-06-15,3.1125,3.1171,3.0432,3.0482,4792,11318,3.0488
2026-06-16,3.034,3.049,2.9579,2.982,6675,11577,2.9709
2026-06-17,2.9801,3.0414,2.9476,2.9476,3816,13364,2.9637
2026-06-18,2.9398,2.9398,2.8562,2.9119,5011,13316,2.9194
2026-06-22,2.9047,2.991,2.8815,2.8911,4038,14162,2.8865
2026-06-23,2.8945,2.9126,2.8591,2.902,3488,14322,2.9046
2026-06-24,2.8915,2.8925,2.8411,2.847,5464,14527,2.8571
2026-06-25,2.8473,2.9169,2.8256,2.8989,5656,14919,2.9037
2026-06-26,2.9001,2.9063,2.8151,2.8449,4347,14485,2.8239
2026-06-29,2.8617,2.8937,2.8344,2.8668,3423,14748,2.8819
2026-06-30,2.8634,2.9297,2.853,2.9259,3263,14666,2.9167
2026-07-01,2.9283,2.9559,2.8911,2.9028,3665,14509,2.9114
