date,open,high,low,close,volume,open_interest,settle
2026-03-10,3.1417,3.3347,2.9378,3.1721,67684,57355,3.1271
2026-03-11,3.2204,3.5352,3.0534,3.5334,62258,59246,3.4523
2026-03-12,3.552,3.7352,3.5182,3.7033,64063,62433,3.6598
2026-03-13,3.7266,3.7486,3.5509,3.713,38939,63721,3.7268
2026-03-16,3.7584,3.8376,3.5643,3.6081,39747,62283,3.5855
2026-03-17,3.6246,3.8425,3.6093,3.7923,49557,61274,3.8028
2026-03-18,3.79,4.1848,3.7145,4.1538,44615,62880,3.9888
2026-03-19,4.1472,4.35,3.9804,4.1065,52641,64778,4.0964
2026-03-20,4.1028,4.3308,3.9797,4.2965,40579,64104,4.2425
2026-03-23,4.379,4.471,3.6937,3.8255,55837,66940,3.7532
2026-03-24,3.8159,4.065,3.758,3.8718,41813,65511,4.0133
2026-03-25,3.8524,3.8556,3.6178,3.8347,46329,66686,3.8105
2026-03-26,3.845,4.1489,3.8091,4.0439,36421,65297,4.077
2026-03-27,4.0275,4.3229,4.0051,4.3209,40179,65283,4.2363
2026-03-30,4.336,4.4315,4.1856,4.2793,34412,67852,4.2057
2026-03-31,4.2801,4.3497,4.0595,4.0736,37982,67699,3.7409
2026-04-01,3.74,3.832,3.6221,3.7088,27446,40359,3.7152
2026-04-02,3.6618,4.1638,3.66,4.0361,34714,40292,3.9761
2026-04-06,4.0416,4.134,3.9074,3.9893,21240,40289,3.9702
2026-04-07,3.9933,4.172,3.9321,3.94,31906,40076,4.0971
2026-04-08,3.9063,3.9443,3.3635,3.6327,43733,38902,3.5842
2026-04-09,3.65,3.8209,3.6103,3.6968,38651,39767,3.697
2026-04-10,3.6967,3.777,3.536,3.5497,31155,43151,3.5722
2026-04-13,3.748,3.8747,3.6,3.6088,32026,46357,3.6553
2026-04-14,3.5974,3.6793,3.4573,3.492,41397,50517,3.4726
2026-04-15,3.4995,3.6177,3.4286,3.566,36100,51282,3.5626
2026-04-16,3.5736,3.6873,3.5454,3.6282,32436,52438,3.6462
2026-04-17,3.6307,3.6566,3.1701,3.3421,58417,53115,3.3019
2026-04-20,3.5211,3.5895,3.3758,3.4272,39440,53035,3.4393
2026-04-21,3.4498,3.7312,3.3777,3.698,48985,56960,3.6359
2026-04-22,3.68,3.8304,3.5806,3.8028,41590,58441,3.8161
2026-04-23,3.8143,3.9432,3.7022,3.8923,48035,59561,3.8677
2026-04-24,3.9065,3.9753,3.739,3.8457,50113,60980,3.7943
2026-04-27,3.8732,3.9858,3.8454,3.8492,42063,62248,3.881
2026-04-28,3.8408,3.9482,3.8136,3.8895,42472,64038,3.8927
