date,open,high,low,close,volume,adj_close
2015-11-02,14.99,15.17,13.86,14.49,40536992.0,14.49
2015-11-03,14.07,14.71,13.67,14.36,39087987.0,14.36
2015-11-04,14.39,14.51,13.61,13.66,30511853.0,13.66
2015-11-05,13.64,13.89,13.12,13.28,22189959.0,13.28
2015-11-06,13.18,14.48,13.15,14.4,30011774.0,14.4
2015-11-09,14.26,14.48,14.13,14.2,17528088.0,14.2
2015-11-10,14.13,14.44,14.01,14.41,14777765.0,14.41
2015-11-11,14.2,14.31,14.09,14.11,10987129.0,14.11
2015-11-12,13.81,13.82,13.59,13.7,20321913.0,13.7
2015-11-13,13.61,13.76,13.15,13.39,14918854.0,13.39
2015-11-16,13.37,13.61,13.14,13.38,13763175.0,13.38
2015-11-17,13.38,13.49,13.12,13.22,12420750.0,13.22
2015-11-18,13.48,13.73,13.19,13.64,13016979.0,13.64
2015-11-19,13.53,13.89,13.52,13.78,13171491.0,13.78
2015-11-20,13.78,14.63,13.68,14.21,18558036.0,14.21
2015-11-23,14.17,14.21,13.57,13.85,15317143.0,13.85
2015-11-24,13.58,14.02,13.5,13.69,20720955.0,13.69
2015-11-25,13.91,14.86,13.84,14.12,22674592.0,14.12
2015-11-27,14.12,14.64,14.05,14.35,6041718.0,14.35
2015-11-30,14.23,15.0,14.18,14.86,27738179.0,14.86
2015-12-01,14.88,15.88,14.85,15.61,25103356.0,15.61
2015-12-02,15.37,15.54,14.87,14.95,12674065.0,14.95
2015-12-03,15.0,15.34,14.58,14.62,18875715.0,14.62
2015-12-04,14.39,15.29,14.24,15.22,11974428.0,15.22
2015-12-07,15.0,15.48,14.92,15.45,9540089.0,15.45
2015-12-08,15.09,15.29,14.62,15.17,11563395.0,15.17
2015-12-09,14.99,15.39,14.68,14.85,14261725.0,14.85
2015-12-10,14.79,14.81,14.53,14.72,11350207.0,14.72
2015-12-11,14.99,15.4,14.14,14.18,10614163.0,14.18
2015-12-14,14.3,14.5,13.92,14.44,11518069.0,14.44
2015-12-15,14.51,14.98,14.48,14.56,12795752.0,14.56
2015-12-16,14.62,14.81,14.55,14.7,7697049.0,14.7
2015-12-17,14.61,14.72,14.22,14.31,7625454.0,14.31
2015-12-18,14.27,14.38,14.0,14.16,19304203.0,14.16
2015-12-21,14.12,14.4,13.87,14.02,9860553.0,14.02
2015-12-22,14.04,14.14,13.92,14.06,7292427.0,14.06
2015-12-23,14.19,14.97,14.05,14.91,11252028.0,14.91
2015-12-24,14.81,15.17,14.79,15.02,2178459.0,15.02
2015-12-28,14.89,15.28,14.82,15.23,5930636.0,15.23
2015-12-29,15.29,15.43,15.18,15.2,6275426.0,15.2
2015-12-30,15.29,15.48,15.15,15.28,6275478.0,15.28
2015-12-31,15.23,15.31,15.1,15.2,6646526.0,15.2
2016-01-04,14.97,15.15,14.74,15.13,15005341.0,15.13
2016-01-05,15.13,15.25,14.94,15.03,10285834.0,15.03
2016-01-06,14.62,15.0,14.51,14.8,11314541.0,14.8
2016-01-07,14.5,14.56,13.65,13.71,19777209.0,13.71
2016-01-08,13.77,14.02,13.31,13.54,16395092.0,13.54
2016-01-11,13.43,13.71,13.07,13.26,15110252.0,13.26
2016-01-12,13.35,13.42,13.09,13.26,12457550.0,13.26
2016-01-13,13.35,13.35,12.53,12.75,17713306.0,12.75
2016-01-14,12.75,13.17,12.65,13.0,13352280.0,13.0
2016-01-15,12.6,12.8,12.49,12.54,19673323.0,12.54
2016-01-19,12.68,12.78,12.2,12.32,12890129.0,12.32
2016-01-20,12.0,12.2,11.62,12.06,16636353.0,12.06
2016-01-21,12.0,12.54,11.82,12.41,16728144.0,12.41
2016-01-22,12.7,13.43,12.65,13.35,15225158.0,13.35
2016-01-25,13.29,13.55,13.12,13.34,11183427.0,13.34
2016-01-26,13.35,13.72,13.35,13.6,10725283.0,13.6
2016-01-27,13.53,13.61,12.95,13.39,18484504.0,13.39
2016-01-28,13.45,13.7,13.07,13.19,9874424.0,13.19
2016-01-29,13.41,13.88,13.35,13.76,11338056.0,13.76
2016-02-01,13.67,13.88,13.53,13.79,9549644.0,13.79
2016-02-02,13.7,13.97,13.36,13.45,9677516.0,13.45
2016-02-03,13.66,13.77,13.11,13.37,7553022.0,13.37
2016-02-04,13.31,13.89,13.31,13.85,6499149.0,13.85
2016-02-05,13.69,13.75,13.03,13.2,13227678.0,13.2
2016-02-08,13.0,13.05,12.37,12.51,14815851.0,12.51
2016-02-09,12.37,12.86,12.31,12.72,6659478.0,12.72
2016-02-10,12.77,13.07,12.71,12.86,5982701.0,12.86
2016-02-11,12.57,12.67,12.01,12.4,9834281.0,12.4
2016-02-12,12.5,12.79,12.18,12.29,10549410.0,12.29
2016-02-16,12.41,12.49,12.27,12.33,11976889.0,12.33
2016-02-17,12.39,13.13,12.37,13.02,8665514.0,13.02
2016-02-18,13.05,13.7,13.02,13.53,11734114.0,13.53
2016-02-19,13.51,13.74,13.25,13.67,9414374.0,13.67
2016-02-22,13.75,13.88,13.57,13.8,10717948.0,13.8
2016-02-23,13.72,13.82,12.84,13.09,14646955.0,13.09
2016-02-24,13.0,13.57,12.82,13.53,13222774.0,13.53
2016-02-25,13.45,13.71,13.24,13.68,12079898.0,13.68
2016-02-26,13.78,13.8,13.15,13.44,10824943.0,13.44
2016-02-29,13.31,13.48,13.2,13.27,12720423.0,13.27
2016-03-01,13.42,13.47,13.09,13.28,8354199.0,13.28
2016-03-02,13.38,14.05,13.35,13.9,10016491.0,13.9
2016-03-03,13.91,13.95,13.28,13.6,10001443.0,13.6
2016-03-04,14.9,15.84,14.82,15.44,33349277.0,15.44
2016-03-07,15.13,15.99,15.06,15.97,18458751.0,15.97
2016-03-08,15.75,15.79,15.2,15.23,12330377.0,15.23
2016-03-09,15.34,15.83,15.3,15.49,11068842.0,15.49
2016-03-10,15.55,16.21,15.52,15.9,14284829.0,15.9
2016-03-11,16.0,16.44,16.0,16.33,15683986.0,16.33
2016-03-14,16.2,16.57,16.04,16.41,9659207.0,16.41
2016-03-15,16.36,16.88,16.25,16.77,13934233.0,16.77
2016-03-16,16.71,17.23,16.6,17.19,12513370.0,17.19
2016-03-17,17.13,17.33,16.96,17.16,10868207.0,17.16
2016-03-18,17.17,17.58,17.08,17.33,30962871.0,17.33
2016-03-21,17.33,17.94,17.3,17.71,10729906.0,17.71
2016-03-22,17.41,18.08,17.34,17.51,11289310.0,17.51
2016-03-23,17.52,17.57,17.09,17.46,11433800.0,17.46
2016-03-24,17.41,17.64,17.11,17.57,8869974.0,17.57
2016-03-28,17.48,17.66,17.22,17.51,5511558.0,17.51
2016-03-29,17.37,17.68,17.22,17.65,5926601.0,17.65
2016-03-30,17.72,17.91,17.63,17.89,10552489.0,17.89
2016-03-31,17.84,17.96,17.51,17.73,10389604.0,17.73
2016-04-01,17.61,18.54,17.56,18.4,14849934.0,18.4
2016-04-04,18.45,18.45,17.93,18.04,7666968.0,18.04
2016-04-05,17.87,17.91,17.56,17.61,8299991.0,17.61
2016-04-06,17.65,17.98,17.46,17.96,10391872.0,17.96
2016-04-07,17.79,18.04,17.62,17.74,9413442.0,17.74
2016-04-08,17.85,18.29,17.81,17.89,7279983.0,17.89
2016-04-11,17.95,18.06,17.66,17.73,5878169.0,17.73
2016-04-12,17.71,17.76,17.18,17.24,8782616.0,17.24
2016-04-13,17.29,17.51,17.15,17.5,8243231.0,17.5
2016-04-14,17.36,17.4,17.06,17.26,6615897.0,17.26
2016-04-15,17.41,17.48,16.85,17.4,11861987.0,17.4
2016-04-18,17.21,17.48,17.14,17.44,5661373.0,17.44
2016-04-19,17.46,17.48,17.15,17.24,6439694.0,17.24
2016-04-20,17.07,17.5,17.07,17.4,5440116.0,17.4
2016-04-21,17.34,17.74,17.32,17.46,5970170.0,17.46
2016-04-22,17.44,17.7,17.33,17.49,7958001.0,17.49
2016-04-25,17.36,17.41,16.82,17.21,5842139.0,17.21
2016-04-26,17.25,17.46,17.23,17.36,6285641.0,17.36
2016-04-27,17.3,17.52,17.25,17.31,6363648.0,17.31
2016-04-28,17.17,17.38,16.92,17.03,4786943.0,17.03
2016-04-29,16.89,16.91,16.51,16.66,7088882.0,16.66
2016-05-02,16.66,16.75,16.28,16.4,8461206.0,16.4
2016-05-03,16.23,16.25,15.78,15.93,11065710.0,15.93
2016-05-04,15.8,16.0,15.68,15.93,6637775.0,15.93
2016-05-05,15.95,15.97,15.64,15.72,3495631.0,15.72
2016-05-06,15.63,15.86,15.56,15.78,4983593.0,15.78
2016-05-09,15.71,15.96,15.67,15.86,4943325.0,15.86
2016-05-10,15.89,15.9,15.61,15.89,4757844.0,15.89
2016-05-11,15.89,16.35,15.88,16.02,6470157.0,16.02
2016-05-12,16.09,16.14,15.85,15.9,5418380.0,15.9
2016-05-13,15.9,16.11,15.69,15.77,6788816.0,15.77
