date,open,high,low,close,volume
2018-01-22,49.86,49.86,49.86,49.86,1
2018-01-24,49.86,49.86,49.86,49.86,0
2018-01-25,49.86,49.86,49.86,49.86,0
2018-01-26,49.86,49.86,49.86,49.86,1
2018-01-29,49.86,49.86,49.86,49.86,2
2018-01-30,49.86,49.86,49.86,49.86,50
2018-01-31,49.86,49.86,49.86,49.86,0
2018-02-01,49.34,49.34,49.34,49.34,1500
2018-02-02,48.89,48.89,48.89,48.89,200
2018-02-05,48.7,48.72,48.62,48.66,6900
2018-02-06,49.16,49.98,49.16,49.88,1600
2018-02-07,49.88,49.88,49.88,49.88,0
2018-02-08,49.88,49.88,49.88,49.88,0
2018-02-09,49.86,49.86,49.84,49.85,2100
2018-02-12,49.3,49.3,49.3,49.3,200
2018-02-13,49.3,49.3,49.3,49.3,0
2018-02-14,49.99,49.99,49.96,49.96,4000
2018-02-15,49.86,49.86,49.6,49.6,700
2018-02-16,48.73,48.83,48.07,48.07,7000
2018-02-20,48.07,48.07,48.07,48.07,700
2018-02-21,47.86,47.86,47.51,47.51,3800
2018-02-22,47.75,48.25,47.75,48.25,500
2018-02-23,48.38,48.43,48.05,48.43,600
2018-02-26,49.0,49.0,48.72,48.88,3700
2018-02-27,48.49,48.52,48.18,48.52,4200
2018-02-28,48.58,48.58,48.58,48.58,100
2018-03-01,49.21,49.46,49.18,49.46,5000
2018-03-02,49.02,49.02,48.8,48.85,8800
2018-03-05,48.35,48.54,48.21,48.53,2400
2018-03-06,48.4,48.4,48.24,48.27,1900
2018-03-07,48.27,48.27,48.27,48.27,0
2018-03-08,48.23,48.42,48.0,48.42,3400
2018-03-09,48.49,48.49,48.01,48.32,11000
2018-03-12,47.75,47.92,47.73,47.91,2700
2018-03-13,48.44,48.8,48.39,48.6,9800
2018-03-14,48.65,48.65,48.55,48.64,600
2018-03-15,47.77,47.88,47.26,47.79,18300
2018-03-16,47.21,47.4,47.0,47.4,11000
2018-03-19,47.38,47.86,47.38,47.85,1900
2018-03-20,47.82,47.82,47.61,47.61,3000
2018-03-21,48.0,48.08,47.74,47.74,4200
2018-03-22,47.43,47.82,47.38,47.65,4300
2018-03-23,47.28,47.28,46.76,46.8,3300
2018-03-26,47.1,47.51,47.1,47.51,2100
2018-03-27,47.66,47.86,47.58,47.82,15800
2018-03-28,47.34,47.35,47.02,47.17,10700
2018-03-29,47.38,47.5,47.18,47.42,6400
2018-04-02,47.2,47.2,46.61,46.74,5600
2018-04-03,46.66,46.8,46.55,46.78,5900
2018-04-04,46.93,46.95,46.73,46.92,7100
2018-04-05,47.3,47.3,46.93,47.2,32900
2018-04-06,47.72,47.72,46.93,47.03,11300
2018-04-09,47.6,47.66,47.43,47.58,27600
2018-04-10,47.12,47.5,46.97,47.2,21300
2018-04-11,46.94,47.75,46.94,47.64,24100
2018-04-12,47.23,47.44,47.08,47.44,26100
2018-04-13,47.26,47.26,46.98,47.17,12600
2018-04-16,47.07,47.07,45.78,45.85,42400
2018-04-17,45.8,45.81,45.39,45.63,17700
2018-04-18,45.77,46.3,45.72,46.16,33700
2018-04-19,46.16,46.16,45.63,45.97,10200
2018-04-20,46.1,46.36,46.09,46.16,15900
2018-04-23,46.79,46.95,46.49,46.6,12200
2018-04-24,47.23,47.55,47.03,47.34,24400
2018-04-25,46.71,46.96,46.31,46.86,24900
2018-04-26,47.28,47.28,46.96,47.05,7400
2018-04-27,47.4,48.21,47.33,48.13,35900
2018-04-30,48.1,48.49,48.08,48.3,24500
2018-05-01,48.42,49.34,48.37,49.14,27100
2018-05-02,49.42,49.6,48.53,48.65,20700
2018-05-03,49.21,49.36,48.89,48.93,18900
2018-05-04,48.75,48.78,48.24,48.31,8600
2018-05-07,47.78,47.78,47.31,47.64,30200
2018-05-08,47.86,47.9,47.1,47.2,18700
2018-05-09,47.05,47.05,46.8,46.91,11600
2018-05-10,47.0,47.23,47.0,47.23,5200
2018-05-11,47.08,47.15,46.86,47.12,7700
2018-05-14,46.6,46.61,46.27,46.51,22200
2018-05-15,46.13,46.29,45.87,46.2,24600
2018-05-16,46.17,46.3,46.13,46.3,16100
2018-05-17,46.84,46.91,46.47,46.53,25300
2018-05-18,46.84,46.91,46.47,46.53,100
2018-05-21,47.17,47.54,47.0,47.22,20500
2018-05-22,47.34,47.83,47.18,47.56,12600
2018-05-23,47.0,47.23,46.85,47.22,19400
2018-05-24,47.54,47.68,47.43,47.6,9000
2018-05-25,47.41,47.56,47.27,47.5,11600
2018-05-29,47.33,47.47,47.27,47.39,10100
2018-05-30,48.08,48.19,47.3,47.42,12700
2018-05-31,48.1,48.93,48.04,48.67,19200
2018-06-01,48.93,49.03,48.27,48.27,20400
2018-06-04,47.91,48.01,47.73,47.81,16100
2018-06-05,47.55,47.55,47.02,47.1,71400
2018-06-06,47.14,47.22,46.64,46.74,18600
2018-06-07,46.46,46.58,45.67,45.99,47800
2018-06-08,46.3,46.33,45.94,46.29,30200
2018-06-11,46.05,46.47,45.98,46.27,16900
2018-06-12,46.27,46.49,46.11,46.33,11400
2018-06-13,45.99,46.18,45.9,45.95,16500
2018-06-14,45.64,45.86,45.62,45.63,40200
2018-06-15,45.49,45.63,45.28,45.46,53300
2018-06-18,45.5,45.52,45.11,45.11,17400
2018-06-19,44.66,45.12,44.56,45.05,46400
2018-06-20,45.15,45.25,45.0,45.12,22800
2018-06-21,45.26,45.29,44.87,44.95,14000
2018-06-22,45.08,45.45,45.08,45.41,11800
2018-06-25,45.39,45.51,45.22,45.44,38200
2018-06-26,45.86,46.24,45.54,45.6,35400
2018-06-27,45.51,45.61,45.42,45.56,10800
2018-06-28,45.4,45.4,44.74,44.92,36600
2018-06-29,44.72,44.83,44.4,44.45,46400
2018-07-02,43.86,43.86,43.27,43.3,58800
2018-07-03,43.53,43.73,43.39,43.39,28700
2018-07-05,43.11,43.26,42.14,42.35,83600
2018-07-06,42.61,44.29,42.49,44.17,60400
2018-07-09,44.21,44.66,44.05,44.41,33800
2018-07-10,44.4,44.85,44.13,44.47,19200
2018-07-11,44.24,44.24,43.29,43.5,18400
2018-07-12,43.52,43.54,43.22,43.23,16300
2018-07-13,43.0,43.0,42.32,42.72,47800
2018-07-16,43.01,43.08,42.63,42.85,9600
2018-07-17,42.34,42.65,42.26,42.39,20500
2018-07-18,41.91,42.09,41.74,41.91,69500
2018-07-19,41.74,42.42,41.62,42.2,39400
2018-07-20,42.73,43.05,42.61,42.98,24500
2018-07-23,43.34,43.62,43.08,43.35,19700
2018-07-24,43.39,43.45,42.82,43.01,20400
2018-07-25,43.35,43.35,42.75,43.03,9000
2018-07-26,43.03,43.08,42.34,42.44,47300
2018-07-27,42.65,42.98,42.61,42.78,13400
2018-07-30,43.6,44.01,43.2,43.2,33800
2018-07-31,43.0,43.0,42.62,42.64,28200
2018-08-01,42.8,42.8,41.83,42.01,46000
2018-08-02,41.38,41.6,41.2,41.49,69600
2018-08-03,41.55,42.19,41.5,41.76,64500
2018-08-06,42.0,42.71,41.95,42.28,92800
2018-08-07,42.68,42.79,42.3,42.32,22600
2018-08-08,42.04,42.05,41.45,41.91,43000
2018-08-09,41.62,42.05,41.58,41.77,46700
2018-08-10,41.44,41.66,41.4,41.55,18300
2018-08-13,40.75,41.43,40.69,41.19,79200
2018-08-14,41.41,41.6,41.0,41.05,28900
2018-08-15,40.78,40.85,39.87,39.95,90900
2018-08-16,40.23,40.44,39.64,39.92,61700
