date,open,high,low,close,volume,adj_close
2001-01-02,95.63,100.0,92.5,95.0,66500.0,95.0
2001-01-03,95.0,112.5,93.13,109.38,97900.0,109.38
2001-01-04,109.06,113.75,104.38,105.63,60500.0,105.63
2001-01-05,106.25,106.25,95.0,95.63,55600.0,95.63
2001-01-08,99.53,103.75,90.63,95.0,58400.0,95.0
2001-01-09,95.31,102.5,95.31,98.75,39800.0,98.75
2001-01-10,98.75,117.5,96.88,116.25,104800.0,116.25
2001-01-11,113.75,142.5,111.25,140.63,158400.0,140.63
2001-01-12,140.0,151.25,129.38,150.0,182700.0,150.0
2001-01-16,148.75,148.75,137.5,138.13,54200.0,138.13
2001-01-17,145.63,154.38,137.5,148.75,72700.0,148.75
2001-01-18,146.25,150.0,143.75,146.88,27100.0,146.88
2001-01-19,151.88,154.38,142.5,145.63,96300.0,145.63
2001-01-22,146.25,161.88,140.0,158.13,89300.0,158.13
2001-01-23,156.88,160.63,148.75,160.0,37000.0,160.0
2001-01-24,161.88,167.5,155.63,158.13,66100.0,158.13
2001-01-25,159.38,159.38,150.0,152.5,32700.0,152.5
2001-01-26,148.75,156.25,135.63,155.0,53900.0,155.0
2001-01-29,155.31,160.0,148.13,153.75,29700.0,153.75
2001-01-30,153.75,170.0,150.0,168.13,53400.0,168.13
2001-01-31,170.0,180.0,165.63,168.13,80400.0,168.13
2001-02-01,165.0,179.38,163.75,170.63,35400.0,170.63
2001-02-02,171.88,172.5,154.38,158.75,39100.0,158.75
2001-02-05,166.25,179.38,160.0,161.25,61100.0,161.25
2001-02-06,166.25,172.5,162.5,169.38,48700.0,169.38
2001-02-07,144.38,145.63,130.0,133.75,116000.0,133.75
2001-02-08,135.0,135.63,115.0,118.13,83900.0,118.13
2001-02-09,112.5,115.0,100.63,102.5,131200.0,102.5
2001-02-12,101.88,107.5,101.88,103.75,49100.0,103.75
2001-02-13,106.88,114.38,105.0,106.88,46300.0,106.88
2001-02-14,106.25,108.75,101.88,105.16,29400.0,105.16
2001-02-15,112.5,114.38,110.0,110.63,35300.0,110.63
2001-02-16,106.25,107.5,101.25,102.5,37600.0,102.5
2001-02-20,107.5,107.5,100.0,101.25,30200.0,101.25
2001-02-21,101.25,102.5,94.38,95.0,39600.0,95.0
2001-02-22,95.0,95.0,88.13,90.63,41900.0,90.63
2001-02-23,90.0,95.63,85.63,95.0,46600.0,95.0
2001-02-26,94.06,105.63,93.75,104.38,52400.0,104.38
2001-02-27,103.13,103.13,91.25,93.75,30500.0,93.75
2001-02-28,93.13,95.94,86.25,89.69,33000.0,89.69
2001-03-01,89.38,90.0,85.0,88.13,24900.0,88.13
2001-03-02,88.44,88.75,82.81,86.88,38100.0,86.88
2001-03-05,86.56,92.5,85.94,91.25,76400.0,91.25
2001-03-06,92.81,98.75,87.81,90.31,40300.0,90.31
2001-03-07,92.5,97.5,86.56,90.0,39200.0,90.0
2001-03-08,90.31,91.25,77.5,80.31,76900.0,80.31
2001-03-09,78.75,80.0,69.38,69.38,54800.0,69.38
2001-03-12,69.06,69.38,56.25,57.34,83500.0,57.34
2001-03-13,60.0,62.5,56.25,59.69,85200.0,59.69
2001-03-14,57.19,58.75,52.5,52.5,87400.0,52.5
2001-03-15,56.88,58.75,52.5,55.63,54900.0,55.63
2001-03-16,54.69,55.31,45.0,46.88,62100.0,46.88
2001-03-19,49.06,50.0,41.25,47.5,66900.0,47.5
2001-03-20,49.38,50.0,41.88,42.5,57900.0,42.5
2001-03-21,46.25,46.56,37.5,37.97,43200.0,37.97
2001-03-22,37.5,41.88,36.88,37.81,126200.0,37.81
2001-03-23,41.25,42.5,37.5,37.81,62600.0,37.81
2001-03-26,40.63,41.88,37.81,39.69,71600.0,39.69
2001-03-27,40.78,40.94,33.75,38.13,73300.0,38.13
2001-03-28,35.0,36.25,32.5,33.75,111600.0,33.75
2001-03-29,32.81,37.5,30.31,33.13,42400.0,33.13
2001-03-30,30.63,35.0,26.56,28.75,55800.0,28.75
2001-04-02,29.84,30.63,24.38,25.63,56100.0,25.63
2001-04-03,23.28,30.63,17.5,29.69,184200.0,29.69
2001-04-04,28.44,30.0,22.5,28.75,77000.0,28.75
2001-04-05,29.38,31.25,25.0,26.88,57500.0,26.88
2001-04-06,27.5,28.75,25.16,26.25,50900.0,26.25
2001-04-09,29.0,29.49,22.5,24.61,33900.0,24.61
2001-04-10,26.19,26.99,25.0,25.0,34300.0,25.0
2001-04-11,26.99,28.5,24.49,25.51,38400.0,25.51
2001-04-12,26.19,26.41,23.81,24.8,60600.0,24.8
2001-04-16,25.0,25.8,24.0,25.0,30400.0,25.0
2001-04-17,25.0,26.0,24.0,24.8,40500.0,24.8
2001-04-18,25.51,31.8,25.1,29.71,88100.0,29.71
2001-04-19,34.6,71.7,33.9,52.4,1004000.0,52.4
2001-04-20,58.91,70.0,52.5,56.41,603000.0,56.41
2001-04-23,53.91,54.0,39.49,46.6,216600.0,46.6
2001-04-24,47.5,49.9,41.6,43.11,108400.0,43.11
2001-04-25,42.75,43.91,38.11,41.0,73400.0,41.0
2001-04-26,42.5,45.7,40.0,41.31,62900.0,41.31
2001-04-27,43.91,44.49,40.0,41.7,58300.0,41.7
2001-04-30,44.0,47.11,43.01,45.39,68800.0,45.39
2001-05-01,58.91,60.0,53.01,56.0,335300.0,56.0
2001-05-02,59.61,60.51,54.0,54.8,179500.0,54.8
2001-05-03,53.69,54.9,49.8,54.49,84200.0,54.49
2001-05-04,51.99,53.3,50.1,52.5,55100.0,52.5
2001-05-07,53.3,55.2,52.5,53.01,52100.0,53.01
2001-05-08,54.45,54.8,51.7,52.21,35900.0,52.21
2001-05-09,51.0,51.09,48.3,49.49,43400.0,49.49
2001-05-10,50.1,52.7,49.0,49.0,41300.0,49.0
2001-05-11,49.61,50.39,47.3,47.6,26000.0,47.6
2001-05-14,45.86,46.0,40.0,41.19,74500.0,41.19
2001-05-15,42.3,42.5,39.0,40.0,52400.0,40.0
2001-05-16,39.9,42.5,39.0,40.8,38500.0,40.8
2001-05-17,44.0,45.9,42.11,43.01,71300.0,43.01
2001-05-18,43.59,45.51,41.6,41.89,44200.0,41.89
2001-05-21,41.54,42.79,40.0,41.31,49500.0,41.31
2001-05-22,41.99,42.5,40.51,41.0,48300.0,41.0
2001-05-23,41.09,41.41,40.0,40.39,41600.0,40.39
2001-05-24,40.51,41.6,40.1,41.31,33000.0,41.31
2001-05-25,41.31,41.7,40.0,40.1,33900.0,40.1
