time,open,high,low,close,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,EMA,EMA,Volume,Histogram,MACD,Signal line
2015-01-02T22:30:00+08:00,81.72,81.78,81.11,81.23,,,,,,,,,30581,,,
2015-01-02T23:30:00+08:00,81.23,81.31,80.63,80.86,,,,,,,,,38135,,,
2015-01-03T00:30:00+08:00,80.86,81.02,80.73,80.9,,,,,,,,,21752,,,
2015-01-03T01:30:00+08:00,80.92,81.04,80.81,80.82,,,,,,,,,15800,,,
2015-01-03T02:30:00+08:00,80.84,80.97,80.66,80.87,,,,,,,,,18800,,,
2015-01-03T03:30:00+08:00,80.84,80.96,80.67,80.87,,,,,,,,,23800,,,
2015-01-03T04:30:00+08:00,80.9,81.3,80.9,81.03,,,,,,,,,54854,,,
2015-01-05T22:30:00+08:00,80.9,81.08,80.65,80.98,,,,,,,,,103906,,,
2015-01-05T23:30:00+08:00,80.94,80.94,80.1,80.12,,,,,,,,,72375,,,
2015-01-06T00:30:00+08:00,80.09,80.56,80.06,80.19,,,,,,,,80.787,77631,,,
2015-01-06T01:30:00+08:00,80.17,80.2,79.87,80.11,,,,,,,,80.66390909,55522,,,
2015-01-06T02:30:00+08:00,80.11,80.54,80.11,80.36,,,,,,,,80.60865289,55277,,,
2015-01-06T03:30:00+08:00,80.33,80.54,80.27,80.34,,,,,,,,80.55980691,44237,,,
2015-01-06T04:30:00+08:00,80.32,80.62,80.29,80.42,,,,,,,,80.53438747,55510,,,
2015-01-06T22:30:00+08:00,81.13,81.92,81,81.74,57.43440233,,,,,,,80.75358975,99365,,,
2015-01-06T23:30:00+08:00,81.75,82.03,81.55,81.73,57.25463894,,,,,,,80.93111889,115456,,,
2015-01-07T00:30:00+08:00,81.69,81.72,81.35,81.62,55.20769422,,,,,,,81.05637,81701,,,
2015-01-07T01:30:00+08:00,81.58,81.93,81.38,81.5,52.98233673,,,,,,,81.13703,76228,,,
2015-01-07T02:30:00+08:00,81.5,81.7,81.5,81.67,55.70626012,,,,,,,81.23393364,59259,,,
2015-01-07T03:30:00+08:00,81.65,81.92,81.56,81.8,57.72329803,,,,,,80.958,81.33685479,97798,,,
2015-01-07T04:30:00+08:00,81.79,81.79,81.03,81.05,44.99344129,,,,,,80.9667619,81.28469938,86408,,,
2015-01-07T22:30:00+08:00,82.05,82.05,81.02,81.28,48.72771629,,,,,,80.9965941,81.28384494,89868,,,
2015-01-07T23:30:00+08:00,81.3,81.46,81.16,81.22,47.81576627,,,,,,81.01787086,81.27223677,60073,,,
2015-01-08T00:30:00+08:00,81.21,81.8,81.13,81.8,56.32498144,,,,,,81.09235935,81.36819372,57898,,,
