datetime,open,high,low,close,volume
2026-03-10 00:00,2.6747,2.7095,2.6651,2.6894,452
2026-03-10 01:00,2.6899,2.7082,2.6781,2.6972,222
2026-03-10 02:00,2.6963,2.6963,2.6534,2.6825,284
2026-03-10 03:00,2.6811,2.7077,2.6662,2.7051,251
2026-03-10 04:00,2.7023,2.709,2.6159,2.6215,614
2026-03-10 05:00,2.6197,2.6765,2.6147,2.6729,717
2026-03-10 06:00,2.6753,2.6766,2.6034,2.6335,761
2026-03-10 07:00,2.6346,2.7024,2.6313,2.6785,801
2026-03-10 08:00,2.678,2.6906,2.6356,2.6807,1321
2026-03-10 09:00,2.6779,2.718,2.6668,2.6767,1441
2026-03-10 10:00,2.678,2.678,2.6298,2.638,4602
2026-03-10 11:00,2.6378,2.6559,2.5729,2.5911,3478
2026-03-10 12:00,2.59,2.6171,2.573,2.606,2393
2026-03-10 13:00,2.607,2.634,2.568,2.5722,1769
2026-03-10 14:00,2.5731,2.5781,2.4748,2.5441,2966
2026-03-10 15:00,2.5438,2.6868,2.5343,2.6295,3087
2026-03-10 16:00,2.6288,2.6827,2.6287,2.6698,497
2026-03-10 17:00,2.6589,2.6836,2.6536,2.6567,275
2026-03-10 19:00,2.6778,2.7166,2.6752,2.7135,109
2026-03-10 20:00,2.7124,2.7124,2.6589,2.6769,70
2026-03-10 21:00,2.6688,2.6732,2.5994,2.6225,261
2026-03-10 22:00,2.623,2.6558,2.6131,2.6276,258
2026-03-10 23:00,2.627,2.6646,2.6248,2.6441,186
2026-03-11 00:00,2.6455,2.6477,2.6094,2.6114,142
2026-03-11 01:00,2.6175,2.6282,2.6058,2.6177,101
2026-03-11 02:00,2.6157,2.64,2.6135,2.6323,121
2026-03-11 03:00,2.6398,2.6471,2.62,2.6238,134
2026-03-11 04:00,2.6219,2.668,2.6186,2.6617,578
2026-03-11 05:00,2.66,2.6803,2.6442,2.6657,760
2026-03-11 06:00,2.6665,2.7091,2.6627,2.7022,655
2026-03-11 07:00,2.7003,2.7018,2.6491,2.6597,624
2026-03-11 08:00,2.6607,2.7155,2.6555,2.7072,859
2026-03-11 09:00,2.7066,2.7542,2.7,2.7327,2209
2026-03-11 10:00,2.733,2.7335,2.6622,2.6697,3103
2026-03-11 11:00,2.671,2.7186,2.642,2.7139,3251
2026-03-11 12:00,2.7136,2.745,2.7135,2.7447,2347
2026-03-11 13:00,2.745,2.7601,2.7303,2.7372,1719
2026-03-11 14:00,2.7366,2.763,2.7226,2.7526,1393
2026-03-11 15:00,2.7522,2.77,2.7484,2.7606,2820
2026-03-11 16:00,2.7614,2.7707,2.7539,2.7699,565
2026-03-11 17:00,2.769,2.7846,2.769,2.7796,382
2026-03-11 19:00,2.787,2.8615,2.77,2.8386,286
2026-03-11 20:00,2.8505,2.906,2.8467,2.8583,202
2026-03-11 21:00,2.8583,2.8957,2.8451,2.8713,348
2026-03-11 22:00,2.8735,2.8805,2.8387,2.8627,380
2026-03-11 23:00,2.8669,2.9146,2.8635,2.8885,407
2026-03-12 00:00,2.8914,2.9116,2.8874,2.8946,194
2026-03-12 01:00,2.8932,2.903,2.8864,2.8922,114
2026-03-12 02:00,2.8908,2.8925,2.8433,2.8658,513
2026-03-12 03:00,2.8671,2.8758,2.8356,2.8522,490
2026-03-12 04:00,2.8516,2.8516,2.8046,2.8184,579
2026-03-12 05:00,2.8206,2.869,2.8137,2.8632,855
2026-03-12 06:00,2.8559,2.8766,2.8378,2.8414,708
2026-03-12 07:00,2.8389,2.8464,2.8255,2.8319,620
2026-03-12 08:00,2.8304,2.8613,2.8274,2.8547,621
2026-03-12 09:00,2.8539,2.8694,2.8464,2.8588,923
2026-03-12 10:00,2.8566,2.8984,2.842,2.8837,3376
2026-03-12 11:00,2.8838,2.9064,2.8477,2.8814,3943
2026-03-12 12:00,2.8821,2.9056,2.8444,2.8519,2887
2026-03-12 13:00,2.8523,2.8722,2.8319,2.8678,1789
2026-03-12 14:00,2.868,2.897,2.8641,2.8797,1592
2026-03-12 15:00,2.8794,2.9432,2.8686,2.9415,4135
2026-03-12 16:00,2.9428,2.9464,2.9177,2.9347,501
2026-03-12 17:00,2.9346,2.9372,2.9173,2.9338,172
2026-03-12 19:00,2.9376,2.9523,2.9077,2.91,90
2026-03-12 20:00,2.9145,2.9419,2.9145,2.9299,41
2026-03-12 21:00,2.9293,2.9293,2.9083,2.9142,97
2026-03-12 22:00,2.9154,2.9228,2.8878,2.9105,172
2026-03-12 23:00,2.9076,2.9297,2.903,2.9259,144
2026-03-13 00:00,2.9286,2.9316,2.901,2.903,104
2026-03-13 01:00,2.9026,2.9072,2.8943,2.8943,89
2026-03-13 02:00,2.8954,2.9022,2.8835,2.8857,130
2026-03-13 03:00,2.8897,2.9177,2.8758,2.9136,285
2026-03-13 04:00,2.9162,2.9461,2.9135,2.9378,483
2026-03-13 05:00,2.9361,2.9486,2.9046,2.9138,760
2026-03-13 06:00,2.911,2.9362,2.8975,2.935,564
2026-03-13 07:00,2.9329,2.9355,2.883,2.8941,539
2026-03-13 08:00,2.8901,2.9164,2.8788,2.8858,699
2026-03-13 09:00,2.8878,2.9029,2.8577,2.8881,1453
2026-03-13 10:00,2.8873,2.9086,2.8704,2.9071,2940
2026-03-13 11:00,2.9062,2.9409,2.9049,2.9388,2483
2026-03-13 12:00,2.9376,2.9592,2.9323,2.9476,2213
2026-03-13 13:00,2.9472,2.9617,2.9371,2.94,1757
2026-03-13 14:00,2.9399,2.975,2.927,2.9684,2302
2026-03-13 15:00,2.9683,3.0004,2.9638,2.9727,3998
2026-03-13 16:00,2.9721,2.996,2.9669,2.9943,446
2026-03-13 17:00,2.9933,3.0154,2.9899,3.0139,532
2026-03-15 19:00,3.0251,3.0433,3.0115,3.0153,369
2026-03-15 20:00,3.0141,3.0321,2.997,2.9995,226
2026-03-15 21:00,3.0012,3.0014,2.9822,2.9884,205
2026-03-15 22:00,2.9875,3.018,2.9769,3.0134,143
2026-03-15 23:00,3.0116,3.0271,3.0038,3.0224,146
2026-03-16 00:00,3.0229,3.028,3.013,3.0257,58
2026-03-16 01:00,3.03,3.0321,3.0254,3.0297,38
2026-03-16 02:00,3.0301,3.035,3.0099,3.01,135
2026-03-16 03:00,3.0097,3.0391,3.0046,3.0227,127
2026-03-16 04:00,3.022,3.0657,3.0177,3.0519,448
2026-03-16 05:00,3.0526,3.0639,3.0425,3.0458,491
2026-03-16 06:00,3.0476,3.0581,3.0254,3.0317,358
2026-03-16 07:00,3.0301,3.0324,2.9818,2.9831,469
2026-03-16 08:00,2.9829,3.0084,2.9811,2.9973,614
2026-03-16 09:00,2.9982,3.0063,2.9617,2.9741,1323
2026-03-16 10:00,2.9739,2.9841,2.934,2.9422,2459
2026-03-16 11:00,2.9415,2.9929,2.9331,2.9858,2401
2026-03-16 12:00,2.9864,3.0001,2.9744,2.9886,2092
2026-03-16 13:00,2.9882,3.011,2.9743,2.995,1757
2026-03-16 14:00,2.9961,2.9961,2.9522,2.9579,1906
2026-03-16 15:00,2.9585,2.9667,2.9426,2.9597,3044
2026-03-16 16:00,2.9594,2.9799,2.9522,2.961,682
2026-03-16 17:00,2.9608,2.974,2.9495,2.9704,294
2026-03-16 19:00,2.9653,2.985,2.9653,2.9802,92
2026-03-16 20:00,2.981,2.992,2.9719,2.9777,46
2026-03-16 21:00,2.985,3.0204,2.9849,3.0099,244
2026-03-16 22:00,3.0134,3.023,3.0023,3.0219,284
2026-03-16 23:00,3.0231,3.0286,3.0165,3.0259,185
2026-03-17 00:00,3.0231,3.0294,3.0191,3.0248,113
2026-03-17 01:00,3.0281,3.0324,3.0201,3.0288,106
2026-03-17 02:00,3.0298,3.0629,3.0185,3.058,312
2026-03-17 03:00,3.0589,3.0704,3.0361,3.0441,371
2026-03-17 04:00,3.0454,3.0534,3.0252,3.0346,646
2026-03-17 05:00,3.0349,3.0583,3.032,3.046,925
2026-03-17 06:00,3.0445,3.045,3.0184,3.0242,468
2026-03-17 07:00,3.0253,3.0483,3.0253,3.0415,421
2026-03-17 08:00,3.042,3.0741,3.0416,3.0733,992
2026-03-17 09:00,3.0735,3.0771,3.0322,3.0377,1530
2026-03-17 10:00,3.0377,3.0493,3.0079,3.049,3032
2026-03-17 11:00,3.0493,3.0574,3.0214,3.0281,2073
2026-03-17 12:00,3.0289,3.0761,3.0231,3.071,2134
2026-03-17 13:00,3.0717,3.0755,3.0438,3.0627,2031
2026-03-17 14:00,3.063,3.0858,3.061,3.0827,1900
2026-03-17 15:00,3.082,3.0842,3.0693,3.0818,2778
2026-03-17 16:00,3.0821,3.0899,3.0746,3.0849,700
2026-03-17 17:00,3.0847,3.0985,3.0821,3.0953,244
2026-03-17 19:00,3.0938,3.0973,3.08,3.0922,58
2026-03-17 20:00,3.0887,3.0905,3.0861,3.0861,53
2026-03-17 21:00,3.0893,3.0949,3.0649,3.069,420
2026-03-17 22:00,3.067,3.0749,3.0573,3.0723,229
2026-03-17 23:00,3.0701,3.076,3.0516,3.0647,171
2026-03-18 00:00,3.0648,3.0653,3.0376,3.0408,286
2026-03-18 01:00,3.0419,3.0464,3.036,3.043,155
2026-03-18 02:00,3.042,3.05,3.0295,3.0344,201
2026-03-18 03:00,3.0418,3.0486,3.0215,3.0481,221
2026-03-18 04:00,3.0477,3.0657,3.0452,3.0622,311
2026-03-18 05:00,3.0643,3.0838,3.0608,3.0747,552
2026-03-18 06:00,3.0755,3.0887,3.0723,3.0876,387
2026-03-18 07:00,3.089,3.0981,3.0819,3.0908,299
2026-03-18 08:00,3.0904,3.1288,3.08,3.0934,1177
2026-03-18 09:00,3.093,3.1704,3.0901,3.1653,2840
