date,open,high,low,close,volume,open_interest,settle
2026-03-10,2.1334,2.1334,2.1334,2.1334,12,133,2.1334
2026-03-11,2.203,2.203,2.203,2.203,62,136,2.203
2026-03-12,2.2176,2.2191,2.216,2.216,106,135,2.2324
2026-03-13,2.2429,2.2429,2.2429,2.2429,0,146,2.2429
2026-03-16,2.2083,2.2083,2.2083,2.2083,18,146,2.2038
2026-03-17,2.2427,2.2427,2.2427,2.2427,18,151,2.2427
2026-03-18,2.2795,2.2795,2.2795,2.2795,51,147,2.2797
2026-03-19,2.2811,2.2811,2.2811,2.2811,16,161,2.2811
2026-03-20,2.3202,2.3202,2.3202,2.3202,22,167,2.3202
2026-03-23,2.2147,2.2147,2.2147,2.2147,35,166,2.2147
2026-03-24,2.3068,2.3068,2.3068,2.3068,35,172,2.3068
2026-03-25,2.2764,2.2764,2.2764,2.2764,1,165,2.2764
2026-03-26,2.3154,2.3188,2.3145,2.3188,37,164,2.3159
2026-03-27,2.3104,2.3104,2.3104,2.3104,16,153,2.3104
2026-03-30,2.3052,2.3052,2.3052,2.3052,28,153,2.3052
2026-03-31,2.2176,2.2176,2.2176,2.2176,34,148,2.2176
2026-04-01,2.2046,2.2046,2.2046,2.2046,42,154,2.2046
2026-04-02,2.2254,2.2254,2.2254,2.2254,37,146,2.2254
2026-04-06,2.2638,2.2638,2.2638,2.2638,9,144,2.2638
2026-04-07,2.2944,2.2944,2.2944,2.2944,22,145,2.2944
2026-04-08,2.2933,2.2933,2.2933,2.2933,4,150,2.2933
2026-04-09,2.3007,2.3007,2.3007,2.3007,0,151,2.3007
2026-04-10,2.3191,2.3191,2.3191,2.3191,16,151,2.3191
2026-04-13,2.3529,2.3529,2.3529,2.3529,7,150,2.3529
2026-04-14,2.3235,2.3235,2.3235,2.3235,28,147,2.3235
2026-04-15,2.3404,2.3404,2.3404,2.3404,12,150,2.3404
2026-04-16,2.3453,2.3453,2.3453,2.3453,36,153,2.3453
2026-04-17,2.2503,2.2503,2.2503,2.2503,104,164,2.2503
2026-04-20,2.2879,2.2879,2.2879,2.2879,2,208,2.2879
