date,open,high,low,close,volume,open_interest,settle
2026-03-10,2.6396,2.718,2.4748,2.6567,89008,91063,2.6093
2026-03-11,2.6778,2.7846,2.5994,2.7796,74768,99160,2.7555
2026-03-12,2.787,2.9464,2.77,2.9338,82653,98977,2.9216
2026-03-13,2.9376,3.0154,2.8577,3.0139,65955,100083,2.9916
2026-03-16,3.0251,3.0657,2.9331,2.9704,63469,105076,2.9536
2026-03-17,2.9653,3.0985,2.9653,3.0953,57463,109577,3.0815
2026-03-18,3.0938,3.2049,3.0076,3.1555,91418,113551,3.0715
2026-03-19,3.1672,3.249,3.0068,3.0846,87754,115774,3.0978
2026-03-20,3.0893,3.2809,3.0372,3.2593,63183,115430,3.2319
2026-03-23,3.2961,3.348,2.8539,2.9412,60675,115761,2.9274
2026-03-24,2.9332,3.1044,2.9301,2.9894,58155,110433,3.0946
2026-03-25,2.997,3.0117,2.8736,2.972,77820,107877,2.9602
2026-03-26,2.9749,3.1057,2.9677,3.0597,54616,107592,3.084
2026-03-27,3.0752,3.2296,3.0164,3.2253,51903,107097,3.191
2026-03-30,3.2375,3.3014,3.1978,3.2969,49641,105462,3.2598
2026-03-31,3.3109,3.3854,3.1671,3.1877,41447,100780,3.0556
2026-04-01,3.0452,3.1014,2.9299,2.9322,51026,62288,2.9568
2026-04-02,2.9355,3.1561,2.9058,3.125,51579,63996,3.1319
2026-04-06,3.1449,3.1807,3.063,3.1483,25464,63399,3.1591
2026-04-07,3.1564,3.2112,3.0727,3.092,47836,63615,3.167
2026-04-08,3.0655,3.0855,2.7968,2.9318,77888,63794,2.9205
2026-04-09,2.928,3.0205,2.8925,2.9442,65317,63977,2.9272
2026-04-10,2.9296,2.9855,2.9126,2.937,52332,64039,2.9552
2026-04-13,3.0146,3.1118,3.0036,3.0103,56578,65026,3.0429
2026-04-14,3.028,3.0446,2.9454,2.9716,55413,66118,2.9704
2026-04-15,2.9848,3.0316,2.9256,2.9991,60623,68808,3.0051
