date,open,high,low,close,volume,adj_close
1990-01-02,23.5,24.25,23.5,24.25,375800,2.8071043491363525
1990-01-03,24.25,24.25,23.125,23.375,207300,2.705817937850952
1990-01-04,23.375,23.375,22.5,22.875,150700,2.647939443588257
1990-01-05,22.625,23.25,22.625,23.25,127500,2.6913464069366455
1990-01-08,23.125,23.625,23.125,23.375,177300,2.705817937850952
1990-01-09,23.375,23.5,22.5,22.5,172200,2.6045286655426025
1990-01-10,22.5,22.75,22.125,22.25,224600,2.5755906105041504
1990-01-11,22.375,22.75,22.375,22.625,172700,2.6189982891082764
1990-01-12,22.375,22.375,22,22.125,160800,2.5611209869384766
1990-01-15,22.125,22.25,21.75,21.875,141100,2.532182455062866
1990-01-16,21.75,22.75,21.625,22.5,187300,2.6045286655426025
1990-01-17,22.375,22.625,22.375,22.5,213500,2.6045286655426025
1990-01-18,22.5,23.5,22.375,23.375,234500,2.705817937850952
1990-01-19,23.5,23.875,23.375,23.875,347900,2.7636945247650146
1990-01-22,23.75,23.875,22.875,22.875,253400,2.647939443588257
1990-01-23,23,23.625,22.625,23.125,233100,2.676877498626709
1990-01-24,22.5,23.25,22.375,23,199800,2.6624081134796143
1990-01-25,23,23.375,22.25,22.375,262400,2.590059995651245
1990-01-26,22.375,23,22,22,340600,2.54665207862854
1990-01-29,22,22.625,21.375,22.25,327200,2.5755906105041504
1990-01-30,22.125,22.5,22,22.375,278500,2.590059995651245
1990-01-31,22.5,23.375,22.5,23,259300,2.6624081134796143
1990-02-01,22.875,23,22.25,22.25,242000,2.5755906105041504
1990-02-02,22.25,22.375,22.125,22.25,97900,2.5755906105041504
1990-02-05,22.125,22.5,22,22.125,199500,2.5611209869384766
1990-02-06,22,22,21.5,21.75,133300,2.5177114009857178
1990-02-07,21.5,21.875,21.25,21.5,183400,2.488771677017212
1990-02-08,21.375,21.625,20.75,21,194400,2.430894613265991
1990-02-09,21,21.5,20.875,21.25,135600,2.459834098815918
1990-02-12,21.375,21.5,21.125,21.125,128500,2.4453632831573486
1990-02-13,21,21.875,20.875,21.5,141500,2.511960029602051
1990-02-14,21.625,22.5,21.25,21.625,288000,2.5265655517578125
1990-02-15,21.375,22,21.375,22,181200,2.5703773498535156
1990-02-16,21.875,22.375,21.625,21.625,268000,2.5265655517578125
1990-02-20,21.625,21.625,21,21.125,165400,2.4681460857391357
1990-02-21,21,21.25,21,21.25,304800,2.4827516078948975
1990-02-22,21.25,21.5,21,21,178500,2.453542709350586
1990-02-23,21,21.25,20.625,20.875,162000,2.438936710357666
1990-02-26,20.875,21.625,20.875,21.625,214500,2.5265655517578125
1990-02-27,21.625,21.875,21.375,21.375,414800,2.4973549842834473
1990-02-28,21.5,21.875,21.5,21.625,229600,2.5265655517578125
1990-03-01,21.875,22,21.125,21.25,244200,2.4827516078948975
1990-03-02,21.5,21.75,21.25,21.5,255700,2.511960029602051
1990-03-05,21.375,21.625,20.625,21,335500,2.453542709350586
1990-03-06,20.875,21.625,20.875,21.5,193100,2.511960029602051
1990-03-07,21.375,21.5,20.625,20.875,364000,2.438936710357666
1990-03-08,20.875,21.75,20.875,21.625,242600,2.5265655517578125
1990-03-09,21.625,22.125,21.5,21.75,408500,2.5411689281463623
1990-03-12,21.5,21.875,21.375,21.625,209600,2.5265655517578125
1990-03-13,21.75,22.125,21.25,21.5,347400,2.511960029602051
1990-03-14,21.5,22,21.375,21.75,244200,2.5411689281463623
1990-03-15,21.75,22,21.75,21.875,132700,2.555774450302124
1990-03-16,21.875,22.375,21.75,22.375,669300,2.6141915321350098
1990-03-19,22.25,22.25,21.875,22.25,240200,2.5995867252349854
1990-03-20,22,22.375,21.875,22,444600,2.5703773498535156
1990-03-21,22,22.125,21.875,21.875,254000,2.555774450302124
1990-03-22,22,22.25,21.75,22.25,359200,2.5995867252349854
1990-03-23,22.25,22.5,22.125,22.25,230900,2.5995867252349854
1990-03-26,22.25,22.75,22.25,22.375,203500,2.6141915321350098
1990-03-27,22.25,22.875,22.25,22.75,194800,2.6580047607421875
1990-03-28,23,23.125,22.375,22.5,396400,2.6287946701049805
1990-03-29,22.5,22.625,22,22.375,169900,2.6141915321350098
1990-03-30,22.125,22.5,22,22.25,206700,2.5995867252349854
1990-04-02,22.25,22.25,22,22.25,175700,2.5995867252349854
1990-04-03,22.375,22.5,22.25,22.5,286600,2.6287946701049805
1990-04-04,22.375,22.375,22.125,22.125,164000,2.584981918334961
1990-04-05,22.125,22.375,22.125,22.25,252000,2.5995867252349854
1990-04-06,22.375,22.375,22,22.25,247000,2.5995867252349854
1990-04-09,22.375,22.375,22,22.25,184200,2.5995867252349854
1990-04-10,22.25,22.75,22.125,22.5,405900,2.6287946701049805
1990-04-11,22.375,22.875,22.375,22.875,382700,2.672609806060791
1990-04-12,23,23.5,22.875,23.375,857600,2.7310261726379395
1990-04-16,23.125,23.875,23.125,23.625,511100,2.760235548019409
1990-04-17,23.625,24.125,23.5,24,681900,2.804048538208008
1990-04-18,24.125,24.25,23.875,24.125,751500,2.818652391433716
1990-04-19,24,24.25,24,24,643900,2.804048538208008
1990-04-20,23.75,24.125,23.75,24,847200,2.804048538208008
1990-04-23,24,24.25,24,24,506600,2.804048538208008
1990-04-24,24,24.125,23.75,23.75,309200,2.774838447570801
