rank,code,name,last_date,price,rsi14,rsi14_5d,rsi14_20d,rsi60_min,rsi60_max,hi52,lo52,off_hi52,ret20,ret60,bars
1,SPCX,SpaceX,20260908,153.47,62.3,56.4,55.4,32.6,62.3,201.8,108.27,-23.9,10.6,,60
2,INTC,Intel,20260908,104.47,61.7,41.6,46.5,31.5,67.3,140.94,24.08,-25.9,7.1,-10.7,260
3,NVDA,NVIDIA,20260908,225.73,56.1,54.6,58.1,37.6,64.4,235.47,164.98,-4.1,3.8,10.2,260
4,TSLA,Tesla,20260908,368.16,55.7,58.7,42.5,25.4,60.5,489.88,298.32,-24.8,11.3,-7.8,260
5,BE,Bloom Energy,20260908,277.22,69.3,44.6,45.7,33.1,69.3,345.85,53.44,-19.8,31.6,11.4,260
6,AAPL,Apple,20260908,316.22,50.3,54.2,44.3,32.2,71.7,339.79,225.96,-6.9,2.6,7.1,260
7,ORCL,Oracle,20260908,162.52,63.4,54.2,59.5,25.7,63.4,324.63,114.99,-49.9,7.6,-11.4,260
8,NBIS,NEBIUS,20260908,243.88,58.5,46.4,44.9,34.0,69.7,286.69,64.06,-14.9,32.5,9.7,260
9,AVGO,Broadcom,20260908,368.56,45.3,43.6,61.8,34.4,64.9,480.81,292.95,-23.3,-12.7,-4.3,260
10,CRWV,CoreWeave,20260908,99.83,61.4,45.6,53.3,28.6,65.0,143.08,60.82,-30.2,13.2,4.3,260
11,QCOM,Qualcomm,20260908,174.09,60.1,55.8,44.1,28.9,60.1,248.74,122.94,-30.0,7.9,-13.8,260
12,GOOG,Alphabet-C,20260908,335.38,44.2,42.4,52.1,32.3,62.5,398.54,233.55,-15.8,-5.7,-5.9,260
13,GLW,Corning,20260908,165.96,57.8,44.6,47.9,30.2,69.2,255.21,71.53,-35.0,5.4,-5.8,260
14,CRCL,Circle,20260908,96.18,60.6,67.2,50.6,30.7,72.1,150.48,50.23,-36.1,43.4,16.4,260
15,MRVL,Marvell Technology,20260908,225.41,51.8,45.6,48.8,31.9,67.7,316.35,65.86,-28.7,8.1,-19.7,260
16,MSFT,Microsoft,20260908,493.95,56.2,68.7,79.1,28.8,79.1,537.65,352.17,-8.1,-2.2,26.8,260
17,GOOGL,Alphabet-A,20260908,338.36,44.9,44.1,52.2,31.0,62.6,402.12,233.43,-15.9,-5.3,-5.4,260
18,RKLB,Rocket Lab,20260908,65.87,40.9,34.8,53.2,29.9,56.2,150.23,39.48,-56.2,-17.7,-42.6,260
19,AAOI,Applied Optoelectronics,20260908,111.55,47.4,43.4,55.6,31.5,62.5,223.1,19.49,-50.0,-16.0,-35.4,260
20,COHR,Coherent,20260908,301.88,51.7,43.4,52.0,28.3,63.6,426.89,98.67,-29.3,-7.2,-17.0,260
21,HOOD,Robinhood,20260908,117.34,60.8,54.6,47.3,36.0,71.2,152.46,65.16,-23.0,24.1,27.2,260
22,MSTR,Strategy,20260908,136.52,61.4,65.8,47.5,23.6,72.9,359.69,82.31,-62.0,40.3,13.6,260
23,PLTR,Palantir,20260908,170.3,51.3,69.3,73.9,27.4,73.9,207.18,107.27,-17.8,-2.8,29.9,260
24,AMZN,Amazon,20260908,256.97,48.1,50.1,65.9,33.3,72.2,284.02,198.79,-9.5,-7.6,6.4,260
25,NOW,ServiceNow,20260908,134.21,54.2,74.4,68.8,36.2,74.4,192.23,83,-30.2,5.3,30.2,260
26,NKE,Nike,20260908,38.1,40.1,41.3,47.5,35.6,55.6,72.19,38.04,-47.2,-8.6,-16.2,260
27,CRDO,Credo Technology,20260908,167.75,33.6,46.8,53.9,31.6,71.2,302.52,87.81,-44.5,-30.1,-36.6,260
28,LULU,Lululemon Athletica,20260908,103.19,35.2,51.1,64.4,27.1,66.3,215.88,100.61,-52.2,-19.3,-15.3,260
29,OKLO,Oklo Inc,20260908,43.31,51.7,44.6,48.7,28.7,55.4,174.14,36.84,-75.1,-2.7,-25.1,260
30,CBRS,Cerebras Systems,20260908,199.77,49.6,43.1,56.2,30.9,63.9,311.07,168.52,-35.8,-13.1,-11.8,80
39,NFLX,Netflix,20260908,76.77,45.4,60.3,58.9,19.1,67.3,126.33,67.6,-39.2,0.6,-5.5,260
40,ASTS,AST SpaceMobile,20260908,66.12,52.5,40.9,51.4,31.8,56.7,133.09,36.91,-50.3,-3.8,-32.2,260
41,WDC,Western Digital,20260908,477.3,50.5,43.8,39.1,38.3,78.0,745.99,93.12,-36.0,8.9,-9.8,260
42,CRM,Salesforce,20260908,249.12,67.6,81.1,65.2,30.0,81.9,264.88,150.12,-6.0,26.1,49.7,260
43,QBTS,D-Wave Quantum,20260908,17.67,46.0,41.4,51.3,31.3,57.4,44.78,12.98,-60.5,-12.5,-25.8,260
44,ALAB,Astera Labs,20260908,288.85,46.3,46.4,47.5,32.5,72.5,483.02,100.27,-40.2,-8.9,-21.4,260
45,NVS,Novartis AG,20260908,137.7,31.9,44.0,54.9,31.9,64.1,163.67,118.23,-15.9,-12.2,-10.5,260
46,ADBE,Adobe,20260908,257.26,44.2,69.3,69.0,27.7,69.3,367.46,193.41,-30.0,-5.8,17.6,260
47,VRT,Vertiv Holdings,20260908,290.83,59.2,43.0,45.2,26.9,63.5,376.15,121.69,-22.7,7.7,-2.3,260
48,APP,Applovin,20260908,312.01,38.6,36.1,31.1,26.6,62.3,733.6,298.59,-57.5,-8.0,-34.8,260
49,SNOW,Snowflake,20260908,335.5,56.6,63.0,81.7,45.7,81.7,356.47,121.11,-5.9,0.2,39.6,260
50,KO,Coca-Cola,20260908,88.36,51.7,53.4,59.1,47.0,73.2,91.99,64.35,-3.9,1.7,7.8,260
51,BMNR,Bitmine Immersion Technologies,20260908,24.77,60.8,71.0,55.8,30.2,79.8,63.2,13.31,-60.8,36.9,49.9,260
52,UBER,Uber Technologies,20260908,73.13,43.3,49.9,63.1,33.2,65.0,100.1,65.94,-26.9,-6.3,5.1,260
53,ISRG,Intuitive Surgical,20260908,350.16,35.1,48.3,56.9,29.0,59.7,592.85,332.02,-40.9,-11.0,-15.2,260
54,FIG,Figma Inc,20260908,22.75,40.0,55.2,56.1,34.3,69.1,71.08,16.84,-68.0,-10.4,17.6,260
55,HPE,Hewlett Packard Enterprise,20260908,56.03,57.8,49.2,66.6,42.3,73.8,59.82,19.72,-6.3,2.5,20.1,260
56,TEM,Tempus AI,20260908,64.29,57.0,55.9,61.0,31.6,75.1,103.25,41.55,-37.7,16.8,29.6,260
57,FCX,Freeport-McMoRan,20260908,76.62,60.5,61.3,64.9,35.3,73.0,79.91,34.96,-4.1,8.7,15.8,260
58,CRWD,CrowdStrike,20260908,210.02,51.7,63.0,71.3,38.8,74.6,231,87.56,-9.1,-6.7,21.5,260
59,AMGN,Amgen,20260908,393.17,37.4,62.3,74.3,37.4,79.8,444.12,263.86,-11.5,-5.2,11.7,260
60,IBM,IBM Corp,20260908,232.09,47.6,49.1,50.3,29.2,67.9,326.89,204.3,-29.0,-1.8,-15.0,260
