date,open,close,high,low,volume,amount
2023-07-28,10750,10755,10880,10560,82745,4436889600
2023-07-31,10790,10985,11105,10765,98875,5420856064
2023-08-01,10990,10970,11045,10855,28220,1546009472
2023-08-02,10980,11115,11125,10910,34104,1878118576
2023-08-03,11110,11320,11450,11105,125082,7078012416
2023-08-04,11390,11360,11440,11250,41173,2331439648
2023-08-07,11390,11385,11420,11255,40097,2270064576
2023-08-08,11510,11280,11510,11270,33336,1895387072
2023-08-09,11225,11365,11380,11175,21325,1205461056
2023-08-10,11365,11230,11375,11220,22536,1274882272
2023-08-11,11200,11335,11380,11200,24133,1364956480
2023-08-14,11335,11300,11370,11230,20017,1130740048
2023-08-15,11295,11320,11420,11285,21199,1201738176
2023-08-16,11300,11295,11350,11230,19124,1080376096
2023-08-17,11300,11315,11380,11250,19886,1125471872
2023-08-18,11330,11275,11445,11270,31607,1794037920
2023-08-21,11285,11420,11420,11275,27737,1575370048
2023-08-22,11430,11440,11560,11320,26211,1495183456
2023-08-23,11420,11530,11725,11405,52583,3033671376
2023-08-24,11550,11580,11670,11520,63012,3656962320
2023-08-25,11610,11875,11900,11545,58503,3423681408
2023-08-28,11900,11930,12200,11780,53682,3210665024
2023-08-29,11945,12070,12115,11825,35585,2135689248
2023-08-30,12030,12100,12145,11950,40845,2465737904
2023-08-31,12130,12145,12180,12020,33493,2025061952
2023-09-01,12250,13295,13295,12190,110900,7089007616
2023-09-04,13900,13680,14440,13590,436830,30829937920
2023-09-05,13745,14385,14575,13570,695790,49771975424
2023-09-06,14300,14180,14600,14020,546732,39097638912
2023-09-07,14200,14080,14285,13465,467673,32579824896
2023-09-08,14080,13550,14360,13515,508994,35259820544
2023-09-11,13625,13675,13855,13340,237916,16230900224
2023-09-12,13745,14140,14240,13730,287303,20168250880
2023-09-13,14140,13745,14170,13590,201718,13978310144
2023-09-14,13820,13920,13950,13580,161526,11111451904
2023-09-15,14000,13860,14065,13710,142188,9849565184
2023-09-18,13900,13855,13980,13665,110107,7609665024
2023-09-19,13895,13740,14030,13725,98674,6847848448
2023-09-20,13740,13605,13920,13565,87657,6022292992
2023-09-21,13500,13230,13565,13150,121727,8159405056
2023-09-22,13300,13515,13530,13280,63709,4268588544
2023-09-25,13530,13235,13595,13070,70314,4691193856
2023-09-26,13245,12860,13245,12785,83263,5400501504
2023-09-27,12840,12775,12890,12645,72612,4630701568
2023-09-28,12820,12765,13085,12755,76802,4950381056
2023-10-09,12550,12650,12745,12445,31325,1981411776
2023-10-10,12600,12425,12895,12390,98599,6251889664
2023-10-11,12515,12705,12760,12435,78976,4978239232
2023-10-12,12700,12910,12960,12650,127318,8178299392
2023-10-13,12965,13130,13215,12890,142880,9358895360
2023-10-16,13380,13080,13380,12955,95828,6292106240
2023-10-17,13100,12890,13220,12820,99415,6463856896
2023-10-18,12890,12590,12950,12530,111515,7100024576
2023-10-19,12650,12665,12730,12555,86695,5478979584
2023-10-20,12720,12750,13045,12645,164364,10579439616
2023-10-23,12800,12975,13000,12660,96722,6198903040
2023-10-24,12995,12780,13040,12710,88742,5697055744
2023-10-25,12820,12980,12990,12770,85964,5540078848
2023-10-26,13000,12925,13230,12830,165410,10799412736
2023-10-27,12900,13095,13115,12855,86728,5624436224
2023-10-30,13060,13025,13130,12860,77991,5064849152
2023-10-31,12960,12920,13080,12660,90618,5837838848
2023-11-01,12955,13045,13090,12840,60194,3900503968
2023-11-02,13100,12990,13165,12930,51197,3337688624
2023-11-03,13000,12980,13160,12970,48385,3161800272
2023-11-06,13010,12900,13045,12720,59579,3837212880
2023-11-07,12900,12495,12930,12410,71583,4538219776
2023-11-08,12420,12695,12750,12420,53442,3367552544
2023-11-09,12625,12585,12695,12510,40237,2533949008
2023-11-10,12600,12380,12700,12210,85859,5344838656
2023-11-13,12385,12365,12435,12265,43438,2680234272
2023-11-14,12345,12365,12470,12320,47306,2933180272
2023-11-15,12375,12495,12545,12325,36516,2265317728
2023-11-16,12455,12485,12505,12360,32259,2004331520
2023-11-17,12485,12330,12620,12310,59303,3688180352
2023-11-20,12410,12350,12445,12230,35089,2168554144
2023-11-21,12360,12245,12460,12150,46303,2844943408
2023-11-22,12245,12025,12350,11945,54316,3280476448
2023-11-23,12095,12185,12260,12010,42812,2601780832
2023-11-24,12180,12310,12335,12115,28198,1720855856
2023-11-27,12255,12470,12490,12255,34810,2155645232
2023-11-28,12500,12500,12630,12385,38983,2436501872
2023-11-29,12500,12220,12520,12160,25918,1599894256
2023-11-30,12260,12120,12290,11775,60380,3631940976
2023-12-01,12095,12000,12290,11930,29858,1806818576
2023-12-04,11925,11915,12025,11790,25309,1508241152
2023-12-05,11925,11630,11925,11530,29501,1730242624
2023-12-06,11685,11750,11805,11385,39358,2281098752
2023-12-07,11730,11740,11825,11620,20650,1212657520
2023-12-08,11740,11810,11895,11650,35098,2067548800
2023-12-11,11805,11760,11840,11665,16081,945203104
2023-12-12,11790,11730,11800,11565,17905,1047622928
2023-12-13,11710,11560,11735,11465,21708,1255684800
2023-12-14,11600,11635,11655,11490,13445,777978880
2023-12-15,11600,11610,11715,11575,12594,732816352
2023-12-18,11635,11720,11845,11525,21049,1232415504
2023-12-19,11725,11715,11775,11670,9700,568531024
2023-12-20,11710,11785,11855,11540,19583,1147426208
2023-12-21,11800,11905,12125,11790,39516,2368654304
2023-12-22,11930,11980,12085,11920,20618,1236200752
2023-12-25,12075,12565,12850,12025,77240,4827844864
2023-12-26,12575,12525,12935,12430,92841,5902511616
2023-12-27,12570,12655,12680,12355,34877,2182613504
2023-12-28,12655,12625,12770,12525,27758,1755225952
2023-12-29,12630,12590,12785,12550,29440,1867221456
2024-01-02,12800,12720,12880,12615,22526,1434625104
2024-01-03,12805,12545,12845,12510,24394,1549425424
2024-01-04,12590,12355,12595,12320,21780,1354682800
2024-01-05,12385,12400,12660,12260,32329,2015816000
2024-01-08,12400,12120,12425,12015,27376,1669367152
2024-01-09,12125,12025,12240,11950,20886,1263760304
2024-01-10,12040,12080,12120,11925,15904,956044224
2024-01-11,12155,12215,12255,12050,17860,1086187968
2024-01-12,12270,12355,12405,12240,24476,1507871904
2024-01-15,12390,12320,12440,12300,18988,1174773376
2024-01-16,12300,12360,12415,12200,18003,1108218448
2024-01-17,12370,12140,12395,12140,14873,913523168
2024-01-18,12140,12170,12270,12015,17504,1062291504
2024-01-19,12140,12175,12220,12030,13278,805154096
2024-01-22,12170,11960,12195,11885,19757,1190170272
2024-01-23,11955,11985,12025,11855,16563,988724208
2024-01-24,11995,12155,12160,11995,16142,975850080
2024-01-25,12160,12210,12250,12100,14325,872099456
2024-01-26,12215,12180,12275,12135,12264,748029328
2024-01-29,12190,12460,12620,12190,47514,2949160304
2024-01-30,12455,12420,12525,12360,16347,1015448304
2024-01-31,12500,12600,12640,12390,32053,2007643408
2024-02-01,12640,12585,12650,12520,13536,851097520
2024-02-02,12590,12390,12610,12280,22514,1397966256
2024-02-05,12380,12485,12585,12320,14955,934810880
2024-02-06,12500,12360,12545,12350,11542,719557968
2024-02-07,12370,12790,12790,12350,25154,1583721328
2024-02-08,12800,12635,12845,12545,17064,1080088304
2024-02-19,12880,12835,13000,12725,13230,851409648
2024-02-20,12825,12885,12960,12795,9296,598253872
2024-02-21,12880,12910,13035,12805,17225,1111818032
2024-02-22,12895,13075,13120,12880,16125,1047553424
2024-02-23,13100,13140,13185,12985,18849,1233118256
2024-02-26,13090,13175,13315,13070,15326,1012548928
2024-02-27,13285,13505,13690,13215,46291,3123241072
2024-02-28,13510,13430,13635,13375,32365,2184606896
2024-02-29,13485,13295,13485,13150,32601,2164041728
2024-03-01,13295,13205,13365,13120,20670,1369774752
2024-03-04,13200,13140,13320,13085,21088,1391841696
2024-03-05,13130,12980,13180,12970,17809,1163231856
2024-03-06,13060,13200,13255,13000,16223,1064620720
