date,open,close,high,low,volume,amount
2019-08-12,9805,9820,10175,9720,43809,4322464256
2019-08-13,9780,9855,9980,9775,9478,934412448
2019-08-14,9840,9995,10220,9785,18558,1849307312
2019-08-15,9935,9865,9980,9850,6098,604070352
2019-08-16,9860,9875,9940,9830,5077,501676160
2019-08-19,9885,10030,10080,9885,6610,660978208
2019-08-20,10030,9975,10035,9945,2545,254238848
2019-08-21,9960,9890,9975,9835,4546,449066304
2019-08-22,9890,9910,9925,9815,1828,180567552
2019-08-23,9860,9815,9905,9780,3156,310049904
2019-08-26,9840,9915,9940,9700,5260,516889808
2019-08-27,9915,9900,9980,9860,2362,234265248
2019-08-28,9930,9970,10095,9860,7170,717311312
2019-08-29,9965,9940,10030,9905,2039,203267000
2019-08-30,9925,10065,10080,9925,3655,365926352
2019-09-02,10080,10045,10195,10000,6053,610113648
2019-09-03,10025,10135,10135,10010,2567,258526152
2019-09-04,10110,10395,10475,9900,9723,1000940256
2019-09-05,10405,10310,10455,10210,3706,383414448
2019-09-06,10325,10190,10400,10160,5078,523247856
2019-09-09,10195,10265,10300,10115,2301,235346600
2019-09-10,10280,10270,10315,10155,2282,233625552
2019-09-11,10260,10220,10270,10155,2402,245374352
2019-09-12,10190,10145,10250,10120,2057,209394552
2019-09-16,10225,10255,10380,10200,2501,256980848
2019-09-17,10275,10255,10415,10210,3081,317719648
2019-09-18,10250,10145,10260,10050,3659,372385248
2019-09-19,10145,10105,10195,10080,1438,145917448
2019-09-20,10075,10100,10120,10025,2253,226880752
2019-09-23,10100,10210,10265,10085,2767,281867760
2019-09-24,10210,10100,10240,10100,1076,109469650
2019-09-25,10105,10025,10125,10000,3397,341456160
2019-09-26,9995,9910,10060,9910,2783,277763760
2019-09-27,9910,9785,9930,9700,6451,632011104
2019-09-30,9785,9745,9875,9740,2118,207418504
2019-10-08,9725,9680,9850,9600,2740,265856448
2019-10-09,9665,9770,9790,9665,2545,248160448
2019-10-10,9780,9860,9880,9700,2643,258540152
2019-10-11,9850,9860,9865,9780,3352,329308960
2019-10-14,9845,9975,9990,9795,2792,276668752
2019-10-15,9975,9820,9975,9810,1659,163821352
2019-10-16,9815,9820,9920,9790,2164,213105048
2019-10-17,9850,9845,9950,9810,2152,212675648
2019-10-18,9850,9980,10070,9850,2995,298332000
2019-10-21,9985,9960,10010,9905,1564,155724000
2019-10-22,9955,10020,10145,9945,6014,604528704
2019-10-23,10020,10015,10150,9975,4093,411728560
2019-10-24,9970,9990,10035,9920,2229,222612648
2019-10-25,9990,9985,10040,9930,2173,216917504
2019-10-28,9970,9920,10085,9850,3437,342483856
2019-10-29,9865,9945,9975,9865,1401,139048848
2019-10-30,9890,10085,10085,9890,3421,343058704
2019-10-31,10060,10075,10165,10025,4931,496749200
2019-11-01,10010,10040,10080,9930,2861,286053056
2019-11-04,10040,9990,10060,9960,1653,165465952
2019-11-05,9985,10225,10230,9985,5514,558494656
2019-11-06,10230,10165,10260,10125,2602,264753352
2019-11-07,10155,10130,10240,10060,4195,426572256
2019-11-08,10095,10165,10220,10045,5748,582715408
2019-11-11,10050,10120,10235,10050,3479,353433808
2019-11-12,10125,10310,10325,10050,5284,538509312
2019-11-13,10295,10225,10325,10180,4438,455464448
2019-11-14,10225,10360,10385,10180,3295,339882704
2019-11-15,10450,10120,10485,10115,4611,477018400
2019-11-18,10100,10385,10420,10100,4665,481403152
2019-11-19,10430,10360,10430,10295,6007,622219248
2019-11-20,10305,10780,10850,10305,11363,1209209200
2019-11-21,10750,10785,10845,10670,13098,1410265152
2019-11-22,10785,10845,11105,10770,17387,1896332560
