date,open,close,high,low,volume,amount
1997-04-15,10865,11225,11255,10865,935,0
1997-04-16,11185,11245,11485,11185,851,0
1997-04-17,11105,11385,11395,11105,1043,0
1997-04-18,11415,11245,11415,11245,1228,0
1997-04-21,11185,11105,11295,11105,1202,0
1997-04-22,11085,11085,11285,10985,1254,0
1997-04-23,11035,11085,11285,11035,1248,0
1997-04-24,11095,11025,11145,11025,2067,0
1997-04-25,11025,10995,11145,10965,1673,0
1997-04-28,10685,10685,11435,10685,1441,0
1997-04-29,10795,10505,10795,10505,1775,0
1997-04-30,10685,10565,10745,10495,1672,0
1997-05-01,10545,10305,10635,10285,2411,0
1997-05-06,10195,10235,10425,10185,1833,0
1997-05-07,10235,10215,10485,10205,2144,0
1997-05-08,10185,10185,10325,10105,2113,0
1997-05-09,10035,10385,10385,9985,2556,0
1997-05-12,10085,10335,10355,10065,1805,0
1997-05-13,10085,10215,10245,10085,1335,0
1997-05-14,10235,10095,10235,10085,1289,0
1997-05-15,10085,10175,10175,9955,2062,0
1997-05-16,10105,10005,10155,10005,2141,0
1997-05-19,10035,10005,10035,9985,2849,0
1997-05-20,10005,10015,10035,9995,1579,0
1997-05-21,9965,9985,10015,9925,1647,0
1997-05-22,9885,9935,10085,9785,1169,0
1997-05-23,9685,10085,10085,9685,1355,0
1997-05-26,9985,9885,10005,9885,1082,0
1997-05-27,9975,10085,10185,9975,1341,0
1997-05-28,10085,10185,10245,9905,1534,0
1997-05-29,10245,10255,10265,10105,1313,0
1997-05-30,10245,10295,10365,10235,1611,0
1997-06-02,10265,10085,10265,10085,1739,0
1997-06-03,10185,10185,10325,10045,1515,0
1997-06-04,10235,10185,10375,10185,1324,0
1997-06-05,10375,10325,10375,10065,1332,0
1997-06-06,10365,10275,10365,10175,1210,0
1997-06-09,10295,10225,10295,10075,3553,0
1997-06-10,10275,10215,10275,10105,1383,0
1997-06-11,10225,10115,10225,10115,1038,0
1997-06-12,10275,10025,10275,9965,1140,0
1997-06-13,10035,10115,10115,9985,1781,0
1997-06-16,10195,9915,10195,9905,1055,0
1997-06-17,9995,10015,10095,9915,765,0
