time,open,high,low,close
2026-04-07T04:00:00+08:00,74.46,74.63,74.46,74.63
2026-04-07T06:00:00+08:00,74.92,74.92,74.78,74.78
2026-04-07T07:00:00+08:00,74.78,74.91,74.78,74.91
2026-04-07T08:00:00+08:00,74.87,75.04,74.87,75.04
2026-04-07T09:00:00+08:00,74.84,75.56,74.84,75.56
2026-04-07T10:00:00+08:00,75.49,75.51,75.39,75.4
2026-04-07T11:00:00+08:00,75.54,75.6,75.49,75.49
2026-04-07T12:00:00+08:00,75.6,75.6,75.51,75.51
2026-04-07T13:00:00+08:00,75.59,75.59,75.46,75.46
2026-04-07T14:00:00+08:00,75.35,75.46,75.22,75.43
2026-04-07T15:00:00+08:00,75.57,75.61,75.42,75.59
2026-04-07T16:00:00+08:00,75.56,75.56,74.91,74.91
2026-04-07T17:00:00+08:00,74.98,75.08,74.69,74.88
2026-04-07T18:00:00+08:00,75.44,75.65,74.71,75.12
2026-04-07T19:00:00+08:00,75.63,75.83,75.55,75.71
2026-04-07T20:00:00+08:00,75.74,75.93,75.5,75.63
2026-04-07T21:00:00+08:00,75.75,75.79,74.99,75.69
2026-04-07T22:00:00+08:00,75.81,76.26,75.66,76.23
2026-04-07T23:00:00+08:00,76.26,76.45,75.6,75.6
2026-04-08T00:00:00+08:00,75.76,76.12,75.53,76.12
2026-04-08T01:00:00+08:00,76.44,76.53,75.98,76.53
2026-04-08T02:00:00+08:00,76.49,76.51,76.07,76.34
2026-04-08T03:00:00+08:00,76.34,76.34,74.68,74.89
2026-04-08T04:00:00+08:00,75.23,75.29,74.7,74.7
2026-04-08T06:00:00+08:00,75.03,75.03,72.15,72.66
2026-04-08T07:00:00+08:00,72.26,73.31,71.6,72.24
2026-04-08T08:00:00+08:00,72.62,72.96,71.93,71.93
2026-04-08T09:00:00+08:00,71.43,71.95,71.32,71.85
2026-04-08T10:00:00+08:00,72.32,72.32,72.14,72.14
2026-04-08T11:00:00+08:00,72.15,72.17,72.05,72.17
2026-04-08T12:00:00+08:00,71.87,71.87,71.87,71.87
2026-04-08T13:00:00+08:00,72.12,72.12,71.83,72.04
2026-04-08T14:00:00+08:00,72.07,72.07,71.26,71.85
2026-04-08T15:00:00+08:00,72.48,72.55,72.27,72.55
2026-04-08T16:00:00+08:00,72.56,73.26,72.56,72.61
2026-04-08T17:00:00+08:00,72.77,72.99,72.45,72.96
2026-04-08T18:00:00+08:00,72.87,73.25,72.52,72.52
2026-04-08T19:00:00+08:00,72.84,72.89,72.03,72.19
2026-04-08T20:00:00+08:00,72.07,72.66,71.69,71.79
2026-04-08T21:00:00+08:00,71.73,72.95,71.59,72.85
2026-04-08T22:00:00+08:00,72.86,73.43,72.79,73.12
2026-04-08T23:00:00+08:00,73.15,73.53,73.08,73.21
2026-04-09T00:00:00+08:00,72.99,73.59,72.91,73.59
2026-04-09T01:00:00+08:00,73.66,74.64,73.58,74.64
2026-04-09T02:00:00+08:00,74.62,75.31,74.35,75.31
2026-04-09T03:00:00+08:00,75.34,76.03,75.27,75.3
2026-04-09T04:00:00+08:00,75.01,75.73,75.01,75.73
2026-04-09T06:00:00+08:00,75.8,76.09,75.8,75.82
2026-04-09T07:00:00+08:00,75.85,75.85,75.85,75.85
2026-04-09T08:00:00+08:00,76.18,76.25,76.09,76.16
2026-04-09T09:00:00+08:00,76.18,76.21,75.33,75.33
2026-04-09T10:00:00+08:00,75.15,75.15,75.06,75.11
2026-04-09T11:00:00+08:00,75.21,75.25,75.21,75.25
2026-04-09T12:00:00+08:00,75.53,75.53,75.53,75.53
2026-04-09T13:00:00+08:00,75.6,75.6,75.52,75.52
2026-04-09T14:00:00+08:00,75.52,75.52,75.23,75.23
2026-04-09T15:00:00+08:00,75.14,75.33,75.09,75.24
2026-04-09T16:00:00+08:00,75.43,75.75,75.43,75.75
2026-04-09T17:00:00+08:00,75.82,75.82,75.49,75.49
2026-04-09T18:00:00+08:00,75.56,75.75,75.55,75.71
2026-04-09T19:00:00+08:00,75.75,75.77,75.02,75.02
2026-04-09T20:00:00+08:00,75.11,75.71,75.11,75.71
2026-04-09T21:00:00+08:00,75.64,75.8,75.27,75.54
2026-04-09T22:00:00+08:00,75.64,76.02,75.49,75.94
2026-04-09T23:00:00+08:00,75.84,76.08,74.46,74.72
2026-04-10T00:00:00+08:00,74.36,75.05,74.01,74.82
2026-04-10T01:00:00+08:00,74.78,74.98,74.29,74.89
2026-04-10T02:00:00+08:00,74.94,75.52,74.94,75.05
2026-04-10T03:00:00+08:00,74.98,75.28,74.98,75.22
2026-04-10T04:00:00+08:00,75.08,75.25,75.08,75.25
2026-04-10T06:00:00+08:00,75.3,75.3,75.17,75.17
2026-04-10T07:00:00+08:00,75.17,75.17,75.17,75.17
2026-04-10T09:00:00+08:00,75.26,75.26,75.24,75.24
2026-04-10T10:00:00+08:00,75.25,75.25,75.25,75.25
2026-04-10T11:00:00+08:00,74.93,74.93,74.93,74.93
2026-04-10T12:00:00+08:00,74.85,74.88,74.85,74.88
2026-04-10T14:00:00+08:00,75.21,75.37,75.19,75.37
2026-04-10T15:00:00+08:00,75.35,75.7,75.35,75.61
2026-04-10T16:00:00+08:00,75.66,75.81,75.66,75.76
2026-04-10T17:00:00+08:00,75.74,75.75,75.23,75.38
2026-04-10T18:00:00+08:00,75.29,75.37,75.17,75.18
2026-04-10T19:00:00+08:00,75.41,75.45,75.32,75.45
2026-04-10T20:00:00+08:00,75.47,75.59,75.3,75.36
2026-04-10T21:00:00+08:00,75.46,75.48,75.21,75.3
2026-04-10T22:00:00+08:00,75.4,75.51,75.11,75.47
2026-04-10T23:00:00+08:00,75.58,76.45,75.55,76.45
2026-04-11T00:00:00+08:00,76.51,76.51,76.29,76.47
2026-04-11T01:00:00+08:00,76.53,76.67,76.05,76.05
2026-04-11T02:00:00+08:00,76.45,76.51,75.56,75.67
2026-04-11T03:00:00+08:00,75.71,75.78,75.64,75.72
2026-04-11T04:00:00+08:00,75.63,75.76,75.57,75.57
2026-04-13T06:00:00+08:00,78.25,78.7,77.83,78.7
2026-04-13T08:00:00+08:00,78.12,78.12,78.12,78.12
2026-04-13T09:00:00+08:00,77.72,77.86,77.49,77.67
2026-04-13T10:00:00+08:00,77.8,77.8,77.6,77.64
2026-04-13T13:00:00+08:00,77.82,77.82,77.6,77.6
2026-04-13T14:00:00+08:00,77.76,77.76,77.41,77.41
2026-04-13T15:00:00+08:00,77.77,77.77,77.77,77.77
2026-04-13T16:00:00+08:00,78,78.23,77.94,78.17
2026-04-13T17:00:00+08:00,77.87,78.02,77.87,78.02
2026-04-13T18:00:00+08:00,78.18,78.31,78.14,78.31
2026-04-13T19:00:00+08:00,78.1,78.39,78.04,78.39
2026-04-13T20:00:00+08:00,78.43,78.7,78.18,78.42
2026-04-13T21:00:00+08:00,78.37,78.42,77.15,77.28
2026-04-13T22:00:00+08:00,77.23,77.96,77.06,77.89
2026-04-13T23:00:00+08:00,78.09,78.88,78.06,78.79
2026-04-14T00:00:00+08:00,78.78,78.82,77.74,78.46
2026-04-14T01:00:00+08:00,78.37,78.37,78.07,78.18
2026-04-14T02:00:00+08:00,78.34,78.67,77.91,77.92
2026-04-14T03:00:00+08:00,77.81,77.99,77.81,77.97
2026-04-14T04:00:00+08:00,77.86,77.9,77.75,77.75
2026-04-14T06:00:00+08:00,77.72,77.72,77.68,77.68
2026-04-14T07:00:00+08:00,77.57,77.57,77.45,77.45
2026-04-14T08:00:00+08:00,77.84,77.84,77.42,77.42
2026-04-14T09:00:00+08:00,77.71,77.71,77.71,77.71
2026-04-14T10:00:00+08:00,77.77,77.77,77.77,77.77
2026-04-14T11:00:00+08:00,77.92,77.94,77.92,77.94
2026-04-14T12:00:00+08:00,77.9,77.9,77.84,77.85
2026-04-14T13:00:00+08:00,78.06,78.06,78.06,78.06
2026-04-14T14:00:00+08:00,78.09,78.09,78.09,78.09
2026-04-14T15:00:00+08:00,78.4,78.4,77.94,78.18
2026-04-14T16:00:00+08:00,78.45,78.71,78.38,78.38
2026-04-14T17:00:00+08:00,78.43,78.63,78.39,78.63
2026-04-14T18:00:00+08:00,78.43,78.64,78.43,78.63
2026-04-14T19:00:00+08:00,78.64,78.75,78.06,78.15
2026-04-14T20:00:00+08:00,78.36,78.36,77.64,77.88
2026-04-14T21:00:00+08:00,78.03,78.03,77.62,77.73
2026-04-14T22:00:00+08:00,77.52,77.52,76.53,76.77
2026-04-14T23:00:00+08:00,77.09,77.53,76.87,76.91
2026-04-15T00:00:00+08:00,76.99,76.99,76.53,76.67
2026-04-15T01:00:00+08:00,76.68,76.92,76.68,76.87
2026-04-15T02:00:00+08:00,76.93,76.93,76.5,76.75
2026-04-15T03:00:00+08:00,76.65,76.7,76.41,76.56
2026-04-15T04:00:00+08:00,76.56,76.78,76.54,76.67
2026-04-15T06:00:00+08:00,76.79,76.79,76.72,76.72
2026-04-15T07:00:00+08:00,76.1,76.44,76.09,76.32
2026-04-15T08:00:00+08:00,76.36,76.53,76.29,76.36
2026-04-15T10:00:00+08:00,76.24,76.54,76.24,76.53
2026-04-15T11:00:00+08:00,76.64,76.64,76.45,76.45
2026-04-15T13:00:00+08:00,76.76,76.86,76.76,76.79
2026-04-15T14:00:00+08:00,76.79,76.79,76.42,76.47
2026-04-15T15:00:00+08:00,76.68,76.93,76.68,76.93
2026-04-15T16:00:00+08:00,76.93,77.56,76.93,77.56
2026-04-15T17:00:00+08:00,77.57,77.76,77.37,77.37
2026-04-15T18:00:00+08:00,77.48,77.69,77.26,77.33
2026-04-15T19:00:00+08:00,77.34,77.34,76.56,76.86
2026-04-15T20:00:00+08:00,76.99,77.15,76.87,76.91
2026-04-15T21:00:00+08:00,76.99,77.09,76.62,77.02
2026-04-15T22:00:00+08:00,76.87,77.4,76.6,77.4
2026-04-15T23:00:00+08:00,77.41,77.79,77.41,77.66
2026-04-16T00:00:00+08:00,77.67,77.69,77.36,77.36
2026-04-16T01:00:00+08:00,77.39,77.6,77.25,77.6
2026-04-16T02:00:00+08:00,77.65,77.65,77.03,77.31
2026-04-16T03:00:00+08:00,77.08,77.08,76.98,77.06
2026-04-16T04:00:00+08:00,77.11,77.14,77.04,77.07
2026-04-16T07:00:00+08:00,76.83,76.89,76.82,76.89
2026-04-16T09:00:00+08:00,76.93,76.93,76.93,76.93
2026-04-16T10:00:00+08:00,77.13,77.13,77.13,77.13
2026-04-16T11:00:00+08:00,76.96,77.07,76.96,77.07
2026-04-16T12:00:00+08:00,77.09,77.13,77.09,77.11
2026-04-16T13:00:00+08:00,76.95,76.95,76.95,76.95
2026-04-16T14:00:00+08:00,76.86,76.97,76.86,76.97
2026-04-16T15:00:00+08:00,77.3,77.41,77.17,77.41
2026-04-16T16:00:00+08:00,77.57,77.7,77.57,77.63
2026-04-16T17:00:00+08:00,77.54,77.65,77.54,77.65
2026-04-16T18:00:00+08:00,77.42,77.5,77.42,77.45
2026-04-16T19:00:00+08:00,76.9,77.06,76.87,76.99
2026-04-16T20:00:00+08:00,76.75,77.4,76.75,77.36
2026-04-16T21:00:00+08:00,77.43,77.52,77.13,77.5
2026-04-16T22:00:00+08:00,77.46,77.54,77.39,77.41
2026-04-16T23:00:00+08:00,77.29,77.89,77.22,77.53
2026-04-17T00:00:00+08:00,77.6,77.8,77.48,77.8
2026-04-17T01:00:00+08:00,77.65,77.81,77.5,77.63
2026-04-17T02:00:00+08:00,77.54,77.69,77.43,77.43
2026-04-17T03:00:00+08:00,77.32,77.32,77.22,77.22
2026-04-17T04:00:00+08:00,77.27,77.27,77.23,77.23
2026-04-17T06:00:00+08:00,77.24,77.24,77.1,77.1
2026-04-17T07:00:00+08:00,77.18,77.18,77.18,77.18
2026-04-17T08:00:00+08:00,77.17,77.18,77.05,77.18
2026-04-17T09:00:00+08:00,77.24,77.24,77.1,77.1
2026-04-17T10:00:00+08:00,77.02,77.02,77.02,77.02
2026-04-17T11:00:00+08:00,77.08,77.08,77.08,77.08
2026-04-17T12:00:00+08:00,76.86,76.86,76.78,76.78
2026-04-17T13:00:00+08:00,76.81,76.81,76.68,76.68
2026-04-17T14:00:00+08:00,76.6,77.16,76.6,77.03
2026-04-17T15:00:00+08:00,76.95,76.96,76.81,76.81
2026-04-17T16:00:00+08:00,76.64,76.73,76.25,76.25
2026-04-17T17:00:00+08:00,76.3,76.36,75.67,75.77
2026-04-17T18:00:00+08:00,75.9,76.19,75.56,76.16
2026-04-17T19:00:00+08:00,76.12,76.19,76.03,76.12
2026-04-17T20:00:00+08:00,76.21,76.28,72.7,72.77
2026-04-17T21:00:00+08:00,72.74,73.48,72.12,72.6
2026-04-17T22:00:00+08:00,72.6,72.88,71.64,72.09
2026-04-17T23:00:00+08:00,72.08,73.01,72.04,72.47
2026-04-18T00:00:00+08:00,72.67,73,72.44,72.8
2026-04-18T01:00:00+08:00,72.83,73.66,72.77,73.23
2026-04-18T02:00:00+08:00,73.24,73.86,73.12,73.77
2026-04-18T03:00:00+08:00,73.72,73.79,73.48,73.59
2026-04-18T04:00:00+08:00,73.58,73.91,73.58,73.77
2026-04-20T06:00:00+08:00,76.16,76.17,75.08,75.53
2026-04-20T07:00:00+08:00,75.49,75.89,75.47,75.89
2026-04-20T08:00:00+08:00,76.03,76.13,75.82,75.92
2026-04-20T09:00:00+08:00,75.85,75.85,75.19,75.25
2026-04-20T10:00:00+08:00,75.29,75.67,75.24,75.67
2026-04-20T11:00:00+08:00,75.76,75.84,75.76,75.82
2026-04-20T12:00:00+08:00,75.81,76.04,75.81,75.83
2026-04-20T13:00:00+08:00,75.93,76.03,75.9,75.91
2026-04-20T14:00:00+08:00,75.83,76.23,75.83,76.04
2026-04-20T15:00:00+08:00,75.73,76.21,75.63,76.09
2026-04-20T16:00:00+08:00,76.07,76.47,76.07,76.34
2026-04-20T17:00:00+08:00,76.3,76.4,76.08,76.18
2026-04-20T18:00:00+08:00,76.06,76.16,75.95,76.1
2026-04-20T19:00:00+08:00,76.13,76.21,75.77,75.77
2026-04-20T20:00:00+08:00,75.82,76.12,75.74,75.95
2026-04-20T21:00:00+08:00,75.94,76.15,75.16,75.4
2026-04-20T22:00:00+08:00,75.49,76.3,75.49,75.89
2026-04-20T23:00:00+08:00,76,76.23,75.83,76.19
2026-04-21T00:00:00+08:00,76.18,76.27,75.91,75.92
2026-04-21T01:00:00+08:00,75.87,76.03,75.68,75.75
2026-04-21T02:00:00+08:00,75.73,75.8,75.47,75.7
