time,open,high,low,close
2026-03-25T16:00:00+08:00,2.3868,2.3868,2.3868,2.3868
2026-03-25T17:00:00+08:00,2.3813,2.3813,2.3813,2.3813
2026-03-25T18:00:00+08:00,2.3853,2.3859,2.3738,2.3738
2026-03-25T19:00:00+08:00,2.3694,2.3887,2.3694,2.3802
2026-03-25T20:00:00+08:00,2.376,2.4141,2.3718,2.3996
2026-03-25T21:00:00+08:00,2.4014,2.4115,2.3901,2.4094
2026-03-25T22:00:00+08:00,2.4111,2.4138,2.4044,2.4135
2026-03-25T23:00:00+08:00,2.4138,2.4204,2.4123,2.4151
2026-03-26T00:00:00+08:00,2.414,2.414,2.3971,2.4064
2026-03-26T01:00:00+08:00,2.4107,2.4186,2.3967,2.4061
2026-03-26T02:00:00+08:00,2.4076,2.4333,2.4045,2.4333
2026-03-26T03:00:00+08:00,2.4222,2.4222,2.4222,2.4222
2026-03-26T08:00:00+08:00,2.4207,2.4207,2.4207,2.4207
2026-03-26T09:00:00+08:00,2.4133,2.4133,2.4133,2.4133
2026-03-26T12:00:00+08:00,2.4306,2.4407,2.4306,2.4407
2026-03-26T13:00:00+08:00,2.4401,2.4457,2.4391,2.4457
2026-03-26T14:00:00+08:00,2.4421,2.4421,2.4416,2.4416
2026-03-26T15:00:00+08:00,2.4562,2.4597,2.4562,2.4597
2026-03-26T16:00:00+08:00,2.4577,2.4726,2.4577,2.4726
2026-03-26T17:00:00+08:00,2.4605,2.463,2.4605,2.463
2026-03-26T19:00:00+08:00,2.4794,2.4794,2.4794,2.4794
2026-03-26T20:00:00+08:00,2.4744,2.4839,2.4739,2.4811
2026-03-26T21:00:00+08:00,2.4761,2.4769,2.4654,2.4668
2026-03-26T22:00:00+08:00,2.4619,2.4677,2.4458,2.4643
2026-03-26T23:00:00+08:00,2.4628,2.476,2.4628,2.4728
2026-03-27T00:00:00+08:00,2.4843,2.4844,2.4806,2.4835
2026-03-27T01:00:00+08:00,2.4826,2.4918,2.4823,2.4909
2026-03-27T02:00:00+08:00,2.4891,2.4927,2.4687,2.4729
