"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"674","August 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2025/26","Est.","Annual","1123.00","1000 Metric Tons, Actual Weight","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2025/26","Est.","Annual","4250.00","1000 Metric Tons, Actual Weight","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2025/26","Est.","Annual","1259.00","1000 Metric Tons, Actual Weight","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2025/26","Est.","Annual","981.00","1000 Metric Tons, Actual Weight","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2025/26","Est.","Annual","42.00","1000 Metric Tons, Actual Weight","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2025/26","Est.","Annual","5325.00","1000 Metric Tons, Actual Weight","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2026/27","Proj.","Annual","1259.00","1000 Metric Tons, Actual Weight","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2026/27","Proj.","Annual","4226.00","1000 Metric Tons, Actual Weight","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2026/27","Proj.","Annual","1082.00","1000 Metric Tons, Actual Weight","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2026/27","Proj.","Annual","1357.00","1000 Metric Tons, Actual Weight","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2026/27","Proj.","Annual","28.00","1000 Metric Tons, Actual Weight","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2026/27","Proj.","Annual","5377.00","1000 Metric Tons, Actual Weight","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","16.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","average","Coarse Grain","Foreign","","","Annual","12.40","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","below_final","Coarse Grain","Foreign","","","Annual","29.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","confidence_interval","Coarse Grain","Foreign","","","Annual","3.10","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","largest","Coarse Grain","Foreign","","","Annual","39.60","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","root_mean_square_error","Coarse Grain","Foreign","","","Annual","1.80","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","smallest","Coarse Grain","Foreign","","","Annual","1.10","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","above_final","Coarse Grain","Foreign","","","Annual","10.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","average","Coarse Grain","Foreign","","","Annual","15.10","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","below_final","Coarse Grain","Foreign","","","Annual","35.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","confidence_interval","Coarse Grain","Foreign","","","Annual","26.80","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","largest","Coarse Grain","Foreign","","","Annual","154.80","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","root_mean_square_error","Coarse Grain","Foreign","","","Annual","15.90","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","smallest","Coarse Grain","Foreign","","","Annual",".20","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","above_final","Coarse Grain","Foreign","","","Annual","15.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","average","Coarse Grain","Foreign","","","Annual","7.80","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","below_final","Coarse Grain","Foreign","","","Annual","30.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","confidence_interval","Coarse Grain","Foreign","","","Annual","22.50","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","largest","Coarse Grain","Foreign","","","Annual","19.90","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","root_mean_square_error","Coarse Grain","Foreign","","","Annual","13.30","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","smallest","Coarse Grain","Foreign","","","Annual","1.40","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","above_final","Coarse Grain","Foreign","","","Annual","15.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","average","Coarse Grain","Foreign","","","Annual","14.80","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","below_final","Coarse Grain","Foreign","","","Annual","30.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","confidence_interval","Coarse Grain","Foreign","","","Annual","4.10","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","largest","Coarse Grain","Foreign","","","Annual","58.40","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","root_mean_square_error","Coarse Grain","Foreign","","","Annual","2.40","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","smallest","Coarse Grain","Foreign","","","Annual",".70","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","above_final","Cotton","Foreign","","","Annual","26.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","average","Cotton","Foreign","","","Annual","3.50","Million 480-Pounds Bales","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","below_final","Cotton","Foreign","","","Annual","19.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","confidence_interval","Cotton","Foreign","","","Annual","8.60","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","largest","Cotton","Foreign","","","Annual","20.10","Million 480-Pounds Bales","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","root_mean_square_error","Cotton","Foreign","","","Annual","5.10","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","smallest","Cotton","Foreign","","","Annual",".30","Million 480-Pounds Bales","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","above_final","Cotton","Foreign","","","Annual","14.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","average","Cotton","Foreign","","","Annual","5.30","Million 480-Pounds Bales","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","below_final","Cotton","Foreign","","","Annual","31.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","confidence_interval","Cotton","Foreign","","","Annual","24.50","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","largest","Cotton","Foreign","","","Annual","18.60","Million 480-Pounds Bales","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","root_mean_square_error","Cotton","Foreign","","","Annual","14.60","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","smallest","Cotton","Foreign","","","Annual",".10","Million 480-Pounds Bales","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","above_final","Cotton","Foreign","","","Annual","22.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","average","Cotton","Foreign","","","Annual","2.00","Million 480-Pounds Bales","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","below_final","Cotton","Foreign","","","Annual","23.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","confidence_interval","Cotton","Foreign","","","Annual","21.60","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","largest","Cotton","Foreign","","","Annual","8.50","Million 480-Pounds Bales","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","root_mean_square_error","Cotton","Foreign","","","Annual","12.80","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","smallest","Cotton","Foreign","","","Annual",".10","Million 480-Pounds Bales","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","above_final","Cotton","Foreign","","","Annual","20.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","average","Cotton","Foreign","","","Annual","2.90","Million 480-Pounds Bales","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","below_final","Cotton","Foreign","","","Annual","24.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","confidence_interval","Cotton","Foreign","","","Annual","8.60","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","largest","Cotton","Foreign","","","Annual","10.90","Million 480-Pounds Bales","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","root_mean_square_error","Cotton","Foreign","","","Annual","5.10","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","smallest","Cotton","Foreign","","","Annual",".00","Million 480-Pounds Bales","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","above_final","Oilseed, Soybean","Foreign","","","Annual","19.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","average","Oilseed, Soybean","Foreign","","","Annual","4.80","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","below_final","Oilseed, Soybean","Foreign","","","Annual","26.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","confidence_interval","Oilseed, Soybean","Foreign","","","Annual","6.60","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","largest","Oilseed, Soybean","Foreign","","","Annual","15.40","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","root_mean_square_error","Oilseed, Soybean","Foreign","","","Annual","3.90","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Domestic Use","smallest","Oilseed, Soybean","Foreign","","","Annual",".60","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","above_final","Oilseed, Soybean","Foreign","","","Annual","20.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","average","Oilseed, Soybean","Foreign","","","Annual","4.60","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","below_final","Oilseed, Soybean","Foreign","","","Annual","25.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","confidence_interval","Oilseed, Soybean","Foreign","","","Annual","29.80","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","largest","Oilseed, Soybean","Foreign","","","Annual","21.30","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","root_mean_square_error","Oilseed, Soybean","Foreign","","","Annual","17.70","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Ending Stocks","smallest","Oilseed, Soybean","Foreign","","","Annual",".20","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","above_final","Oilseed, Soybean","Foreign","","","Annual","22.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","average","Oilseed, Soybean","Foreign","","","Annual","3.60","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","below_final","Oilseed, Soybean","Foreign","","","Annual","23.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","confidence_interval","Oilseed, Soybean","Foreign","","","Annual","30.90","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","largest","Oilseed, Soybean","Foreign","","","Annual","21.30","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","root_mean_square_error","Oilseed, Soybean","Foreign","","","Annual","18.30","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Exports","smallest","Oilseed, Soybean","Foreign","","","Annual",".00","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","above_final","Oilseed, Soybean","Foreign","","","Annual","24.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","average","Oilseed, Soybean","Foreign","","","Annual","7.20","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","below_final","Oilseed, Soybean","Foreign","","","Annual","21.00","Years","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","confidence_interval","Oilseed, Soybean","Foreign","","","Annual","12.50","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","largest","Oilseed, Soybean","Foreign","","","Annual","33.50","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","root_mean_square_error","Oilseed, Soybean","Foreign","","","Annual","7.40","Percent","2026-08-12","12:00:00.0000000","2026","8"
"674","August 2026","Reliability of August Projections","Production","smallest","Oilseed, Soybean","Foreign","","","Annual",".70","Million Metric Tons","2026-08-12","12:00:00.0000000","2026","8"
