Market_Year,Production,Human Dom. Consumption,Total Disappearance,Ending Stocks,Total Supply,Imports,Exports,StockToUse,ProdMinusUse
1960,53173.0,47457.0,47457.0,14964.0,81372.0,15020.0,18936.0,31.5,5716.0
1961,50547.0,49551.0,49551.0,13771.0,80949.0,15438.0,17617.0,27.8,996.0
1962,54083.0,50810.0,50810.0,12182.0,81159.0,13305.0,18167.0,24.0,3273.0
1963,57079.0,51819.0,51819.0,13674.0,83238.0,13977.0,17730.0,26.4,5260.0
1964,63016.0,54198.0,54198.0,16682.0,90012.0,13322.0,19128.0,30.8,8818.0
1965,60994.0,56694.0,56694.0,17509.0,92607.0,14931.0,18399.0,30.9,4300.0
1966,64401.0,58815.0,58815.0,18376.0,96870.0,14960.0,19679.0,31.2,5586.0
1967,65521.0,60270.0,60270.0,19461.0,99612.0,15715.0,19881.0,32.3,5251.0
1968,66550.0,61618.0,61618.0,20752.0,101220.0,15209.0,18850.0,33.7,4932.0
1969,69281.0,64711.0,64711.0,21293.0,107403.0,17370.0,21399.0,32.9,4570.0
1970,70177.0,67437.0,67437.0,20175.0,108720.0,17250.0,21108.0,29.9,2740.0
1971,71090.0,69904.0,69904.0,18241.0,108926.0,17661.0,20781.0,26.1,1186.0
1972,74628.0,71895.0,71895.0,17861.0,111450.0,18581.0,21694.0,24.8,2733.0
1973,81181.0,82332.0,82332.0,14966.0,121765.0,22723.0,24467.0,18.2,-1151.0
1974,80865.0,78553.0,78553.0,17119.0,118263.0,22432.0,22591.0,21.8,2312.0
1975,82307.0,81057.0,81072.0,18210.0,122083.0,22657.0,22801.0,22.5,1235.0
1976,85996.0,83117.0,83142.0,20590.0,129614.0,25408.0,25882.0,24.8,2854.0
1977,92673.0,86973.0,87034.0,24454.0,139656.0,26393.0,28168.0,28.1,5639.0
1978,91428.0,90136.0,90206.0,24847.0,142063.0,26181.0,27010.0,27.5,1222.0
1979,84523.0,90893.0,90985.0,20462.0,138641.0,29271.0,27194.0,22.5,-6462.0
1980,88512.0,91047.0,91137.0,17585.0,137046.0,28072.0,28324.0,19.3,-2625.0
