MY,w_stocks,w_sur,w_cons,cn,ind,R1_stocks,R1_sur,R2_stocks,R2_sur,core_stocks,core_sur,core_sur_own,core_surplus,core_share,core_exp_share,px,dlpx
1960,14964.0,31.5,47457.0,440.0,1757.0,14524.0,30.6,12767.0,26.9,3418.0,7.2,39.0,3135.0,22.84,15.19,0.06,
1961,13771.0,27.8,49551.0,320.0,1923.0,13451.0,27.15,11528.0,23.26,3422.0,6.91,38.3,2926.0,24.85,16.59,0.06,-0.06
1962,12182.0,24.0,50810.0,100.0,1800.0,12082.0,23.78,10282.0,20.24,3361.0,6.61,35.94,2914.0,27.59,16.38,0.14,0.95
1963,13674.0,26.4,51819.0,80.0,1651.0,13594.0,26.23,11943.0,23.05,3458.0,6.67,36.27,3299.0,25.29,18.06,0.17,0.15
1964,16682.0,30.8,54198.0,170.0,2621.0,16512.0,30.47,13891.0,25.63,5028.0,9.28,50.46,4977.0,30.14,18.32,0.05,-1.18
1965,17509.0,30.9,56694.0,260.0,3311.0,17249.0,30.42,13938.0,24.58,6122.0,10.8,58.56,5008.0,34.96,21.41,0.04,-0.18
1966,18376.0,31.2,58815.0,230.0,2715.0,18146.0,30.85,15431.0,26.24,5982.0,10.17,54.27,4679.0,32.55,24.56,0.04,-0.1
1967,19461.0,32.3,60270.0,310.0,2563.0,19151.0,31.78,16588.0,27.52,6006.0,9.97,55.14,4881.0,30.86,24.43,0.04,0.06
1968,20752.0,33.7,61618.0,280.0,2796.0,20472.0,33.22,17676.0,28.69,6094.0,9.89,53.73,5071.0,29.37,26.44,0.07,0.48
1969,21293.0,32.9,64711.0,380.0,2184.0,20913.0,32.32,18729.0,28.94,5417.0,8.37,41.25,4006.0,25.44,21.89,0.08,0.12
1970,20175.0,29.9,67437.0,320.0,1826.0,19855.0,29.44,18029.0,26.73,4955.0,7.35,35.94,4743.0,24.56,24.73,0.1,0.23
1971,18241.0,26.1,69904.0,430.0,1041.0,17811.0,25.48,16770.0,23.99,3951.0,5.65,27.81,5137.0,21.66,29.62,0.14,0.41
1972,17861.0,24.8,71895.0,490.0,1144.0,17371.0,24.16,16227.0,22.57,3203.0,4.46,21.33,5970.0,17.93,31.04,0.2,0.31
