ticker,support_id,support_mid,touch_seq,touch_date,touch_low,touch_close
2359.hk,S1,155.099823,1,2021-01-21,150.083328,151.416672
2359.hk,S1,155.099823,2,2021-01-28,147.916672,151.833328
2359.hk,S1,155.099823,3,2021-02-24,138.416672,141.333328
2359.hk,S1,155.099823,4,2021-05-04,148.916672,149.833328
2359.hk,S1,155.099823,5,2021-05-17,145.916672,151.916672
2359.hk,S1,155.099823,6,2021-05-28,157.399994,160.699997
2359.hk,S1,155.099823,7,2021-06-16,154.300003,156.300003
2359.hk,S1,155.099823,8,2021-07-06,157.699997,166.800003
2359.hk,S1,155.099823,9,2021-07-27,151.100006,154.600006
2359.hk,S1,155.099823,10,2021-08-17,142.199997,145.899994
2359.hk,S1,155.099823,11,2021-08-25,147.899994,149.5
2359.hk,S1,155.099823,12,2021-09-02,148.199997,149.5
2359.hk,S1,155.099823,13,2021-11-08,146.0,147.800003
2359.hk,S1,155.099823,14,2021-11-23,153.300003,154.5
2359.hk,S1,155.099823,15,2021-12-13,158.100006,158.800003
2359.hk,S1,155.099823,16,2026-07-07,149.199997,150.300003
2359.hk,S1,155.099823,17,2026-07-13,151.300003,151.600006
2359.hk,S1,155.099823,18,2026-07-17,151.0,153.0
2359.hk,S2,145.014581,1,2021-01-08,135.5,136.916672
2359.hk,S2,145.014581,2,2021-01-13,135.25,135.75
2359.hk,S2,145.014581,3,2021-01-19,139.25,141.833328
2359.hk,S2,145.014581,4,2021-02-24,138.416672,141.333328
2359.hk,S2,145.014581,5,2021-03-02,136.833328,138.5
2359.hk,S2,145.014581,6,2021-04-26,142.5,142.583328
2359.hk,S2,145.014581,7,2021-05-07,136.833328,138.166672
2359.hk,S2,145.014581,8,2021-08-20,131.600006,136.899994
2359.hk,S2,145.014581,9,2021-09-01,145.600006,154.5
2359.hk,S2,145.014581,10,2021-09-03,147.199997,155.199997
2359.hk,S2,145.014581,11,2021-11-08,146.0,147.800003
2359.hk,S2,145.014581,12,2026-04-29,137.199997,137.800003
2359.hk,S2,145.014581,13,2026-06-24,131.300003,141.699997
2359.hk,S2,145.014581,14,2026-07-08,144.800003,146.399994
2359.hk,S3,134.665989,1,2021-01-04,126.5,131.25
2359.hk,S3,134.665989,2,2021-02-26,133.333328,134.75
2359.hk,S3,134.665989,3,2021-03-02,136.833328,138.5
2359.hk,S3,134.665989,4,2021-03-31,125.916664,127.416664
2359.hk,S3,134.665989,5,2021-04-15,126.333336,130.75
2359.hk,S3,134.665989,6,2021-04-19,127.75,132.916672
2359.hk,S3,134.665989,7,2021-05-07,136.833328,138.166672
2359.hk,S3,134.665989,8,2021-08-20,131.600006,136.899994
2359.hk,S3,134.665989,9,2021-12-15,126.400002,130.800003
2359.hk,S3,134.665989,10,2021-12-29,124.400002,126.800003
2359.hk,S3,134.665989,11,2022-01-03,124.199997,125.400002
2359.hk,S3,134.665989,12,2022-01-19,121.099998,122.300003
2359.hk,S3,134.665989,13,2022-03-24,118.0,130.100006
2359.hk,S3,134.665989,14,2022-04-06,122.800003,124.800003
2359.hk,S3,134.665989,15,2026-04-15,128.399994,130.399994
2359.hk,S3,134.665989,16,2026-05-14,129.199997,130.100006
2359.hk,S3,134.665989,17,2026-06-23,130.0,130.800003
2359.hk,S4,126.445745,1,2020-12-29,119.583336,121.25
2359.hk,S4,126.445745,2,2021-03-08,116.583336,117.0
2359.hk,S4,126.445745,3,2021-03-15,117.333336,118.416664
2359.hk,S4,126.445745,4,2021-03-19,119.583336,121.833336
2359.hk,S4,126.445745,5,2021-03-29,123.083336,123.583336
2359.hk,S4,126.445745,6,2021-04-12,125.5,128.0
2359.hk,S4,126.445745,7,2021-12-15,126.400002,130.800003
2359.hk,S4,126.445745,8,2021-12-20,128.899994,129.600006
2359.hk,S4,126.445745,9,2021-12-29,124.400002,126.800003
2359.hk,S4,126.445745,10,2022-01-04,116.099998,117.800003
2359.hk,S4,126.445745,11,2022-01-10,113.699997,120.900002
2359.hk,S4,126.445745,12,2022-01-17,128.699997,130.5
2359.hk,S4,126.445745,13,2022-01-26,110.300003,111.300003
2359.hk,S4,126.445745,14,2022-04-07,119.099998,119.699997
2359.hk,S4,126.445745,15,2026-02-24,120.400002,121.699997
2359.hk,S4,126.445745,16,2026-04-01,118.699997,123.900002
2359.hk,S4,126.445745,17,2026-04-21,120.5,121.0
2359.hk,S4,126.445745,18,2026-04-23,121.699997,122.699997
2359.hk,S4,126.445745,19,2026-04-27,122.099998,126.0
2359.hk,S4,126.445745,20,2026-05-18,124.699997,125.800003
2359.hk,S4,126.445745,21,2026-06-04,122.400002,123.5
2359.hk,S4,126.445745,22,2026-06-17,121.900002,122.5
2359.hk,S5,118.75602,1,2020-12-17,112.583336,115.0
2359.hk,S5,118.75602,2,2021-03-08,116.583336,117.0
2359.hk,S5,118.75602,3,2021-03-15,117.333336,118.416664
2359.hk,S5,118.75602,4,2021-03-24,114.583336,116.5
2359.hk,S5,118.75602,5,2022-01-05,111.5,114.300003
2359.hk,S5,118.75602,6,2022-01-21,118.599998,121.0
2359.hk,S5,118.75602,7,2022-03-21,108.099998,110.099998
2359.hk,S5,118.75602,8,2022-03-28,119.0,121.300003
2359.hk,S5,118.75602,9,2022-04-01,120.599998,124.199997
2359.hk,S5,118.75602,10,2022-04-11,113.800003,114.5
2359.hk,S5,118.75602,11,2022-04-19,111.599998,112.199997
2359.hk,S5,118.75602,12,2022-07-08,113.099998,115.199997
2359.hk,S5,118.75602,13,2025-09-04,108.0,109.0
2359.hk,S5,118.75602,14,2025-09-09,113.300003,114.099998
2359.hk,S5,118.75602,15,2025-10-10,112.199997,112.400002
2359.hk,S5,118.75602,16,2026-01-20,112.699997,113.699997
2359.hk,S5,118.75602,17,2026-02-09,114.900002,116.0
2359.hk,S5,118.75602,18,2026-03-03,111.400002,112.400002
2359.hk,S5,118.75602,19,2026-03-31,114.599998,117.5
2359.hk,S5,118.75602,20,2026-04-17,121.0,122.900002
2359.hk,S5,118.75602,21,2026-04-21,120.5,121.0
2359.hk,S5,118.75602,22,2026-04-24,120.300003,123.699997
2359.hk,S5,118.75602,23,2026-06-09,111.199997,116.800003
2359.hk,S6,108.342701,1,2020-10-30,101.75,102.916664
2359.hk,S6,108.342701,2,2020-11-18,101.083336,103.166664
2359.hk,S6,108.342701,3,2020-12-09,102.5,103.666664
2359.hk,S6,108.342701,4,2020-12-14,103.5,106.833336
2359.hk,S6,108.342701,5,2022-01-06,104.900002,116.0
2359.hk,S6,108.342701,6,2022-01-28,104.0,106.599998
2359.hk,S6,108.342701,7,2022-02-04,108.599998,114.0
2359.hk,S6,108.342701,8,2022-02-16,101.300003,104.599998
2359.hk,S6,108.342701,9,2022-03-04,104.599998,107.099998
2359.hk,S6,108.342701,10,2022-03-08,100.699997,102.400002
2359.hk,S6,108.342701,11,2022-03-10,101.699997,106.300003
2359.hk,S6,108.342701,12,2022-03-21,108.099998,110.099998
2359.hk,S6,108.342701,13,2022-04-13,110.400002,113.599998
2359.hk,S6,108.342701,14,2022-04-25,101.699997,102.800003
2359.hk,S6,108.342701,15,2022-05-05,97.5,100.599998
2359.hk,S6,108.342701,16,2022-06-10,104.400002,105.400002
2359.hk,S6,108.342701,17,2022-06-29,102.099998,104.199997
2359.hk,S6,108.342701,18,2022-07-19,101.199997,102.199997
2359.hk,S6,108.342701,19,2023-01-17,99.300003,101.400002
2359.hk,S6,108.342701,20,2023-01-30,102.599998,103.699997
2359.hk,S6,108.342701,21,2025-08-01,100.699997,101.699997
2359.hk,S6,108.342701,22,2025-08-06,102.900002,104.599998
2359.hk,S6,108.342701,23,2025-08-19,99.800003,101.0
2359.hk,S6,108.342701,24,2025-08-27,101.400002,102.0
2359.hk,S6,108.342701,25,2025-08-29,101.0,107.900002
2359.hk,S6,108.342701,26,2025-09-04,108.0,109.0
2359.hk,S6,108.342701,27,2025-09-11,104.699997,108.599998
2359.hk,S6,108.342701,28,2025-09-26,106.099998,107.599998
2359.hk,S6,108.342701,29,2025-10-14,100.0,101.699997
2359.hk,S6,108.342701,30,2025-10-17,100.900002,101.699997
2359.hk,S6,108.342701,31,2025-10-21,104.599998,105.599998
2359.hk,S6,108.342701,32,2025-11-03,103.5,103.699997
2359.hk,S6,108.342701,33,2025-11-14,103.300003,105.199997
2359.hk,S6,108.342701,34,2025-11-20,105.300003,106.400002
2359.hk,S6,108.342701,35,2025-11-27,104.0,105.199997
2359.hk,S6,108.342701,36,2026-01-05,99.599998,104.199997
2359.hk,S6,108.342701,37,2026-02-02,107.400002,109.400002
2359.hk,S6,108.342701,38,2026-03-13,105.599998,106.0
2359.hk,S6,108.342701,39,2026-03-24,105.5,113.599998
2359.hk,S7,98.431999,1,2020-07-16,90.666664,92.083336
2359.hk,S7,98.431999,2,2020-07-27,91.916664,93.166664
2359.hk,S7,98.431999,3,2020-08-14,91.833336,93.333336
2359.hk,S7,98.431999,4,2020-08-18,92.916664,95.5
2359.hk,S7,98.431999,5,2020-09-01,93.333336,93.416664
2359.hk,S7,98.431999,6,2020-10-19,93.75,94.833336
2359.hk,S7,98.431999,7,2020-11-19,99.25,102.5
2359.hk,S7,98.431999,8,2020-11-25,94.25,94.833336
2359.hk,S7,98.431999,9,2022-02-10,88.199997,95.449997
2359.hk,S7,98.431999,10,2022-02-15,90.699997,101.699997
2359.hk,S7,98.431999,11,2022-03-09,92.0,97.900002
2359.hk,S7,98.431999,12,2022-03-14,92.599998,93.25
2359.hk,S7,98.431999,13,2022-03-16,87.150002,100.0
2359.hk,S7,98.431999,14,2022-04-22,100.0,107.0
2359.hk,S7,98.431999,15,2022-05-10,90.0,95.75
2359.hk,S7,98.431999,16,2022-05-23,95.349998,95.75
2359.hk,S7,98.431999,17,2022-06-01,93.699997,95.0
2359.hk,S7,98.431999,18,2022-06-06,91.0,99.0
