ticker,support_id,support_mid,touch_seq,touch_date,touch_low,touch_close
bac,S1,56.163956,1,2025-12-18,53.77,54.259998
bac,S1,56.163956,2,2026-02-11,53.240002,53.849998
bac,S1,56.163956,3,2026-06-10,54.220001,54.540001
bac,S1,56.163956,4,2026-06-30,56.84,56.98
bac,S2,52.106109,1,2006-07-25,50.549999,50.810001
bac,S2,52.106109,2,2006-10-17,52.919998,53.68
bac,S2,52.106109,3,2006-10-19,52.830002,53.259998
bac,S2,52.106109,4,2006-10-24,53.119999,53.43
bac,S2,52.106109,5,2006-12-08,51.32,51.66
bac,S2,52.106109,6,2006-12-22,53.040001,53.349998
bac,S2,52.106109,7,2007-01-05,53.029999,53.240002
bac,S2,52.106109,8,2007-01-29,51.349998,51.459999
bac,S2,52.106109,9,2007-02-09,52.66,52.990002
bac,S2,52.106109,10,2007-02-27,49.0,50.799999
bac,S2,52.106109,11,2007-03-13,49.259998,49.459999
bac,S2,52.106109,12,2007-04-02,50.119999,50.43
bac,S2,52.106109,13,2007-04-11,50.310001,50.509998
bac,S2,52.106109,14,2007-04-23,50.32,50.509998
bac,S2,52.106109,15,2007-04-26,50.650002,50.720001
bac,S2,52.106109,16,2007-05-10,50.540001,50.580002
bac,S2,52.106109,17,2007-08-27,50.759998,50.869999
bac,S2,52.106109,18,2007-08-31,50.529999,50.68
bac,S2,52.106109,19,2007-09-24,50.5,50.59
bac,S2,52.106109,20,2007-10-16,49.970001,50.200001
bac,S2,52.106109,21,2025-09-15,50.459999,50.59
bac,S2,52.106109,22,2025-10-01,50.560001,50.68
bac,S2,52.106109,23,2025-10-06,49.889999,50.389999
bac,S2,52.106109,24,2025-10-16,50.0,50.439999
bac,S2,52.106109,25,2025-11-20,50.970001,51.0
bac,S2,52.106109,26,2025-12-02,52.970001,53.189999
bac,S2,52.106109,27,2026-01-23,51.380001,51.720001
bac,S2,52.106109,28,2026-02-23,50.889999,51.07
bac,S2,52.106109,29,2026-02-27,49.32,49.830002
bac,S2,52.106109,30,2026-04-08,51.369999,51.880001
bac,S2,52.106109,31,2026-04-24,51.93,52.049999
bac,S2,52.106109,32,2026-05-11,50.27,50.549999
bac,S2,52.106109,33,2026-05-19,50.380001,50.700001
bac,S3,49.175243,1,2006-06-13,46.75,47.07
bac,S3,49.175243,2,2006-07-13,47.900002,47.98
bac,S3,49.175243,3,2007-02-27,49.0,50.799999
bac,S3,49.175243,4,2007-03-05,49.560001,49.639999
bac,S3,49.175243,5,2007-03-13,49.259998,49.459999
bac,S3,49.175243,6,2007-04-02,50.119999,50.43
bac,S3,49.175243,7,2007-04-12,50.060001,50.279999
bac,S3,49.175243,8,2007-07-23,48.02,48.150002
bac,S3,49.175243,9,2007-07-25,46.900002,47.93
bac,S3,49.175243,10,2007-07-27,47.349998,47.41
bac,S3,49.175243,11,2007-07-31,47.389999,47.419998
bac,S3,49.175243,12,2007-08-14,47.799999,47.860001
bac,S3,49.175243,13,2007-08-28,49.650002,49.66
bac,S3,49.175243,14,2007-09-10,48.599998,48.959999
bac,S3,49.175243,15,2007-09-25,49.919998,50.220001
bac,S3,49.175243,16,2007-10-19,47.540001,47.57
bac,S3,49.175243,17,2007-10-23,47.240002,47.779999
bac,S3,49.175243,18,2007-10-29,47.669998,47.98
bac,S3,49.175243,19,2007-10-31,47.330002,48.279999
bac,S3,49.175243,20,2021-10-26,47.439999,47.959999
bac,S3,49.175243,21,2021-11-02,47.349998,47.880001
bac,S3,49.175243,22,2022-01-05,47.16,47.18
bac,S3,49.175243,23,2022-01-14,47.189999,47.91
bac,S3,49.175243,24,2022-02-11,47.5,47.919998
bac,S3,49.175243,25,2025-07-01,46.939999,48.150002
bac,S3,49.175243,26,2025-07-29,47.889999,47.950001
