ticker,support_id,support_mid,touch_seq,touch_date,touch_low,touch_close
cat,S1,851.579203,1,2026-04-27,816.719971,828.789978
cat,S1,851.579203,2,2026-04-30,850.799988,890.109985
cat,S1,851.579203,3,2026-05-19,845.549988,860.150024
cat,S1,851.579203,4,2026-06-01,853.369995,865.359985
cat,S1,851.579203,5,2026-06-10,854.72998,856.159973
cat,S1,851.579203,6,2026-07-20,861.27002,864.299988
cat,S1,851.579203,7,2026-07-28,824.0,840.849976
cat,S1,851.579203,8,2026-07-31,807.309998,814.809998
cat,S1,851.579203,9,2026-08-19,805.679993,816.150024
cat,S2,770.051046,1,2026-02-18,750.380005,751.969971
cat,S2,770.051046,2,2026-04-08,753.099976,771.580017
cat,S2,770.051046,3,2026-04-15,756.650024,770.169983
cat,S2,770.051046,4,2026-07-29,776.0,782.710022
cat,S3,938.379211,1,2026-05-07,886.880005,895.690002
cat,S3,938.379211,2,2026-05-11,895.059998,926.789978
cat,S3,938.379211,3,2026-05-13,897.380005,902.299988
cat,S3,938.379211,4,2026-06-05,901.5,904.280029
cat,S3,938.379211,5,2026-06-15,928.5,933.929993
cat,S3,938.379211,6,2026-07-02,948.780029,963.530029
cat,S3,938.379211,7,2026-07-15,890.400024,914.299988
cat,S4,684.391683,1,2026-01-30,650.309998,657.359985
cat,S4,684.391683,2,2026-03-06,675.070007,680.900024
cat,S4,684.391683,3,2026-03-20,670.440002,680.880005
cat,S4,684.391683,4,2026-03-30,664.570007,667.429993
cat,S5,633.536316,1,2025-12-12,595.780029,597.890015
cat,S5,633.536316,2,2026-01-07,595.780029,596.52002
cat,S5,633.536316,3,2026-01-23,623.570007,626.619995
cat,S6,596.16684,1,2025-10-31,571.349976,577.26001
cat,S6,596.16684,2,2025-12-17,557.460022,561.890015
cat,S6,596.16684,3,2025-12-22,575.690002,582.409973
cat,S6,596.16684,4,2026-01-02,575.309998,598.409973
cat,S6,596.16684,5,2026-01-07,595.780029,596.52002
cat,S7,554.802155,1,2025-10-16,534.700012,540.960022
cat,S7,554.802155,2,2025-10-29,558.0,585.48999
cat,S7,554.802155,3,2025-11-04,545.200012,547.580017
cat,S7,554.802155,4,2025-11-20,541.0,546.130005
cat,S7,554.802155,5,2025-12-03,562.210022,591.48999
cat,S7,554.802155,6,2025-12-17,557.460022,561.890015
cat,S8,412.764465,1,2024-11-07,407.540009,408.209991
cat,S8,412.764465,2,2024-12-03,396.600006,399.26001
cat,S8,412.764465,3,2025-01-23,397.269989,406.399994
cat,S8,412.764465,4,2025-07-15,403.019989,404.640015
cat,S8,412.764465,5,2025-08-15,407.100006,407.790009
cat,S8,412.764465,6,2025-09-03,411.369995,415.119995
cat,S9,374.322108,1,2024-04-01,362.640015,363.73999
cat,S9,374.322108,2,2024-04-15,362.109985,363.910004
cat,S9,374.322108,3,2024-09-20,365.839996,368.820007
cat,S9,374.322108,4,2024-10-31,372.75,376.200012
cat,S9,374.322108,5,2024-11-20,378.470001,381.5
cat,S9,374.322108,6,2024-12-19,360.01001,360.369995
cat,S9,374.322108,7,2024-12-27,361.75,364.859985
cat,S9,374.322108,8,2025-01-02,358.089996,359.769989
cat,S9,374.322108,9,2025-01-06,362.579987,364.200012
cat,S9,374.322108,10,2025-01-14,365.179993,371.570007
cat,S9,374.322108,11,2025-02-03,359.690002,361.549988
cat,S9,374.322108,12,2025-06-23,357.730011,366.230011
cat,S10,342.636328,1,2024-03-05,331.73999,333.529999
cat,S10,342.636328,2,2024-03-20,348.140015,356.450012
cat,S10,342.636328,3,2024-05-01,330.73999,331.070007
cat,S10,342.636328,4,2024-06-03,325.75,331.359985
cat,S10,342.636328,5,2024-07-12,333.429993,335.589996
cat,S10,342.636328,6,2024-08-01,328.079987,331.519989
cat,S10,342.636328,7,2024-08-12,333.600006,336.029999
cat,S10,342.636328,8,2024-09-06,328.119995,329.359985
cat,S10,342.636328,9,2024-09-12,333.679993,339.579987
cat,S10,342.636328,10,2025-03-03,330.029999,332.040009
cat,S10,342.636328,11,2025-03-28,328.049988,329.690002
cat,S10,342.636328,12,2025-05-21,341.649994,342.51001
cat,S11,318.134861,1,2024-02-13,310.790009,312.839996
cat,S11,318.134861,2,2024-06-07,323.720001,328.940002
cat,S11,318.134861,3,2024-06-11,323.730011,327.309998
cat,S11,318.134861,4,2024-06-14,315.850006,321.470001
cat,S11,318.134861,5,2024-06-26,323.779999,326.730011
cat,S11,318.134861,6,2024-07-10,321.640015,328.480011
cat,S11,318.134861,7,2024-08-05,307.049988,316.799988
cat,S11,318.134861,8,2025-03-04,318.679993,326.75
cat,S11,318.134861,9,2025-03-31,322.0,329.799988
cat,S11,318.134861,10,2025-04-30,302.179993,309.269989
cat,S12,276.789429,1,2023-08-01,270.5,288.649994
cat,S12,276.789429,2,2023-08-04,275.359985,276.440002
cat,S12,276.789429,3,2023-08-10,281.190002,283.820007
cat,S12,276.789429,4,2023-08-24,269.200012,269.299988
cat,S12,276.789429,5,2023-10-03,267.540009,268.970001
cat,S12,276.789429,6,2023-10-13,266.100006,267.940002
cat,S12,276.789429,7,2023-12-14,270.549988,285.170013
cat,S12,276.789429,8,2024-01-17,276.940002,278.630005
cat,S12,276.789429,9,2025-04-08,268.269989,273.940002
