ticker,support_id,support_mid,touch_seq,touch_date,touch_low,touch_close
crwd,S1,184.855003,1,2026-05-29,168.735001,182.75
crwd,S1,184.855003,2,2026-06-29,176.029999,185.727493
crwd,S1,184.855003,3,2026-07-06,188.550003,199.380005
crwd,S1,184.855003,4,2026-07-10,186.479996,187.179993
crwd,S1,184.855003,5,2026-07-29,176.460007,179.380005
crwd,S1,184.855003,6,2026-08-24,188.429993,190.679993
crwd,S2,171.214996,1,2026-05-22,162.399994,165.865005
crwd,S2,171.214996,2,2026-05-28,160.380005,167.75
crwd,S2,171.214996,3,2026-06-08,163.002502,164.697495
crwd,S2,171.214996,4,2026-06-24,167.25,168.255005
crwd,S2,171.214996,5,2026-07-28,174.139999,181.800003
crwd,S3,132.853333,1,2025-10-23,124.995003,130.494995
crwd,S3,132.853333,2,2025-11-06,129.274994,133.130005
crwd,S3,132.853333,3,2025-11-20,125.032501,125.327499
crwd,S3,132.853333,4,2025-12-05,127.080002,128.007507
crwd,S3,132.853333,5,2026-05-08,123.082497,131.942505
crwd,S4,120.494444,1,2025-05-29,113.356247,114.702499
crwd,S4,120.494444,2,2025-06-06,115.779999,117.102501
crwd,S4,120.494444,3,2025-06-20,118.572502,119.074997
crwd,S4,120.494444,4,2025-07-01,120.375,123.017502
crwd,S4,120.494444,5,2025-07-17,116.735001,117.457497
crwd,S4,120.494444,6,2025-09-18,115.529999,125.657501
crwd,S4,120.494444,7,2025-09-25,117.25,118.272499
crwd,S4,120.494444,8,2025-10-03,121.574997,122.470001
crwd,S4,120.494444,9,2025-10-07,119.129997,121.154999
crwd,S4,120.494444,10,2025-10-16,118.847,120.557503
crwd,S4,120.494444,11,2025-11-21,119.387497,122.667503
crwd,S4,120.494444,12,2025-12-03,121.574997,131.042496
crwd,S4,120.494444,13,2026-01-02,112.363747,113.394997
crwd,S4,120.494444,14,2026-01-08,115.157501,115.967499
crwd,S4,120.494444,15,2026-01-14,112.940002,115.175003
crwd,S4,120.494444,16,2026-01-28,117.227501,117.297501
crwd,S4,120.494444,17,2026-05-06,114.364998,117.017502
crwd,S5,112.545833,1,2025-02-20,104.577499,109.035004
crwd,S5,112.545833,2,2025-05-02,108.599998,110.144997
crwd,S5,112.545833,3,2025-05-14,107.815002,108.985001
crwd,S5,112.545833,4,2025-05-21,108.014999,108.684998
crwd,S5,112.545833,5,2025-05-29,113.356247,114.702499
crwd,S5,112.545833,6,2025-06-04,111.315002,115.139999
crwd,S5,112.545833,7,2025-06-09,114.531998,116.097504
crwd,S5,112.545833,8,2025-07-23,113.510002,115.379997
crwd,S5,112.545833,9,2025-08-07,105.5,106.25
crwd,S5,112.545833,10,2025-08-29,105.097504,105.925003
crwd,S5,112.545833,11,2025-09-12,108.75,109.025002
crwd,S5,112.545833,12,2026-01-02,112.363747,113.394997
