ticker,support_id,support_mid,touch_seq,touch_date,touch_low,touch_close
mcd,S1,266.465445,1,2022-01-14,257.160004,257.709991
mcd,S1,266.465445,2,2022-02-07,259.170013,259.850006
mcd,S1,266.465445,3,2022-08-04,258.690002,260.640015
mcd,S1,266.465445,4,2022-08-26,256.390015,256.950012
mcd,S1,266.465445,5,2022-10-27,262.26001,265.109985
mcd,S1,266.465445,6,2022-11-15,266.339996,267.839996
mcd,S1,266.465445,7,2022-12-07,269.670013,270.339996
mcd,S1,266.465445,8,2023-01-05,261.380005,262.160004
mcd,S1,266.465445,9,2023-02-09,260.190002,260.660004
mcd,S1,266.465445,10,2023-10-02,257.459991,257.75
mcd,S1,266.465445,11,2023-10-19,256.26001,258.380005
mcd,S1,266.465445,12,2023-10-30,254.600006,260.149994
mcd,S1,266.465445,13,2024-04-16,265.149994,265.429993
mcd,S1,266.465445,14,2024-04-26,270.369995,273.089996
mcd,S1,266.465445,15,2024-04-30,262.630005,273.040009
mcd,S1,266.465445,16,2024-05-07,266.98999,267.5
mcd,S1,266.465445,17,2024-05-23,257.600006,257.929993
mcd,S1,266.465445,18,2024-06-07,255.339996,256.209991
mcd,S1,266.465445,19,2024-07-18,257.600006,259.519989
mcd,S1,266.465445,20,2024-07-29,250.229996,261.420013
mcd,S1,266.465445,21,2026-06-25,264.529999,264.540009
mcd,S1,266.465445,22,2026-07-23,260.959991,262.799988
mcd,S1,266.465445,23,2026-08-10,270.359985,273.720001
mcd,S1,266.465445,24,2026-08-17,265.140015,265.529999
mcd,S2,289.93043,1,2023-04-05,281.779999,282.019989
mcd,S2,289.93043,2,2023-04-10,281.98999,283.779999
mcd,S2,289.93043,3,2023-08-17,281.779999,281.859985
mcd,S2,289.93043,4,2023-08-24,281.73999,282.350006
mcd,S2,289.93043,5,2023-09-14,282.570007,284.76001
mcd,S2,289.93043,6,2023-12-08,285.049988,285.529999
mcd,S2,289.93043,7,2024-02-06,281.540009,284.649994
mcd,S2,289.93043,8,2024-03-13,282.600006,282.859985
mcd,S2,289.93043,9,2024-03-15,278.380005,279.140015
mcd,S2,289.93043,10,2024-03-22,282.119995,282.630005
