ticker,support_id,support_mid,touch_seq,touch_date,touch_low,touch_close
ms,S1,208.141731,1,2026-05-28,199.679993,203.789993
ms,S1,208.141731,2,2026-06-30,208.179993,209.039993
ms,S1,208.141731,3,2026-07-20,210.350006,210.940002
ms,S1,208.141731,4,2026-07-29,202.940002,203.130005
ms,S1,208.141731,5,2026-08-07,211.809998,216.330002
ms,S2,188.883144,1,2026-01-13,182.149994,182.759995
ms,S2,188.883144,2,2026-01-20,181.279999,182.100006
ms,S2,188.883144,3,2026-04-29,185.25,187.080002
ms,S2,188.883144,4,2026-05-19,188.940002,189.580002
ms,S3,173.323896,1,2025-11-13,165.169998,165.610001
ms,S3,173.323896,2,2025-11-28,167.759995,169.660004
ms,S3,173.323896,3,2025-12-02,168.690002,169.089996
ms,S3,173.323896,4,2025-12-18,172.580002,172.960007
ms,S3,173.323896,5,2026-02-05,173.25,175.839996
ms,S3,173.323896,6,2026-02-27,164.399994,166.509995
ms,S3,173.323896,7,2026-04-08,174.490005,176.020004
ms,S4,155.228186,1,2025-09-09,148.350006,152.220001
ms,S4,155.228186,2,2025-09-24,157.839996,157.880005
ms,S4,155.228186,3,2025-10-10,151.839996,151.860001
ms,S4,155.228186,4,2025-10-17,157.850006,158.669998
ms,S4,155.228186,5,2025-10-22,157.220001,158.119995
ms,S4,155.228186,6,2025-11-07,158.059998,162.360001
ms,S4,155.228186,7,2025-11-18,157.789993,159.830002
ms,S4,155.228186,8,2025-11-21,155.229996,158.169998
ms,S4,155.228186,9,2026-03-06,155.350006,160.270004
ms,S4,155.228186,10,2026-03-12,152.800003,154.369995
ms,S4,155.228186,11,2026-03-30,157.220001,158.369995
ms,S5,144.989833,1,2025-07-08,141.020004,141.130005
ms,S5,144.989833,2,2025-07-21,140.179993,140.470001
ms,S5,144.989833,3,2025-07-23,139.929993,142.210007
ms,S5,144.989833,4,2025-08-05,139.410004,140.460007
ms,S5,144.989833,5,2025-08-07,140.600006,140.919998
ms,S5,144.989833,6,2025-09-03,146.940002,148.529999
ms,S5,144.989833,7,2025-09-05,146.289993,148.089996
ms,S6,134.407266,1,2024-11-06,127.660004,131.490005
ms,S6,134.407266,2,2024-12-03,130.009995,130.440002
ms,S6,134.407266,3,2025-01-16,131.899994,135.809998
ms,S6,134.407266,4,2025-02-04,136.289993,136.770004
ms,S6,134.407266,5,2025-02-13,136.350006,136.839996
ms,S6,134.407266,6,2025-02-24,128.899994,129.970001
ms,S6,134.407266,7,2025-03-03,127.730003,129.130005
ms,S6,134.407266,8,2025-05-19,129.070007,130.839996
ms,S6,134.407266,9,2025-06-11,131.419998,131.809998
ms,S6,134.407266,10,2025-06-16,130.289993,130.899994
ms,S6,134.407266,11,2025-06-18,129.929993,132.520004
ms,S6,134.407266,12,2025-07-16,135.259995,139.789993
ms,S6,134.407266,13,2025-08-01,136.169998,139.089996
ms,S7,122.594447,1,2024-10-21,117.879997,118.279999
ms,S7,122.594447,2,2024-12-19,120.300003,120.5
ms,S7,122.594447,3,2024-12-30,124.019997,125.75
ms,S7,122.594447,4,2025-01-02,124.209999,124.779999
ms,S7,122.594447,5,2025-01-10,123.290001,123.449997
ms,S7,122.594447,6,2025-03-06,118.599998,119.370003
ms,S7,122.594447,7,2025-03-19,116.230003,119.849998
ms,S7,122.594447,8,2025-05-05,118.389999,119.599998
ms,S7,122.594447,9,2025-05-09,121.470001,121.699997
ms,S7,122.594447,10,2025-05-23,123.879997,126.07
ms,S8,110.476418,1,2000-08-31,104.5625,107.578125
ms,S8,110.476418,2,2000-09-06,106.0,106.1875
ms,S8,110.476418,3,2000-09-12,106.125,107.9375
ms,S8,110.476418,4,2022-02-11,103.82,104.57
ms,S8,110.476418,5,2024-10-07,107.269997,107.639999
ms,S8,110.476418,6,2024-10-10,107.650002,108.080002
ms,S8,110.476418,7,2025-03-13,111.230003,111.68
ms,S8,110.476418,8,2025-03-31,112.18,116.669998
ms,S8,110.476418,9,2025-04-03,106.879997,107.93
ms,S8,110.476418,10,2025-04-21,104.779999,106.300003
ms,S8,110.476418,11,2025-04-30,112.029999,115.419998
ms,S9,102.404861,1,2000-08-16,96.875,98.5
ms,S9,102.404861,2,2000-09-07,104.25,105.0
ms,S9,102.404861,3,2000-09-15,97.5625,98.5
ms,S9,102.404861,4,2021-08-19,98.709999,99.730003
ms,S9,102.404861,5,2021-09-30,96.25,97.309998
ms,S9,102.404861,6,2021-10-04,96.970001,97.150002
ms,S9,102.404861,7,2021-10-11,97.209999,97.290001
ms,S9,102.404861,8,2021-11-04,98.169998,99.790001
