ticker,support_id,support_mid,touch_seq,touch_date,touch_low,touch_close
nke,S1,38.957193,1,2013-10-22,37.759998,37.98
nke,S1,38.957193,2,2013-10-25,37.674999,37.849998
nke,S1,38.957193,3,2013-10-30,37.974998,38.064999
nke,S1,38.957193,4,2013-11-07,37.830002,37.849998
nke,S1,38.957193,5,2014-01-13,37.5,37.59
nke,S1,38.957193,6,2014-03-21,37.5,37.605
nke,S1,38.957193,7,2014-06-03,37.740002,37.775002
nke,S1,38.957193,8,2014-06-19,37.605,37.82
nke,S1,38.957193,9,2014-08-07,37.990002,38.174999
nke,S1,38.957193,10,2014-08-29,39.134998,39.275002
nke,S1,38.957193,11,2014-09-25,39.634998,39.875
nke,S1,38.957193,12,2026-08-17,38.860001,39.09
nke,S2,42.34374,1,2014-10-14,42.419998,42.544998
nke,S2,42.34374,2,2026-04-02,43.169998,44.189999
nke,S2,42.34374,3,2026-04-10,42.400002,42.619999
nke,S2,42.34374,4,2026-05-05,42.650002,43.060001
nke,S2,42.34374,5,2026-05-15,41.84,41.880001
nke,S2,42.34374,6,2026-06-05,42.790001,42.98
nke,S2,42.34374,7,2026-06-25,40.439999,40.900002
nke,S2,42.34374,8,2026-06-30,40.889999,41.049999
nke,S2,42.34374,9,2026-07-09,42.130001,42.779999
nke,S2,42.34374,10,2026-07-15,42.48,42.77
nke,S2,42.34374,11,2026-07-23,40.689999,40.990002
nke,S3,46.039932,1,2014-09-30,44.200001,44.599998
nke,S3,46.039932,2,2014-10-06,44.279999,44.610001
nke,S3,46.039932,3,2014-10-22,44.904999,44.93
nke,S3,46.039932,4,2014-11-07,46.77,46.889999
nke,S3,46.039932,5,2014-12-16,46.485001,46.605
nke,S3,46.039932,6,2014-12-19,46.415001,47.419998
nke,S3,46.039932,7,2015-01-06,46.035,46.474998
nke,S3,46.039932,8,2015-01-15,46.285,46.404999
nke,S3,46.039932,9,2015-02-09,45.345001,45.584999
nke,S3,46.039932,10,2026-04-01,44.560001,44.630001
nke,S3,46.039932,11,2026-04-29,44.150002,44.389999
nke,S3,46.039932,12,2026-06-02,43.509998,43.73
nke,S3,46.039932,13,2026-06-09,43.27,44.650002
nke,S3,46.039932,14,2026-06-17,44.16,44.189999
nke,S4,34.404699,1,2013-09-11,33.41,33.794998
nke,S4,34.404699,2,2013-10-08,35.09,35.139999
nke,S4,34.404699,3,2014-02-05,34.924999,35.299999
nke,S5,49.523948,1,2014-12-12,48.084999,48.084999
nke,S5,49.523948,2,2014-12-18,47.529999,48.540001
nke,S5,49.523948,3,2014-12-31,48.02,48.075001
nke,S5,49.523948,4,2015-02-25,47.709999,48.41
nke,S5,49.523948,5,2015-03-11,47.59,47.669998
nke,S5,49.523948,6,2015-03-18,47.805,48.755001
nke,S5,49.523948,7,2015-04-17,49.07,49.275002
nke,S5,49.523948,8,2015-06-09,50.389999,50.674999
nke,S5,49.523948,9,2015-08-24,47.25,51.935001
nke,S5,49.523948,10,2016-11-01,49.139999,49.619999
nke,S5,49.523948,11,2016-11-15,49.75,50.130001
nke,S5,49.523948,12,2016-11-30,50.07,50.07
nke,S5,49.523948,13,2016-12-06,50.259998,50.57
nke,S5,49.523948,14,2016-12-19,50.48,50.849998
nke,S5,49.523948,15,2017-10-12,50.349998,50.830002
nke,S6,32.733097,1,2013-05-01,31.6,31.68
nke,S6,32.733097,2,2013-05-07,31.905001,31.955
nke,S6,32.733097,3,2013-05-09,31.825001,31.870001
nke,S6,32.733097,4,2013-08-14,32.115002,32.174999
nke,S6,32.733097,5,2013-08-16,31.67,31.825001
nke,S6,32.733097,6,2013-09-03,31.75,32.145
nke,S7,53.093861,1,2015-05-26,51.59,51.709999
nke,S7,53.093861,2,2015-06-12,51.605,51.889999
nke,S7,53.093861,3,2015-06-16,51.720001,52.279999
nke,S7,53.093861,4,2015-06-29,53.830002,53.834999
nke,S7,53.093861,5,2015-08-25,51.740002,51.764999
nke,S7,53.093861,6,2015-09-01,54.014999,54.314999
nke,S7,53.093861,7,2016-02-08,53.639999,55.040001
nke,S7,53.093861,8,2016-06-01,52.919998,54.93
nke,S7,53.093861,9,2016-06-03,53.400002,53.450001
nke,S7,53.093861,10,2016-06-14,54.080002,54.119999
nke,S7,53.093861,11,2016-06-16,52.939999,53.470001
nke,S7,53.093861,12,2016-06-27,51.48,51.889999
nke,S7,53.093861,13,2016-10-14,51.619999,51.619999
nke,S7,53.093861,14,2016-12-05,50.700001,51.849998
nke,S7,53.093861,15,2016-12-08,51.450001,51.549999
nke,S7,53.093861,16,2016-12-15,51.09,51.290001
nke,S7,53.093861,17,2016-12-27,51.200001,51.290001
nke,S7,53.093861,18,2017-01-03,51.77,51.98
nke,S7,53.093861,19,2017-03-22,53.759998,53.919998
nke,S7,53.093861,20,2017-05-05,53.560001,53.950001
nke,S7,53.093861,21,2017-05-18,51.299999,51.68
nke,S7,53.093861,22,2017-05-24,51.740002,52.009998
