ticker,support_id,support_mid,touch_seq,touch_date,touch_low,touch_close
sofi,S1,18.2775,1,2021-01-08,17.889999,18.74
sofi,S1,18.2775,2,2021-01-12,18.25,18.450001
sofi,S1,18.2775,3,2021-01-27,17.9,18.18
sofi,S1,18.2775,4,2021-02-23,16.84,20.120001
sofi,S1,18.2775,5,2021-02-26,17.767,18.43
sofi,S1,18.2775,6,2021-03-03,17.1,17.219999
sofi,S1,18.2775,7,2021-03-09,16.549999,17.48
sofi,S1,18.2775,8,2021-03-23,17.27,17.9
sofi,S1,18.2775,9,2021-04-12,16.85,17.0
sofi,S1,18.2775,10,2021-05-20,17.75,18.4
sofi,S1,18.2775,11,2021-06-25,18.5,18.5
sofi,S1,18.2775,12,2021-07-06,17.219999,17.35
sofi,S1,18.2775,13,2021-09-27,16.85,17.700001
sofi,S1,18.2775,14,2021-10-11,16.83,18.389999
sofi,S1,18.2775,15,2021-11-30,17.129999,17.200001
sofi,S1,18.2775,16,2025-01-22,17.264999,17.59
sofi,S1,18.2775,17,2025-07-01,17.35,17.639999
sofi,S1,18.2775,18,2026-02-23,17.58,18.219999
sofi,S1,18.2775,19,2026-03-18,17.16,17.18
sofi,S1,18.2775,20,2026-04-14,17.4,17.91
sofi,S1,18.2775,21,2026-04-23,17.93,18.32
sofi,S1,18.2775,22,2026-06-02,17.459999,17.74
sofi,S1,18.2775,23,2026-06-22,17.07,17.1
sofi,S1,18.2775,24,2026-06-24,17.18,17.309999
sofi,S1,18.2775,25,2026-07-07,17.700001,17.75
sofi,S1,18.2775,26,2026-07-16,17.219999,17.32
sofi,S1,18.2775,27,2026-08-12,17.65,17.940001
sofi,S2,17.441667,1,2021-01-07,12.05,19.139999
sofi,S2,17.441667,2,2021-02-23,16.84,20.120001
sofi,S2,17.441667,3,2021-02-26,17.767,18.43
sofi,S2,17.441667,4,2021-03-04,14.75,16.059999
sofi,S2,17.441667,5,2021-03-17,17.5,19.15
sofi,S2,17.441667,6,2021-03-19,17.059999,18.25
sofi,S2,17.441667,7,2021-03-24,16.25,16.48
sofi,S2,17.441667,8,2021-03-26,16.52,17.1
sofi,S2,17.441667,9,2021-03-30,15.9,16.5
sofi,S2,17.441667,10,2021-04-14,16.459999,16.68
sofi,S2,17.441667,11,2021-05-03,16.18,16.370001
sofi,S2,17.441667,12,2021-05-10,16.27,16.370001
sofi,S2,17.441667,13,2021-05-18,15.8,16.799999
sofi,S2,17.441667,14,2021-06-28,17.65,19.26
