ticker,support_id,support_mid,touch_seq,touch_date,touch_low,touch_close
wmt,S1,100.813685,1,2025-01-31,97.699997,98.160004
wmt,S1,100.813685,2,2025-02-20,96.68,97.209999
wmt,S1,100.813685,3,2025-05-08,97.360001,97.43
wmt,S1,100.813685,4,2025-05-16,96.0,98.239998
wmt,S1,100.813685,5,2025-05-20,96.519997,97.800003
wmt,S1,100.813685,6,2025-06-05,97.610001,97.959999
wmt,S1,100.813685,7,2025-06-24,97.25,98.0
wmt,S1,100.813685,8,2025-07-01,97.419998,98.239998
wmt,S1,100.813685,9,2025-07-08,96.510002,97.089996
wmt,S1,100.813685,10,2025-07-30,97.290001,97.589996
wmt,S1,100.813685,11,2025-08-01,97.669998,98.489998
wmt,S1,100.813685,12,2025-08-22,96.760002,96.830002
wmt,S1,100.813685,13,2025-09-03,97.5,99.440002
wmt,S1,100.813685,14,2025-10-02,99.870003,101.699997
wmt,S1,100.813685,15,2025-11-19,99.68,100.610001
wmt,S2,111.133924,1,2025-10-16,105.660004,106.470001
wmt,S2,111.133924,2,2025-11-26,107.169998,109.099998
wmt,S2,111.133924,3,2025-12-10,112.989998,113.18
wmt,S2,111.133924,4,2025-12-23,110.699997,110.900002
wmt,S2,111.133924,5,2026-06-02,112.730003,113.059998
wmt,S2,111.133924,6,2026-07-01,107.25,108.82
wmt,S2,111.133924,7,2026-07-15,112.07,112.529999
wmt,S2,111.133924,8,2026-07-22,108.720001,109.330002
wmt,S2,111.133924,9,2026-07-24,108.010002,109.470001
wmt,S3,94.236817,1,2024-12-20,91.629997,92.239998
wmt,S3,94.236817,2,2024-12-24,90.349998,92.68
wmt,S3,94.236817,3,2025-01-06,90.669998,91.43
wmt,S3,94.236817,4,2025-01-13,91.099998,91.529999
wmt,S3,94.236817,5,2025-01-21,92.309998,93.080002
wmt,S3,94.236817,6,2025-02-24,92.120003,93.669998
wmt,S3,94.236817,7,2025-03-07,90.760002,91.720001
wmt,S3,94.236817,8,2025-04-16,90.610001,91.190002
wmt,S3,94.236817,9,2025-05-13,95.230003,95.879997
wmt,S3,94.236817,10,2025-05-22,95.82,95.93
wmt,S3,94.236817,11,2025-06-17,93.620003,94.25
wmt,S3,94.236817,12,2025-06-26,95.919998,96.019997
wmt,S3,94.236817,13,2025-07-11,94.230003,94.400002
wmt,S3,94.236817,14,2025-08-26,95.419998,96.050003
wmt,S4,121.861199,1,2026-01-22,117.650002,117.830002
wmt,S4,121.861199,2,2026-02-02,119.050003,124.059998
wmt,S4,121.861199,3,2026-02-20,121.050003,122.989998
wmt,S4,121.861199,4,2026-02-26,123.940002,124.419998
wmt,S4,121.861199,5,2026-03-05,121.650002,123.309998
wmt,S4,121.861199,6,2026-03-20,118.019997,119.019997
wmt,S4,121.861199,7,2026-04-07,121.790001,122.489998
wmt,S4,121.861199,8,2026-04-13,123.949997,124.57
wmt,S4,121.861199,9,2026-05-27,118.040001,118.540001
wmt,S4,121.861199,10,2026-06-04,117.290001,117.739998
wmt,S5,88.715988,1,2024-11-19,85.910004,86.599998
wmt,S5,88.715988,2,2024-12-23,88.910004,90.349998
wmt,S5,88.715988,3,2025-01-02,89.519997,90.0
wmt,S5,88.715988,4,2025-01-07,90.449997,90.809998
wmt,S5,88.715988,5,2025-01-16,90.120003,91.300003
wmt,S5,88.715988,6,2025-03-12,84.879997,85.199997
wmt,S5,88.715988,7,2025-03-18,85.5,85.589996
wmt,S5,88.715988,8,2025-03-20,85.519997,85.809998
wmt,S5,88.715988,9,2025-03-25,84.620003,84.760002
wmt,S5,88.715988,10,2025-04-04,82.650002,83.190002
wmt,S5,88.715988,11,2025-04-08,81.029999,81.790001
wmt,S6,127.457921,1,2026-02-10,126.389999,126.699997
wmt,S6,127.457921,2,2026-02-19,124.400002,124.870003
wmt,S6,127.457921,3,2026-03-05,121.650002,123.309998
wmt,S6,127.457921,4,2026-03-11,123.050003,123.489998
wmt,S6,127.457921,5,2026-04-07,121.790001,122.489998
