ticker,support_id,support_mid,touch_seq,touch_date,touch_low,touch_close
xle,S1,58.091032,1,2026-03-03,56.049999,56.52
xle,S1,58.091032,2,2026-03-09,55.939999,56.32
xle,S1,58.091032,3,2026-03-11,55.540001,56.98
xle,S1,58.091032,4,2026-03-23,57.66,59.630001
xle,S1,58.091032,5,2026-04-01,58.360001,58.970001
xle,S1,58.091032,6,2026-04-10,56.400002,56.939999
xle,S1,58.091032,7,2026-04-23,56.470001,56.98
xle,S1,58.091032,8,2026-04-27,56.630001,56.77
xle,S1,58.091032,9,2026-05-11,56.240002,57.169998
xle,S1,58.091032,10,2026-05-28,56.68,56.950001
xle,S1,58.091032,11,2026-06-11,57.060001,57.119999
xle,S1,58.091032,12,2026-07-15,55.759998,56.5
xle,S1,58.091032,13,2026-08-05,57.209999,57.310001
xle,S2,54.325718,1,2026-02-06,52.360001,53.25
xle,S2,54.325718,2,2026-03-04,55.330002,56.189999
xle,S2,54.325718,3,2026-03-10,55.369999,55.599998
xle,S2,54.325718,4,2026-04-15,55.27,55.759998
xle,S2,54.325718,5,2026-04-17,53.41,55.02
xle,S2,54.325718,6,2026-05-07,55.130001,55.950001
xle,S2,54.325718,7,2026-07-01,52.619999,52.810001
xle,S3,43.858927,1,2008-06-03,42.299999,42.325001
xle,S3,43.858927,2,2008-07-03,41.794998,42.450001
xle,S3,43.858927,3,2013-12-11,42.435001,42.525002
xle,S3,43.858927,4,2013-12-16,42.674999,42.935001
xle,S3,43.858927,5,2014-01-13,42.544998,42.584999
xle,S3,43.858927,6,2014-02-14,42.43,43.014999
xle,S3,43.858927,7,2014-04-11,44.110001,44.224998
xle,S3,43.858927,8,2014-10-09,42.25,42.369999
xle,S3,43.858927,9,2014-10-22,42.139999,42.165001
xle,S3,43.858927,10,2014-10-30,42.345001,42.84
xle,S3,43.858927,11,2014-11-26,42.575001,42.650002
xle,S3,43.858927,12,2022-05-25,42.209999,42.994999
xle,S3,43.858927,13,2022-06-13,41.205002,42.040001
xle,S3,43.858927,14,2022-10-21,42.369999,43.465
xle,S3,43.858927,15,2022-11-02,44.235001,44.34
xle,S3,43.858927,16,2022-11-09,44.165001,44.264999
xle,S3,43.858927,17,2022-11-21,43.645,45.195
xle,S3,43.858927,18,2022-11-28,44.525002,44.674999
xle,S3,43.858927,19,2022-12-08,42.134998,42.369999
xle,S3,43.858927,20,2022-12-14,42.580002,42.965
xle,S3,43.858927,21,2022-12-22,41.34,42.185001
xle,S3,43.858927,22,2023-01-05,42.005001,42.965
xle,S3,43.858927,23,2023-01-18,44.200001,44.244999
xle,S3,43.858927,24,2023-01-24,44.23,45.125
xle,S3,43.858927,25,2023-02-17,42.060001,42.244999
xle,S3,43.858927,26,2023-03-09,41.84,41.849998
xle,S3,43.858927,27,2023-04-06,42.404999,42.490002
xle,S3,43.858927,28,2023-04-24,42.34,43.139999
xle,S3,43.858927,29,2023-07-27,42.674999,42.794998
xle,S3,43.858927,30,2023-08-02,42.599998,42.965
xle,S3,43.858927,31,2023-09-21,44.505001,44.580002
xle,S3,43.858927,32,2023-10-05,42.259998,42.610001
xle,S3,43.858927,33,2023-10-27,42.169998,42.314999
xle,S3,43.858927,34,2023-11-01,42.435001,42.494999
xle,S3,43.858927,35,2023-12-20,42.150002,42.200001
xle,S3,43.858927,36,2023-12-27,42.509998,42.665001
xle,S3,43.858927,37,2024-01-04,42.279999,42.305
xle,S3,43.858927,38,2024-02-16,42.66,42.785
xle,S3,43.858927,39,2024-02-28,42.689999,42.860001
xle,S3,43.858927,40,2024-06-05,44.665001,44.939999
xle,S3,43.858927,41,2024-06-14,43.834999,44.02
xle,S3,43.858927,42,2024-06-24,44.689999,45.639999
xle,S3,43.858927,43,2024-07-09,44.200001,44.380001
xle,S3,43.858927,44,2024-08-05,42.735001,43.224998
xle,S3,43.858927,45,2024-08-20,44.32,44.34
xle,S3,43.858927,46,2024-08-28,44.685001,44.884998
