ticker,support_id,support_mid,touch_seq,touch_date,touch_low,touch_close
xlu,S1,45.303749,1,2025-11-20,43.98,44.009998
xlu,S1,45.303749,2,2025-12-02,43.884998,43.939999
xlu,S1,45.303749,3,2026-02-10,43.560001,44.200001
xlu,S1,45.303749,4,2026-02-18,45.509998,45.610001
xlu,S1,45.303749,5,2026-03-03,45.959999,47.07
xlu,S1,45.303749,6,2026-03-09,46.040001,46.849998
xlu,S1,45.303749,7,2026-03-11,46.0,46.169998
xlu,S1,45.303749,8,2026-03-20,44.43,44.650002
xlu,S1,45.303749,9,2026-04-22,44.709999,44.869999
xlu,S1,45.303749,10,2026-05-04,46.09,46.369999
xlu,S1,45.303749,11,2026-05-15,43.830002,43.869999
xlu,S1,45.303749,12,2026-05-19,43.619999,44.34
xlu,S1,45.303749,13,2026-06-03,43.68,43.709999
xlu,S1,45.303749,14,2026-06-05,43.970001,44.349998
xlu,S1,45.303749,15,2026-06-11,44.009998,44.049999
xlu,S2,42.623142,1,2025-09-08,41.150002,41.310001
xlu,S2,42.623142,2,2025-09-16,42.049999,42.07
xlu,S2,42.623142,3,2026-01-07,41.740002,41.869999
xlu,S2,42.623142,4,2026-06-01,43.07,43.099998
xlu,S2,42.623142,5,2026-06-04,43.34,43.939999
xlu,S2,42.623142,6,2026-06-08,43.470001,43.52
xlu,S2,42.623142,7,2026-08-10,43.060001,43.130001
xlu,S3,39.07939,1,2022-04-11,37.900002,37.955002
xlu,S3,39.07939,2,2022-04-18,37.66,37.84
xlu,S3,39.07939,3,2022-04-21,37.73,37.759998
xlu,S3,39.07939,4,2022-08-23,37.935001,38.09
xlu,S3,39.07939,5,2022-08-26,37.82,37.855
xlu,S3,39.07939,6,2022-09-13,37.834999,38.02
xlu,S3,39.07939,7,2024-09-06,37.950001,37.955002
xlu,S3,39.07939,8,2024-09-26,39.705002,39.814999
xlu,S3,39.07939,9,2024-10-10,39.259998,39.279999
xlu,S3,39.07939,10,2024-11-04,38.389999,38.599998
xlu,S3,39.07939,11,2024-12-18,37.419998,37.445
xlu,S3,39.07939,12,2024-12-20,37.349998,38.215
xlu,S3,39.07939,13,2025-01-07,37.915001,38.014999
xlu,S3,39.07939,14,2025-01-10,37.610001,37.790001
xlu,S3,39.07939,15,2025-01-28,37.950001,38.290001
xlu,S3,39.07939,16,2025-04-04,37.02,37.264999
xlu,S3,39.07939,17,2025-04-21,37.514999,37.965
xlu,S3,39.07939,18,2025-05-14,39.055,39.650002
xlu,S3,39.07939,19,2025-05-22,39.584999,40.049999
xlu,S4,36.614804,1,2022-03-08,35.334999,35.349998
xlu,S4,36.614804,2,2022-03-17,35.509998,35.709999
xlu,S4,36.614804,3,2022-03-24,35.509998,35.869999
xlu,S4,36.614804,4,2022-05-02,34.82,35.264999
xlu,S4,36.614804,5,2022-06-10,35.369999,35.669998
xlu,S4,36.614804,6,2022-07-01,35.105,35.924999
xlu,S4,36.614804,7,2022-07-28,35.985001,36.66
xlu,S4,36.614804,8,2022-08-31,37.154999,37.169998
xlu,S4,36.614804,9,2022-09-23,35.419998,35.880001
