ticker,support_id,support_mid,touch_seq,touch_date,touch_low,touch_close
xyz,S1,80.802221,1,2018-08-28,78.623001,80.800003
xyz,S1,80.802221,2,2018-09-24,81.529999,86.040001
xyz,S1,80.802221,3,2018-11-02,76.32,77.760002
xyz,S1,80.802221,4,2018-11-08,73.660004,75.230003
xyz,S1,80.802221,5,2019-03-01,76.690002,77.459999
xyz,S1,80.802221,6,2019-07-19,78.419998,78.510002
xyz,S1,80.802221,7,2020-02-05,77.839996,78.25
xyz,S1,80.802221,8,2020-02-20,80.300003,85.699997
xyz,S1,80.802221,9,2020-02-25,75.790001,77.050003
xyz,S1,80.802221,10,2020-03-03,75.809998,78.839996
xyz,S1,80.802221,11,2020-05-18,76.440002,76.629997
xyz,S1,80.802221,12,2022-05-11,70.330002,71.220001
xyz,S1,80.802221,13,2022-05-24,74.160004,75.879997
xyz,S1,80.802221,14,2022-05-26,74.760002,83.410004
xyz,S1,80.802221,15,2022-06-01,81.352997,81.910004
xyz,S1,80.802221,16,2022-06-06,81.949997,83.379997
xyz,S1,80.802221,17,2022-08-02,76.360001,79.089996
xyz,S1,80.802221,18,2022-08-09,79.949997,81.129997
xyz,S1,80.802221,19,2022-08-18,78.269997,79.720001
xyz,S1,80.802221,20,2023-01-30,79.639999,79.790001
xyz,S1,80.802221,21,2023-02-09,75.599998,76.18
xyz,S1,80.802221,22,2023-02-16,78.5,78.629997
xyz,S1,80.802221,23,2023-03-07,77.93,78.040001
xyz,S1,80.802221,24,2023-07-19,78.110001,78.190002
xyz,S1,80.802221,25,2023-07-27,75.400002,75.769997
xyz,S1,80.802221,26,2023-08-01,77.779999,78.760002
xyz,S1,80.802221,27,2023-12-29,76.855003,77.349998
xyz,S1,80.802221,28,2024-02-23,78.470001,78.919998
xyz,S1,80.802221,29,2024-03-04,76.889999,77.0
xyz,S1,80.802221,30,2024-03-19,78.0,79.32
xyz,S1,80.802221,31,2024-03-27,82.239998,83.18
xyz,S1,80.802221,32,2024-04-04,74.669998,74.730003
xyz,S1,80.802221,33,2024-04-09,77.989998,79.980003
xyz,S1,80.802221,34,2024-04-11,77.629997,80.059998
xyz,S1,80.802221,35,2024-11-11,75.800003,83.400002
xyz,S1,80.802221,36,2024-11-15,81.839996,84.300003
xyz,S1,80.802221,37,2025-01-13,80.199997,82.010002
xyz,S1,80.802221,38,2025-02-11,82.339996,82.589996
xyz,S1,80.802221,39,2025-02-14,82.230003,84.0
xyz,S1,80.802221,40,2025-02-20,81.699997,83.040001
xyz,S1,80.802221,41,2025-07-21,76.800003,78.080002
xyz,S1,80.802221,42,2025-08-25,78.389999,79.080002
xyz,S1,80.802221,43,2025-08-27,78.440002,79.389999
xyz,S1,80.802221,44,2025-10-10,74.290001,74.669998
xyz,S1,80.802221,45,2025-10-23,75.760002,78.559998
xyz,S1,80.802221,46,2026-07-07,77.209999,77.559998
xyz,S1,80.802221,47,2026-07-10,76.925003,77.300003
xyz,S1,80.802221,48,2026-07-22,76.989998,77.459999
xyz,S1,80.802221,49,2026-07-27,78.800003,81.239998
xyz,S1,80.802221,50,2026-08-12,77.230003,78.279999
xyz,S2,86.053333,1,2018-08-29,81.440002,85.699997
xyz,S2,86.053333,2,2018-09-19,83.330002,84.800003
xyz,S2,86.053333,3,2018-10-10,76.900002,77.449997
xyz,S2,86.053333,4,2020-02-21,82.724998,83.489998
xyz,S2,86.053333,5,2020-06-04,86.190002,87.720001
xyz,S2,86.053333,6,2020-06-11,85.769997,86.089996
xyz,S2,86.053333,7,2022-02-24,82.720001,94.989998
xyz,S2,86.053333,8,2022-05-11,70.330002,71.220001
xyz,S2,86.053333,9,2022-05-16,79.309998,79.699997
xyz,S2,86.053333,10,2022-06-09,76.489998,76.580002
xyz,S2,86.053333,11,2022-08-17,79.93,80.330002
xyz,S2,86.053333,12,2023-01-27,80.669998,83.830002
xyz,S2,86.053333,13,2023-02-01,80.059998,83.900002
xyz,S2,86.053333,14,2024-03-14,80.160004,81.239998
xyz,S2,86.053333,15,2024-03-21,82.339996,84.050003
xyz,S2,86.053333,16,2024-04-01,81.044998,81.459999
xyz,S2,86.053333,17,2024-11-14,82.919998,83.419998
xyz,S2,86.053333,18,2024-12-18,87.190002,87.300003
xyz,S2,86.053333,19,2024-12-31,84.82,84.989998
xyz,S2,86.053333,20,2025-01-10,81.650002,82.540001
xyz,S2,86.053333,21,2025-01-15,84.320999,84.790001
xyz,S2,86.053333,22,2025-01-27,84.25,85.010002
