date,open,high,low,close,volume,adj_close
2020-02-10,13.2,13.43,12.88,13.0,738005.0,13.0
2020-02-11,13.75,13.75,12.51,12.75,2963503.0,12.75
2020-02-12,12.74,13.15,12.5,12.5,1178314.0,12.5
2020-02-13,12.66,12.91,12.45,12.67,1863787.0,12.67
2020-02-14,13.1,13.18,12.8,13.0,2181960.0,13.0
2020-02-18,13.0,13.5,13.0,13.34,3368475.0,13.34
2020-02-19,13.45,13.5,13.34,13.46,1836379.0,13.46
2020-02-20,13.41,13.5,12.9,13.0,2198959.0,13.0
2020-02-21,13.34,13.34,12.7,12.85,2137084.0,12.85
2020-02-24,12.09,12.77,12.09,12.69,2670249.0,12.69
2020-02-25,12.84,13.07,12.2,12.5,3332867.0,12.5
2020-02-26,12.88,12.95,12.23,12.32,2051492.0,12.32
2020-02-27,12.2,12.57,11.65,11.84,3491181.0,11.84
2020-02-28,11.39,12.0,11.11,11.79,2809951.0,11.79
2020-03-02,11.8,11.94,11.24,11.76,1710006.0,11.76
2020-03-03,11.9,11.91,10.87,11.14,3235456.0,11.14
2020-03-04,11.35,11.63,11.07,11.24,3358019.0,11.24
2020-03-05,11.12,11.12,10.47,10.49,3424893.0,10.49
2020-03-06,10.31,10.34,9.59,10.0,3305505.0,10.0
2020-03-09,8.5,10.9,8.5,9.95,3629621.0,9.95
2020-03-10,10.09,11.35,10.03,11.1,3061764.0,11.1
2020-03-11,10.67,10.95,10.25,10.65,2294058.0,10.65
2020-03-12,10.22,10.4,8.62,8.7,4272838.0,8.7
2020-03-13,9.2,9.67,8.05,8.9,4997566.0,8.9
2020-03-16,7.89,7.89,6.7,7.73,5696068.0,7.73
2020-03-17,7.8,7.8,6.5,7.25,2917709.0,7.25
2020-03-18,6.75,6.76,5.0,5.57,5092456.0,5.57
2020-03-19,5.65,7.12,4.75,6.76,3926032.0,6.76
2020-03-20,6.66,7.4,6.65,7.36,3384063.0,7.36
2020-03-23,7.12,7.34,6.01,6.76,3538381.0,6.76
2020-03-24,7.11,7.68,7.09,7.68,3402957.0,7.68
2020-03-25,7.7,9.15,7.29,8.92,1863678.0,8.92
2020-03-26,8.65,9.0,8.58,8.88,2393641.0,8.88
2020-03-27,8.48,8.48,7.74,8.22,2577767.0,8.22
