date,open,high,low,close,volume,position
2016-09-05,399.250,399.250,399.250,399.250,0,0
2016-09-06,398.750,402.750,394.750,398.000,0,0
2016-09-07,397.750,405.000,397.250,402.500,0,0
2016-09-08,402.250,406.750,398.250,405.500,0,0
2016-09-09,405.250,406.000,396.750,402.500,0,0
2016-09-12,402.500,410.000,400.000,409.500,0,0
2016-09-13,408.500,411.000,399.000,400.500,0,0
2016-09-14,400.250,404.250,395.000,403.000,0,0
2016-09-15,401.750,406.750,398.000,398.750,0,0
2016-09-16,399.000,404.750,393.750,403.500,0,0
2016-09-19,404.250,409.000,399.750,405.000,0,0
2016-09-20,403.000,410.000,401.500,406.000,0,0
2016-09-21,405.000,409.000,402.250,406.500,0,0
2016-09-22,405.500,411.750,404.250,404.750,0,0
2016-09-23,404.000,409.500,401.250,403.750,0,0
2016-09-26,402.000,407.000,395.250,396.000,0,0
2016-09-27,397.250,405.000,394.000,404.000,0,0
2016-09-28,404.250,407.250,401.750,402.500,0,0
2016-09-29,402.250,406.750,397.750,399.250,0,0
2016-09-30,398.500,403.750,390.000,402.000,0,0
2016-10-03,400.250,401.750,391.500,395.250,0,0
2016-10-04,396.250,398.250,392.500,394.500,0,0
2016-10-05,395.250,408.500,392.000,405.500,0,0
2016-10-06,407.000,409.500,393.500,396.250,0,0
2016-10-07,397.000,401.000,394.250,394.250,0,0
2016-10-10,396.000,405.250,396.000,404.500,0,0
2016-10-11,402.750,408.750,401.250,408.250,0,0
2016-10-12,405.250,414.000,396.000,396.250,0,0
2016-10-13,396.750,417.000,396.750,417.000,0,0
2016-10-14,415.250,428.250,414.750,420.500,0,0
2016-10-17,418.500,425.750,416.000,423.250,0,0
2016-10-18,424.750,425.500,418.250,419.250,0,0
2016-10-19,420.250,422.250,413.000,421.000,0,0
2016-10-20,419.750,422.750,415.250,415.750,0,0
2016-10-21,416.500,418.500,413.250,414.250,0,0
2016-10-24,414.000,416.750,400.750,403.500,0,0
2016-10-25,403.500,406.750,398.750,404.000,0,0
2016-10-26,403.750,414.000,402.750,411.250,0,0
2016-10-27,411.750,418.750,411.250,414.500,0,0
2016-10-28,415.250,417.500,407.250,409.000,0,0
2016-10-31,410.750,417.000,408.750,415.250,0,0
2016-11-01,416.000,418.250,410.750,413.750,0,0
2016-11-02,414.250,420.250,412.000,417.500,0,0
2016-11-03,417.250,420.000,409.000,412.750,0,0
2016-11-04,413.500,415.250,410.250,413.250,0,0
2016-11-07,413.250,415.750,406.500,410.750,0,0
2016-11-08,410.750,419.750,408.250,414.750,0,0
2016-11-09,414.750,417.750,403.750,407.250,0,0
2016-11-10,407.250,414.250,402.000,404.500,0,0
2016-11-11,404.500,407.500,401.000,403.250,0,0
2016-11-14,403.250,403.750,392.500,394.750,0,0
2016-11-15,394.750,402.000,392.750,399.000,0,0
2016-11-16,419.000,420.000,413.750,414.250,0,0
2016-11-17,414.250,422.750,414.250,420.500,0,0
2016-11-18,420.500,427.500,416.750,424.250,0,0
2016-11-21,424.250,429.750,421.250,426.500,0,0
2016-11-22,426.500,429.500,422.000,428.000,0,0
2016-11-23,428.000,428.000,417.500,424.000,0,0
2016-11-24,424.000,424.000,424.000,424.000,0,0
2016-11-25,424.000,427.000,418.500,418.500,0,0
2016-11-28,418.500,421.250,414.250,416.000,0,0
2016-11-29,416.000,416.000,407.750,408.250,0,0
2016-11-30,408.250,414.000,402.250,402.750,0,0
2016-12-01,402.750,404.500,393.000,395.500,0,0
2016-12-02,395.500,405.000,395.500,404.250,0,0
2016-12-05,404.250,410.000,404.250,408.000,0,0
2016-12-06,408.000,413.000,405.750,406.000,0,0
2016-12-07,406.000,407.500,399.500,402.000,0,0
2016-12-08,402.000,409.250,401.500,408.750,0,0
2016-12-09,408.750,417.000,403.750,413.000,0,0
2016-12-12,413.000,417.750,408.500,416.500,0,0
2016-12-13,416.500,420.750,414.000,417.000,0,0
2016-12-14,417.000,418.500,413.000,418.250,0,0
2016-12-15,418.250,418.250,408.500,409.000,0,0
2016-12-16,409.000,411.000,404.500,411.000,0,0
2016-12-19,411.000,413.000,403.000,406.500,0,0
2016-12-20,406.500,407.750,400.250,403.000,0,0
2016-12-21,403.000,404.500,399.000,399.750,0,0
2016-12-22,399.750,400.500,396.500,396.750,0,0
2016-12-23,397.000,398.250,392.750,393.500,0,0
2016-12-26,393.500,393.500,393.500,393.500,0,0
2016-12-27,393.500,411.000,393.500,408.250,0,0
2016-12-28,408.250,410.000,400.250,402.000,0,0
2016-12-29,402.000,406.750,402.000,405.000,0,0
2016-12-30,405.000,409.250,403.500,408.750,0,0
2017-01-02,408.750,408.750,408.750,408.750,0,0
2017-01-03,408.750,414.000,405.750,407.250,0,0
2017-01-04,407.250,419.000,404.750,417.750,0,0
2017-01-05,417.750,427.000,416.250,425.000,0,0
2017-01-06,425.000,428.000,421.750,423.750,0,0
2017-01-09,423.750,428.250,421.000,427.000,0,0
2017-01-10,427.000,427.250,423.500,426.000,0,0
2017-01-11,426.000,426.250,412.000,418.000,0,0
2017-01-12,418.000,430.000,414.500,426.000,0,0
2017-01-13,426.000,426.750,419.250,426.500,0,0
