date,open,high,low,close,volume,adj_close
1998-12-22,25.875,26.53125,25.875,26.5,150300,13.889652252197266
1998-12-23,26.796875,28.796875,26.6875,27.140625,44000,14.225428581237793
1998-12-24,27.140625,27.140625,27,27.09375,45500,14.200860977172852
1998-12-28,27.140625,27.15625,26.8125,26.9375,25400,14.118962287902832
1998-12-29,26.953125,27.5625,25.984375,27.53125,123500,14.430169105529785
1998-12-30,27.53125,27.609375,27.3125,27.359375,10200,14.34008502960205
1998-12-31,27.296875,27.421875,27.078125,27.15625,66300,14.23361587524414
1999-01-04,27.375,27.59375,26.734375,26.9375,50000,14.118962287902832
1999-01-05,27.09375,27.28125,27.015625,27.140625,27900,14.225428581237793
1999-01-06,27.328125,27.484375,27.15625,27.46875,118500,14.397418022155762
1999-01-07,27.265625,27.265625,26.953125,27.15625,43500,14.23361587524414
1999-01-08,27.15625,27.171875,26.625,27.046875,63800,14.176291465759277
1999-01-11,26.984375,26.984375,26.328125,26.5,65400,13.889652252197266
1999-01-12,26.484375,26.578125,26.25,26.296875,29400,13.783186912536621
1999-01-13,25.546875,26.484375,25.546875,26.34375,73800,13.807754516601562
1999-01-14,26.234375,26.328125,25.484375,25.84375,30800,13.545695304870605
1999-01-15,26.0625,26.21875,25.828125,26.125,39000,13.693099975585938
1999-01-19,26.328125,26.328125,25.65625,25.828125,39200,13.537496566772461
1999-01-20,25.984375,26.1875,25.78125,25.90625,480500,13.578449249267578
1999-01-21,25.796875,25.9375,25.359375,25.515625,42500,13.37370777130127
1999-01-22,25.359375,25.671875,25.21875,25.390625,75700,13.308188438415527
1999-01-25,25.390625,25.484375,25.109375,25.328125,179000,13.275428771972656
1999-01-26,25.34375,25.921875,25.296875,25.921875,85000,13.586638450622559
1999-01-27,26.171875,26.421875,26.09375,26.265625,50400,13.766813278198242
1999-01-28,26.296875,26.796875,26.265625,26.734375,57300,14.012494087219238
1999-01-29,26.8125,26.984375,26.4375,26.796875,167800,14.04525375366211
1999-02-01,26.984375,27.078125,26.671875,26.6875,57200,13.987927436828613
1999-02-02,26.78125,26.90625,26.53125,26.90625,81800,14.102585792541504
1999-02-03,26.78125,26.90625,26.546875,26.8125,65300,14.053444862365723
1999-02-04,26.703125,26.90625,26.5625,26.6875,34400,13.987927436828613
1999-02-05,26.6875,26.6875,26.25,26.28125,33000,13.775001525878906
1999-02-08,26.21875,26.375,26.015625,26.234375,83500,13.750429153442383
1999-02-09,26.171875,26.171875,25.71875,25.765625,44500,13.504738807678223
1999-02-10,25.890625,25.953125,25.625,25.953125,32000,13.603011131286621
1999-02-11,26.046875,26.40625,25.96875,26.390625,22400,13.832328796386719
1999-02-12,26.4375,26.515625,25.984375,26.171875,29600,13.717677116394043
1999-02-16,26.5,26.671875,26.40625,26.484375,37700,13.881463050842285
1999-02-17,26.46875,26.71875,26.03125,26.21875,26800,13.7422513961792
1999-02-18,26.3125,26.578125,26.265625,26.5,29400,13.889652252197266
1999-02-19,26.453125,26.625,26.34375,26.390625,30300,13.832328796386719
1999-02-22,26.5,27.125,26.421875,26.953125,183700,14.127151489257812
1999-02-23,26.984375,27.15625,26.78125,26.90625,35400,14.102585792541504
1999-02-24,27.09375,27.265625,26.59375,26.75,69000,14.020689010620117
