crop,series,cur2026Mt,pctile2001_25,mean10Mt,diff10pct,mean5Mt,diff5pct,minMt,minYear,maxMt,maxYear
小麦,美国,19.5,44,26.7,-27,29.2,-33.2,8.3,2007,32.1,2016
小麦,加拿大,4.6,12,7.7,-40.4,8.6,-46.5,4.2,2021,10.4,2013
小麦,欧盟,14,40,20,-29.7,22.1,-36.5,10.7,2020,28.3,2004
小麦,澳大利亚,2.7,4,6.5,-58.8,7.9,-65.8,2.4,2023,9.4,2005
小麦,巴西,2.1,72,2.4,-10.8,2.7,-21.6,0.8,2003,2.9,2016
小麦,阿根廷,2.4,68,3.3,-29.3,4.2,-44.3,0.2,2016,4.8,2014
小麦,俄罗斯,13.6,88,12.4,9.7,13.4,1.5,4.3,2007,14.7,2009
小麦,乌克兰,4.8,88,4,20.3,4.9,-1.3,0.7,2024,6.3,2021
小麦,中国,120.2,64,133,-9.6,140.6,-14.5,34.5,2005,150,2019
小麦,主出口5国(美加欧澳巴),42.9,20,58.3,-26.4,60.3,-28.8,30.6,2007,61.3,2016
小麦,主出口6国(+阿根廷),45.3,24,59.9,-24.4,61.5,-26.3,33,2007,62,2025
玉米,美国,42,52,50.6,-17.1,54.8,-23.4,20.9,2012,58.3,2016
玉米,加拿大,2,64,2.2,-13.1,2.5,-21.7,1.1,2001,2.7,2021
玉米,欧盟,5,12,8.7,-41.9,9.7,-47.7,3.5,2003,11.4,2021
玉米,澳大利亚,0,56,0.1,-23.2,0.1,-32.5,0,2001,0.1,2016
玉米,巴西,10.1,80,10.9,-7.1,12.3,-17.8,1.5,2001,14,2013
玉米,阿根廷,4,76,4.3,-7.3,5,-20.1,0.4,2003,5.9,2019
玉米,俄罗斯,1.4,100,0.8,77,0.9,61.8,0.1,2007,0.9,2021
玉米,乌克兰,4.9,96,2.3,108,3.2,49.9,0.4,2008,7.8,2021
玉米,中国,165.1,52,209.2,-21.1,215.8,-23.5,35.3,2005,223,2016
玉米,主出口5国(美加欧澳巴),59.1,56,68.9,-14.2,74.2,-20.3,36.8,2012,80.1,2016
玉米,主出口6国(+阿根廷),63.1,60,72.3,-12.6,78.5,-19.6,37.3,2003,84,2016
大豆,美国,8.7,68,12.2,-28.8,15.9,-45.3,2.5,2013,25.2,2018
大豆,加拿大,0.4,64,0.6,-26.2,0.7,-35.5,0.2,2012,0.7,2018
大豆,欧盟,1.4,72,1.5,-4.3,1.6,-10.4,0.5,2008,1.6,2019
大豆,澳大利亚,0,52,0,-79.4,0,-87.3,0,2009,0,2003
大豆,巴西,36.9,92,32.5,13.4,35.7,3.3,13.7,2001,37.7,2024
大豆,阿根廷,24.2,72,25.8,-6,27.3,-11.4,11.3,2001,28.9,2018
大豆,俄罗斯,0.6,92,0.3,67.4,0.5,10.2,0,2003,0.8,2025
大豆,乌克兰,0.2,83,0.3,-19.8,0.4,-42.7,0,2001,1,2021
大豆,中国,44.3,92,30.4,45.6,38.7,14.4,1.8,2006,44.5,2024
大豆,主出口5国(美加欧澳巴),47.4,88,44.7,6,50,-5.2,20.7,2008,60.6,2018
大豆,主出口6国(+阿根廷),71.7,88,69,3.9,74.9,-4.4,32.1,2001,89.5,2018
