choppy,dir,k,n,rate
0,down,0.0,1350,0.6851851851851852
0,down,0.25,1350,0.6496296296296297
0,down,0.5,1350,0.6140740740740741
0,down,0.75,1350,0.5851851851851851
0,down,1.0,1350,0.5562962962962963
0,down,1.5,1350,0.49407407407407405
0,down,2.0,1350,0.4414814814814815
0,down,3.0,1350,0.3348148148148148
0,up,0.0,2818,0.5400993612491128
0,up,0.25,2818,0.4985805535841022
0,up,0.5,2818,0.457416607523066
0,up,0.75,2818,0.41731724627395317
0,up,1.0,2818,0.37828246983676367
0,up,1.5,2818,0.32647267565649396
0,up,2.0,2818,0.27430801987224984
0,up,3.0,2818,0.1980127750177431
1,down,0.0,534,0.5842696629213483
1,down,0.25,534,0.5468164794007491
1,down,0.5,534,0.5056179775280899
1,down,0.75,534,0.4681647940074906
1,down,1.0,534,0.4307116104868914
1,down,1.5,534,0.3801498127340824
1,down,2.0,534,0.3295880149812734
1,down,3.0,534,0.2602996254681648
1,up,0.0,1224,0.5441176470588235
1,up,0.25,1224,0.5155228758169934
1,up,0.5,1224,0.4681372549019608
1,up,0.75,1224,0.440359477124183
1,up,1.0,1224,0.4068627450980392
1,up,1.5,1224,0.3415032679738562
1,up,2.0,1224,0.29983660130718953
1,up,3.0,1224,0.23447712418300654
