dir,k,diff,lo,hi
up,0.0,0.004018285809710642,-0.04061146935687351,0.04985215781230884
down,0.0,-0.10091552226383693,-0.17455732035961097,-0.029813679569986224
up,0.25,0.016942322232891216,-0.030692653315329107,0.06380902218826048
down,0.25,-0.1028131502288806,-0.1737096613844199,-0.032080819523531964
up,0.5,0.010720647378894776,-0.03762364923417884,0.059121642648905286
down,0.5,-0.1084560965459842,-0.18042496085347318,-0.03693732267319554
up,0.75,0.023042230850229828,-0.02621562374490384,0.0716455068076998
down,0.75,-0.11702039117769453,-0.19158610615214003,-0.04693967076032326
up,1.0,0.028580275261275545,-0.020259608620999986,0.07610136204498874
down,1.0,-0.1255846858094049,-0.19659382166189177,-0.0569492216968881
up,1.5,0.015030592317362257,-0.0342419483105398,0.06495436684697685
down,1.5,-0.11392426133999167,-0.1778861396028641,-0.05143108935654251
up,2.0,0.02552858143493969,-0.02155982565046064,0.07456412137069411
down,2.0,-0.1118934665002081,-0.17734006149524706,-0.047640907942604935
up,3.0,0.03646434916526345,-0.005704540697170526,0.0835838649919976
down,3.0,-0.07451518934664997,-0.1370564527575231,-0.017168646102654953
