slice_id,start,end,sector,区间涨跌pct,标签,稳健,标签th3,标签th8,EP05,EP06,全局ER,上行ER,下行ER,n_up,n_dn,corr60均值,corr60最低,HV20
S01,1999-05-13 00:00:00,2000-10-25 00:00:00,XLB,-32.464,弱势独立下跌,稳健,弱势独立下跌,弱势独立下跌,10,7,0.081,0.476,0.596,7,8,0.261,-0.122,25.979
S01,1999-05-13 00:00:00,2000-10-25 00:00:00,XLE,14.198,强势独立上涨,临界,中性/混合,中性/混合,3,1,0.029,0.597,0.592,11,11,0.232,-0.289,25.403
S01,1999-05-13 00:00:00,2000-10-25 00:00:00,XLF,3.181,中性/混合,,中性/混合,中性/混合,6,1,0.006,0.564,0.625,12,12,0.685,0.355,30.471
S01,1999-05-13 00:00:00,2000-10-25 00:00:00,XLI,2.049,中性/混合,,中性/混合,跟随震荡,7,2,0.005,0.556,0.456,8,9,0.661,0.323,20.982
S01,1999-05-13 00:00:00,2000-10-25 00:00:00,XLK,6.493,高波动跟随,,高波动跟随,高波动跟随,11,6,0.008,0.505,0.648,11,11,0.771,0.575,31.791
S01,1999-05-13 00:00:00,2000-10-25 00:00:00,XLP,2.775,跟随震荡,,中性/混合,中性/混合,5,2,0.007,0.499,0.479,7,7,0.491,-0.151,23.034
S01,1999-05-13 00:00:00,2000-10-25 00:00:00,XLU,11.684,中性/混合,,中性/混合,中性/混合,2,1,0.032,0.349,0.48,5,4,0.442,-0.017,20.783
S01,1999-05-13 00:00:00,2000-10-25 00:00:00,XLV,-6.592,中性/混合,,中性/混合,跟随震荡,6,3,0.017,0.553,0.471,8,8,0.653,0.295,21.824
S01,1999-05-13 00:00:00,2000-10-25 00:00:00,XLY,-23.326,弱势独立下跌,稳健,弱势独立下跌,弱势独立下跌,9,6,0.052,0.639,0.68,12,12,0.651,0.168,26.426
S02,2004-03-01 00:00:00,2004-12-20 00:00:00,XLB,9.693,高波动跟随,,高波动跟随,高波动跟随,5,1,0.057,0.502,0.496,4,4,0.78,0.625,17.268
