date,ZC,ZS,ZW,ZL
2011-12-30,,,,
2012-01-06,,,,
2012-01-13,,,,
2012-01-20,,,,
2012-01-27,,,,
2012-02-03,,,,
2012-02-10,,,,
2012-02-17,,,,
2012-02-24,,,,
2012-03-02,,,,
2012-03-09,,,,
2012-03-16,,,,
2012-03-23,,,,
2012-03-30,,,,
2012-04-06,,,,
2012-04-13,,,,
2012-04-20,,,,
2012-04-27,,,,
2012-05-04,,,,
2012-05-11,,,,
2012-05-18,,,,
2012-05-25,,,,
2012-06-01,,,,
2012-06-08,,,,
2012-06-15,,,,
2012-06-22,,,,
2012-06-29,,,,
2012-07-06,,,,
2012-07-13,,,,
2012-07-20,,,,
2012-07-27,,,,
2012-08-03,,,,
2012-08-10,,,,
2012-08-17,,,,
2012-08-24,,,,
2012-08-31,,,,
2012-09-07,,,,
2012-09-14,,,,
2012-09-21,,,,
2012-09-28,,,,
2012-10-05,,,,
2012-10-12,,,,
2012-10-19,,,,
2012-10-26,,,,
2012-11-02,,,,
2012-11-09,,,,
2012-11-16,,,,
2012-11-23,,,,
2012-11-30,,,,
2012-12-07,,,,
2012-12-14,,,,
2012-12-21,,,,
2012-12-28,,,,
2013-01-04,,,,
2013-01-11,,,,
2013-01-18,,,,
2013-01-25,,,,
2013-02-01,,,,
2013-02-08,,,,
2013-02-15,,,,
2013-02-22,,,,
2013-03-01,,,,
2013-03-08,,,,
2013-03-15,,,,
2013-03-22,,,,
2013-03-29,,,,
2013-04-05,-0.1649,-0.0769,,0.1218
2013-04-12,-0.1506,-0.0137,,0.1907
2013-04-19,-0.0451,0.0607,,0.2352
2013-04-26,-0.0282,0.0522,,0.2402
2013-05-03,0.0365,0.0646,,0.2387
2013-05-10,0.0137,0.1043,,0.255
2013-05-17,0.015,0.1695,,0.2629
2013-05-24,-0.0012,0.1474,,0.1894
2013-05-31,0.0067,0.1916,,0.2321
2013-06-07,0.0044,0.2088,,0.2917
2013-06-14,-0.0112,0.2071,,0.2665
2013-06-21,0.0262,0.2474,,0.3069
2013-06-28,0.0322,0.245,,0.311
2013-07-05,0.0668,0.237,,0.3344
2013-07-12,0.0368,0.1273,,0.3206
2013-07-19,0.0131,0.0362,,0.2426
2013-07-26,0.0173,0.0715,,0.3219
2013-08-02,-0.0029,0.0138,,0.2616
2013-08-09,-0.017,0.057,,0.3353
2013-08-16,0.0002,0.0999,,0.3755
2013-08-23,0.024,0.1074,,0.3496
2013-08-30,-0.1151,0.0249,,0.2392
2013-09-06,-0.0966,0.0175,,0.2305
2013-09-13,-0.0962,0.1343,,0.3147
2013-09-20,-0.1324,0.1651,,0.2661
2013-09-27,-0.1814,0.1686,,0.2599
2013-10-04,-0.1465,0.2119,,0.1984
2013-10-11,-0.1365,0.2652,,0.2446
2013-10-18,-0.1523,0.2531,,0.2821
2013-10-25,-0.1835,0.2388,,0.2609
2013-11-01,-0.1794,0.239,,0.2342
2013-11-08,-0.1826,0.219,,0.2077
2013-11-15,-0.1905,0.1438,,0.1846
2013-11-22,-0.1629,0.1936,,0.2672
2013-11-29,-0.2163,0.2146,,0.3003
2013-12-06,-0.0975,0.2467,,0.2998
2013-12-13,-0.1272,0.1941,,0.2682
2013-12-20,-0.0668,0.1195,,0.2825
2013-12-27,-0.1009,0.0159,,0.2553
2014-01-03,-0.0902,0.0448,,0.3191
2014-01-10,0.0057,0.0107,,0.3366
2014-01-17,0.0054,0.0107,,0.3266
2014-01-24,0.0463,0.0338,,0.2375
2014-01-31,0.0839,0.0271,,0.1716
2014-02-07,0.1291,0.087,,0.178
2014-02-14,0.1014,0.069,,0.2089
2014-02-21,0.1443,0.1036,,0.2118
2014-02-28,0.1519,0.1551,,0.2031
2014-03-07,0.1634,0.0785,,0.0976
2014-03-14,0.183,0.1723,,0.1593
2014-03-21,0.2019,0.1842,,0.1531
2014-03-28,0.1938,0.198,,0.1235
2014-04-04,0.2308,0.2329,,0.1811
2014-04-11,0.2122,0.2064,,0.1315
2014-04-18,0.2383,0.2146,,0.1641
2014-04-25,0.1775,0.1831,,0.1727
2014-05-02,0.1733,0.2333,,0.2594
2014-05-09,0.1482,0.2506,,0.3115
2014-05-16,0.1385,0.2299,,0.3458
2014-05-23,0.0888,0.2304,,0.3597
2014-05-30,0.1244,0.2416,,0.3968
2014-06-06,0.0046,-0.0895,,0.2995
2014-06-13,0.0759,-0.0875,,0.4442
2014-06-20,0.0365,-0.1124,,0.4516
2014-06-27,-0.0022,-0.1357,,0.3934
2014-07-04,0.1331,-0.077,,0.4609
2014-07-11,0.1363,-0.073,,0.5064
2014-07-18,0.1811,-0.0921,,0.3973
2014-07-25,0.1681,-0.1211,,0.3271
2014-08-01,0.1727,-0.1311,,0.2878
2014-08-08,0.2291,-0.1058,,0.284
2014-08-15,0.2121,-0.1226,,0.0844
2014-08-22,0.216,-0.1444,,0.0572
2014-08-29,0.1983,-0.1503,,0.0433
2014-09-05,0.074,-0.1701,,-0.019
2014-09-12,0.0968,-0.0583,,-0.0517
2014-09-19,0.0651,-0.0437,,-0.1228
2014-09-26,0.0415,-0.1132,,-0.1451
2014-10-03,0.036,-0.0706,,-0.1219
2014-10-10,-0.1013,-0.138,,-0.1334
2014-10-17,-0.1413,-0.1636,,-0.0338
2014-10-24,-0.0493,-0.0213,,0.0038
