no,type,A_start,A_end,A_days,A_dif,A_dif_date,A_hi,A_hi_date,A_hist,valley,valley_date,B_start,B_end,B_days,B_dif,B_dif_date,B_hi,B_hi_date,B_hist,pr,dr,days_r,t5,t10,t20,p5,p20
1,边界,2020-03-26,2020-05-01,26,-0.69,2020-04-30,197.2,2020-04-09,3.14,-1.32,2020-05-07,2020-05-20,2020-06-11,16,4.37,2020-06-09,203.3,2020-06-08,2.9,1.031,-6.32,0.62,1.5,0.5,2.7,-9.9,-10.1
2,典型,2021-12-08,2022-01-19,29,8.79,2022-01-14,324.4,2022-01-14,2.12,-2.16,2022-01-25,2022-02-08,2022-02-11,4,3.96,2022-02-10,325.6,2022-02-09,0.27,1.004,0.45,0.14,-1.4,0.7,3.4,-2.1,0.9
3,典型,2022-10-13,2022-12-01,35,8.61,2022-11-25,319.6,2022-12-01,2.79,-2.32,2022-12-19,2023-01-03,2023-01-17,10,3.48,2023-01-13,321.3,2023-01-12,1.16,1.006,0.4,0.29,-1.1,-1.1,-1.3,-2.8,-2.8
4,典型,2023-01-03,2023-01-17,10,3.48,2023-01-13,321.3,2023-01-12,1.16,-0.92,2023-01-20,2023-02-14,2023-02-14,1,0.08,2023-02-14,314.1,2023-02-14,0.01,0.978,0.02,0.1,-2.5,-2.0,-4.2,-2.5,-4.2
5,典型,2023-03-28,2023-05-02,25,5.31,2023-05-01,331.8,2023-05-01,1.91,-0.95,2023-05-12,2023-05-19,2023-05-22,2,2.89,2023-05-22,333.9,2023-05-19,0.05,1.006,0.55,0.08,-2.1,1.3,2.9,-3.0,2.5
6,典型,2023-10-31,2023-11-30,22,4.32,2023-11-27,363.2,2023-11-24,2.15,-1.2,2023-12-08,2023-12-19,2023-12-19,1,1.82,2023-12-19,362.6,2023-12-19,0.01,0.998,0.42,0.05,-1.3,0.5,1.4,-1.3,1.4
7,典型,2024-01-22,2024-02-27,26,10.66,2024-02-23,430.0,2024-02-26,2.13,-2.18,2024-03-07,2024-03-28,2024-04-04,5,4.98,2024-04-03,424.5,2024-04-04,0.44,0.987,0.47,0.19,-1.9,-3.7,-3.5,-1.9,-3.5
8,典型,2024-05-07,2024-05-23,13,2.3,2024-05-22,417.3,2024-05-17,1.49,-0.8,2024-05-29,2024-06-03,2024-06-04,2,1.08,2024-06-03,416.7,2024-06-03,0.19,0.999,0.47,0.15,-0.3,-0.4,-0.9,-1.0,-1.9
9,典型,2025-03-14,2025-04-02,14,12.36,2025-03-27,539.0,2025-04-02,2.07,-5.87,2025-04-08,2025-04-24,2025-05-02,7,5.64,2025-05-02,542.1,2025-05-02,1.07,1.006,0.46,0.5,-4.8,-4.7,-6.9,-4.8,-6.9
10,典型,2025-08-13,2025-09-09,19,7.18,2025-09-04,507.7,2025-09-05,2.96,-1.38,2025-09-18,2025-09-30,2025-10-01,2,2.97,2025-09-30,503.8,2025-09-30,0.29,0.992,0.41,0.11,0.3,-0.4,-4.5,-0.1,-4.2
11,典型,2025-11-06,2025-12-02,18,5.03,2025-11-28,516.8,2025-11-28,3.07,-2.33,2025-12-10,2025-12-30,2025-12-31,2,0.42,2025-12-31,505.9,2025-12-31,0.12,0.979,0.08,0.11,-0.6,-2.0,-4.4,-0.6,-4.4
