slice_id,start,end,length,spy_ret_pct,spy_ER,spy_MDD_pct,hv20_mean,ongoing
S01,1999-05-13,2000-10-25,369,0.82,0.0,-12.89,19.7,False
S02,2004-03-01,2004-12-20,205,4.82,0.001,-7.53,11.4,False
S03,2005-02-16,2006-07-13,354,4.98,0.0,-7.59,10.5,False
S04,2007-07-27,2008-01-31,130,-4.38,0.001,-16.02,19.4,False
S05,2009-11-23,2010-06-09,136,-3.39,0.001,-13.4,15.9,False
S06,2011-03-16,2011-08-15,106,-3.52,0.002,-17.31,15.0,False
S07,2012-04-09,2012-12-31,184,4.86,0.003,-8.98,13.2,False
S08,2013-05-30,2013-10-16,98,4.82,0.002,-4.79,11.1,False
S09,2014-01-10,2014-05-29,96,4.93,0.002,-5.68,11.3,False
S10,2014-07-17,2016-01-29,388,2.06,0.0,-11.91,13.7,False
S11,2016-05-16,2016-11-08,124,4.61,0.001,-5.52,10.7,False
S12,2018-01-22,2018-09-21,170,4.64,0.0,-10.1,13.2,False
S13,2019-04-30,2019-10-31,130,4.15,0.003,-6.62,13.3,False
S14,2021-09-30,2022-05-17,159,-4.22,0.0,-17.62,18.1,False
S15,2022-11-25,2023-05-31,128,4.73,0.0,-7.54,17.1,False
S16,2025-10-09,2026-04-15,129,4.88,0.0,-8.88,12.9,False
